,.DJUSBMT,.DJUSNCT,.DJUSCYT,.DJUSHCT,.DJUSINT,.DJUSENT,.DJUSTCT,.DJUSTLT,.DJUSUTT,.DJUSFNT
2010-01-01,0.001577473017969778,0.00037318381661211855,-0.00019636454096296508,0.0004102617850400782,0.00017410102931278196,0.0023406523885773213,0.0007724227480016844,0.00018822498800098711,0.0008744402416128699,-0.0011464232127376
2010-01-29,0.001559858735269189,0.00031330284506011005,-0.0001350498130702561,0.0005708631281147434,0.00025555417153418964,0.0021741816358038673,0.000834041828769557,0.00014323811481298674,0.0006888632994877575,-0.0010680230849215802
2010-02-26,0.0013298885353470965,0.00038429888387694477,-2.741557864563672e-05,0.00039634516262331704,0.00025949266233130444,0.0015251281548828396,0.0008388716568731126,4.55576436840274e-05,0.0005480915021697754,-0.0010529359756453864
2010-03-26,0.0016467863048989944,0.0006950940086804874,0.0002454044293305811,0.000605032789534592,0.0005421910001597846,0.0017370767136307974,0.0011369222989703895,0.00038831501161513233,0.000657303302238313,-0.0005333470556586493
2010-04-23,0.00207768760063471,0.0007729255456603145,0.000622413379159504,0.00045171734318940834,0.0008613400427464142,0.001884295923358606,0.001445471254366638,0.0003844620937178756,0.0005541649942728679,-0.00031158513989082095
2010-05-21,0.0018480162609714236,0.0004981568628421749,0.0003042463639917774,0.00013158308306824716,0.0006569065962462022,0.0019379481464527188,0.0009555052344486677,0.00022044987663105697,0.0005506238451200661,-0.0007355476117020674
2010-06-18,0.001558472275271243,0.000366649305354686,0.00013055674638339543,-1.2804190308494412e-05,0.0003794377900118979,0.0012572673985874949,0.0007789429502123905,0.00012140203072012676,0.0002770104635600606,-0.0009972696687500246
2010-07-16,0.0016629292582642596,0.00037830117601089027,-0.00011585137297532882,-1.599432983925887e-05,0.00033694846510742013,0.0012338041712395191,0.0005875090882070361,6.361620727081841e-05,0.0002868692529687327,-0.0010784817334069847
2010-08-13,0.0017638683430836936,0.0005960745289212827,3.902150436311854e-05,6.970379581017796e-05,0.0005789637623227012,0.0011042766124695217,0.0008039740717617704,0.00036518692094528237,0.0004764753188542079,-0.0009134949748956678
2010-09-10,0.0019095925844864418,0.000550343320006157,0.0001578449952723691,-7.371724360923483e-05,0.0004905186029590886,0.0008497585488645347,0.00059922636017951,0.0005078831620539013,0.000364441615858169,-0.0009782440132053748
2010-10-08,0.0023215772601805425,0.0007779887145944462,0.0005198337589288839,0.00034549099820328804,0.0007384040670065502,0.0012568314507417537,0.0010039041799449475,0.0009413976091627048,0.0005185293133504162,-0.0008532236449305343
2010-11-05,0.0023499392418268707,0.000925365518650092,0.00061094229581394,0.0003899524281375748,0.0008109805267822101,0.0014236799021150764,0.0011095808027865438,0.000857692543248318,0.0007300562145893995,-0.0009915781461702924
2010-12-03,0.002224473850070908,0.0008888900479939366,0.0006127003419511033,0.0002797654089861986,0.0006989706594453557,0.001524344752359935,0.0009282333281817442,0.0006682459720752403,0.0005919043045848128,-0.0011757673283392014
2010-12-31,0.0025650890845449843,0.0010890600941149493,0.000821552176825024,0.00039604220390509733,0.001012069048554198,0.0019182520259264741,0.0012497141173767282,0.0010437744670423155,0.0007063205670195685,-0.000801913317590611
2011-01-28,0.0022637653475479575,0.0010128471372531742,0.0007961793869764973,0.00038005614032021127,0.0010830857124453776,0.0016522249544145343,0.0011844545883999788,0.0008004946927254019,0.0006731189659653114,-0.0007430010723555594
2011-02-25,0.002568745669496382,0.0011080956854840943,0.0009988413595725851,0.0004475614195133254,0.0012250740821977359,0.0022101362679282995,0.0014659407982720006,0.0007031682702213412,0.0006864881028802396,-0.0006409489682812057
2011-03-25,0.0023680898353001293,0.0009723847298428388,0.0007447598917285763,0.00038571121859520667,0.0009093897781117176,0.0020910857585174497,0.001081434948923606,0.0004794461750848861,0.0007007740287508013,-0.0008607389715368703
2011-04-22,0.002214134600169179,0.0012629164031493984,0.000980578992433318,0.0008031115613632673,0.0009328802842437933,0.0018178511842572226,0.0011361547334705977,0.0009150510041350527,0.0008729076223784403,-0.0008536163756291068
2011-05-20,0.002384317378567194,0.0014565394535971587,0.0011495941830950895,0.0011592872808936477,0.0011281885314170712,0.002023854605916169,0.0015637296054614469,0.0010845353571227387,0.00111555811085899,-0.0008244587112583549
2011-06-17,0.0024453878197253347,0.001323054053252543,0.0009643974287457188,0.001002862277143202,0.0009944238878780588,0.002070627391437474,0.0014313409932660004,0.0008097209515455435,0.0008741274918154639,-0.0009726644083801395
2011-07-15,0.002715988551798961,0.001541917179090052,0.001475241360249088,0.001199615809911719,0.0014387381269224515,0.001948580397511518,0.0019525917770976328,0.0011219234796236279,0.0009542937859557861,-0.0007378834032270724
2011-08-12,0.00214973499003623,0.001117370245463045,0.0009885680560190303,0.0005630132869209381,0.0008623572900608612,0.00146656676624805,0.0015268382428575854,0.0004760890679846486,0.0005714852485543987,-0.0013385163360030753
