,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index
2010-01-01,0.0007415528659338615,0.00019473176867759062,0.0003477863462877254,0.0006565158635772823,0.001049408283546716,0.00046114446898342753,-1.662142607660377e-05,0.00031918541301882356,0.00030410788148398554,0.00034900743066993355,0.0004635530665307162
2010-01-29,0.0007758077198501146,0.00027878867524279134,0.00037208061850737943,0.0006639088749016592,0.001133580758646478,0.0005514644357192851,5.666877955770003e-05,0.0002482677798441647,0.0003496750150733839,0.00031050084697317954,0.00048033670080291406
2010-02-26,0.0008453336565318564,0.00032262404282102047,0.00032303347646753765,0.00046742183054203124,0.0011276222018382334,0.0005607963578430885,5.2695552366242545e-05,0.0004355113678727022,0.00032897502380133895,0.00035957439160422646,0.0005543452967072441
2010-03-26,0.0007730070354295496,0.000400455755490487,0.00024410491981424558,0.0004096777539677116,0.0010887006857130763,0.0004795319231671239,-2.639304921180129e-05,0.00045298280748174504,0.000325401643178082,0.0001669899545071479,0.0005698347399408774
2010-04-23,0.0007669051375232351,0.0005018050854948687,0.00028282096429462444,0.0005074235136980982,0.001197846297597323,0.0006011004313529883,5.653267785631598e-05,0.0005310425198429311,0.0003840592420285256,0.0002692193457669704,0.0006334779061946505
2010-05-21,0.000812547379052959,0.0005678959698372267,0.00028490942404731144,0.000564596250447747,0.0012168606711351355,0.0006330217766197885,0.00013189636425420346,0.0006011241290970499,0.00045373086231743237,0.00031843952235245546,0.0006422285448102892
2010-06-18,0.0010788699926505964,0.0006521113195707126,9.125249269007624e-05,0.00058218594773465,0.0011943455664921723,0.0005883990463580628,0.00029108845674735316,0.0007857739251822167,0.0005234085519388203,0.00021886050634224708,0.0005346311723617994
2010-07-16,0.0008487227458910832,0.0006461177818501899,-0.00010344795516699021,0.00028307364456634106,0.0007884138986692397,0.0004212594950259855,0.00015003994891125928,0.000625543707503352,0.000412505315447236,-6.523221482454544e-05,0.0003570353304103843
2010-08-13,0.0008119046436914613,0.0007211516828615411,0.0001726205417344048,0.00044749019875411054,0.000941042038463941,0.0004778559711310483,0.0003261364007150127,0.000782903291290965,0.000503564423599135,0.0002323924148995883,0.00025967072780834846
2010-09-10,0.000820879731214384,0.0008283192308927133,8.858063848225708e-05,0.00041642963116980463,0.0008781134820935942,0.0004627527152523393,0.0004079376048532464,0.0008509808537344517,0.0005036783989636372,0.00022296906276037453,0.0002969594988078766
2010-10-08,0.0009401304930007617,0.0008525796564879274,0.00013161341880651035,0.0004966206255973282,0.0009672483408173042,0.0005149176119821811,0.0005282500312849712,0.0009380284862551297,0.0005274374817208437,0.00023056987440350416,0.00035401643568421036
2010-11-05,0.0009573117329971066,0.0008615832171263568,0.00028930995087518866,0.0004841752279864937,0.0010255824056297394,0.0006125099194132932,0.0007767495886038453,0.0010313144074690062,0.000541793589369704,0.00031121323998279185,0.00038788802585124386
2010-12-03,0.000939901875097587,0.0008927121302118289,0.0004259190516361737,0.00048701059180610885,0.0011452976669151101,0.0007067891243178798,0.0007127261920643437,0.0011249724864184833,0.00047578458730416584,0.0002815466308212763,0.0004666048876145032
