,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937
2015-04-03,0.0015713323992976877,0.0016374760339627396,0.0015574454399581096,0.0014066760789287081,0.0011179435992614872,0.001137808555236771,0.0015755393781466754,0.0014080004387009809,0.0013770246563412465,0.0011996616355557735
2015-05-08,0.0032064456847642076,0.0033115095373710234,0.003218132324425724,0.0028202345796493953,0.002280975596581731,0.0023577474041343673,0.003173021393785324,0.0028590388336266013,0.0027827106328138333,0.002482034727525761
2015-05-29,0.003804045070940729,0.003994885152077608,0.00391501265861204,0.0034293684802368584,0.002856478064039994,0.0029108678225959624,0.003728203105120936,0.0034613700081101008,0.0033643958465484443,0.0030088179041924254
2015-06-26,0.004032465376631845,0.004191461378938984,0.004120871364682735,0.0036211124323736795,0.0030918607862743925,0.0030916086056301554,0.0038978222533358766,0.00367102706317658,0.0035998584953842966,0.0032097849331123693
2015-07-24,0.00265090798726166,0.0028926233822864356,0.002902442917651067,0.0024849337906028292,0.0021164523749669824,0.00208067027223936,0.002567906536205041,0.002573939268268869,0.0025718790516223145,0.0023318089761139617
2015-08-21,0.002768626326466645,0.0029492636274640505,0.0029896829748479532,0.0025599182779335455,0.0021684864567612307,0.002138469414795403,0.0026072457993776767,0.0026517497477197647,0.0027351754362435914,0.0023960484890267315
2015-09-18,0.0016976849792802982,0.0017621973168294334,0.0018046776337974633,0.0015446644484218765,0.0012948900210155551,0.001294021489944164,0.001563401218316531,0.001626912554258892,0.0016652274661388892,0.001467671440055928
2015-10-16,0.001348658933661196,0.0014394130097353719,0.001484508314804389,0.001294583499132081,0.0010904364832849882,0.0011092787208347667,0.0012557484094639958,0.001385487570815614,0.0014227931322017245,0.0012095602038374644
2015-11-13,0.002142763244993867,0.0022859340799133185,0.0023361787670586756,0.0020530782269741333,0.001735816174607423,0.0017622589002637308,0.0019963945230269363,0.002225463461558709,0.002257102842360496,0.001916741243325412
2015-12-11,0.0020534591993950366,0.0021941566548891547,0.0022535739802410464,0.001979327290487401,0.0016718464917039133,0.0017012778823240957,0.0019286141142983574,0.002156017762828565,0.002191022675969546,0.0018471404725101698
2016-01-08,0.002460437532824292,0.002624683614578843,0.002694422978955258,0.002359057995414627,0.002000608737056381,0.0020283392434629504,0.0023169918363483677,0.0025696379798663977,0.002613389886411456,0.002205063676901496
2016-02-05,0.0011689621119359563,0.0012887266597062126,0.0013413557636948496,0.001180032371647288,0.0009836167982480287,0.001023164419113582,0.0011333711461266438,0.0012750207427408165,0.001294112914276321,0.0011009963194191388
2016-03-04,0.001097465659536747,0.0012158345636650559,0.0012750924197516493,0.0011205942041561702,0.0009309631740843095,0.000976966570144238,0.0010675668439079835,0.0012190830998019691,0.0012336039934074772,0.0010393879647143723
2016-04-01,0.0013749840133990793,0.001523545232871726,0.0015945603529381133,0.001401948206904106,0.001168101353935776,0.0012260672965994739,0.0013357878791091654,0.0015278505496661653,0.001536709629837446,0.0013004437339668542
2016-04-29,0.001593513554541543,0.0017555668264168352,0.0018428945391337713,0.0016194277856443264,0.0013486625474990897,0.001416711911044058,0.001538928837814548,0.0017638657209395414,0.0017770144355087284,0.0015072340806734524
2016-05-27,0.0016272845571510893,0.0017848130100939763,0.0018714797984442017,0.0016387540935792054,0.0013610666149774435,0.0014297611800451293,0.0015646173047005097,0.0017878155964102024,0.0018044911088501306,0.0015207326124661255
2016-06-24,0.0016818389057398242,0.0018489452147706896,0.0019384402986664978,0.0016973028503680769,0.0014154077610328848,0.0014789529031733006,0.0016194826906718767,0.0018594600301199955,0.0018773417951729813,0.001575557533463846
