,SH000928 Index,SH000929 Index,SH000930 Index,SH000931 Index,SH000932 Index,SH000933 Index,SH000934 Index,SH000935 Index,SH000936 Index,SH000937 Index
2010-03-19,0.005989799370777215,0.006806071546158245,0.00642877404121962,0.006478507854613983,0.005620408896076583,0.005678091961862016,0.006110323648775107,0.006579045483725828,0.004756884596101677,0.005365193146233761
2010-04-16,0.006286758571040084,0.00714954844461442,0.006745704425501725,0.006796323804380694,0.005888974286555325,0.00594559824305759,0.006405137744492883,0.006893741446927334,0.004966083984818305,0.005624845360950672
2010-05-14,0.006124028475688816,0.006911835350479925,0.00651954370481419,0.006578513406174567,0.005643584922655832,0.0056766912157875625,0.006221354764116912,0.006627054655491542,0.004848154718174651,0.005421647137112544
2010-06-11,0.0058617406408031465,0.006654143407081978,0.006266452090426074,0.006332731789441091,0.0054148216712249075,0.005484476257017619,0.005974098586504039,0.006370423807568755,0.004720790842232437,0.005195849222347087
2010-07-09,0.0059848479535734725,0.006791875610891961,0.006375769630430598,0.0064559883029896865,0.005544346059471131,0.005626779339986469,0.006050697653085266,0.006477717548599776,0.004848246927673616,0.005294319962309477
2010-08-06,0.0060745821359900355,0.006901856489273984,0.006470727449652313,0.0065494096625506384,0.005625683463825414,0.005732184422204281,0.006118539578597851,0.006560389303839529,0.0049415723615982175,0.0053614838445687155
2010-09-03,0.0058613696130599465,0.006657812823330642,0.0062370797374437245,0.006312379038949166,0.005424014010496827,0.0055172262294000745,0.005903139825510111,0.006322210108623162,0.004765786183130097,0.00517084868355172
2010-10-01,0.005962025103195334,0.006767976429396771,0.0063382887226898325,0.006411299245943211,0.005508965954974481,0.005604208810632297,0.005982687893920947,0.006413461996937335,0.0048379603347547834,0.0052481086744497986
2010-10-29,0.006767413214985048,0.007605268666080634,0.007099302203953913,0.00713186741965089,0.006097316806203731,0.0061854723100231886,0.006726841778964515,0.00711627722215365,0.005373558896112243,0.005887833592883468
2010-11-26,0.006586219168127543,0.007404429877778049,0.006918573702377865,0.006923298446433492,0.005904297837753291,0.00597067404159688,0.006563566242602963,0.00689145606395451,0.005226775683200308,0.005726403678346638
2010-12-24,0.006541930859595718,0.007345218426064831,0.006857778242985894,0.006872428984596995,0.005855478910151127,0.005927579171641705,0.0065074446036835175,0.006834756488049507,0.005188075875853813,0.005681447084976163
2011-01-21,0.005958717205785768,0.006699379365031326,0.00625355728783749,0.006273241650432685,0.00535367136665498,0.005427257217142348,0.005909025360088967,0.006235662766351901,0.004749996092862285,0.005188244106539385
2011-02-18,0.005908893863466219,0.0066344575417369,0.006189238918856687,0.006218652735019576,0.005305099998571284,0.0053854816873770564,0.00586761096624244,0.0061847343930552644,0.00472445667916067,0.005136516760644358
2011-03-18,0.006066788993470044,0.006816296086863583,0.006364366368403578,0.00639004622143021,0.005440607405590855,0.005530180361058717,0.006021460473051352,0.006345205072556294,0.004847594151537886,0.005271641174752681
2011-04-15,0.0056945265784495965,0.006393339532186691,0.005963010526511182,0.00599157959411996,0.005089484264726971,0.005176211437918794,0.0056392669682787345,0.005935192772899243,0.004559362979739645,0.0049446419725369655
2011-05-13,0.004751382829375092,0.00535247318775027,0.004986288536549356,0.00500980121207637,0.004207741908578249,0.004326706153550998,0.004769280051625707,0.0050072706059643615,0.00387756881883453,0.0040953008001703515
2011-06-10,0.004486292267340479,0.005021930008788026,0.004670129870559216,0.0046614165754028675,0.0038909352408976806,0.004030819080292098,0.00449267576133773,0.0046448756316976375,0.0036125633176619554,0.003840353812416848
2011-07-08,0.004133219252365813,0.004615510095478985,0.0042892944677215316,0.0042895286501967314,0.0035703790162684565,0.00370792431877856,0.004133918224382391,0.00426585046914133,0.003317194037264901,0.0035311384532605143
2011-08-05,0.0046023072815666345,0.005116564498601879,0.004754201194147586,0.004748596121443325,0.003938463471717757,0.004089039904703352,0.004614772624866305,0.004715384110682194,0.003670521674047963,0.0039116666231138394
2011-09-02,0.004226021756616376,0.004687174039723031,0.004360037469265885,0.004346527406020773,0.0035996798808565805,0.003748770889963745,0.004228815420317144,0.004321708520148182,0.003373495813797799,0.0035927513080573764
2011-09-30,0.003669361003595004,0.004078548332537792,0.003787386699883602,0.0037775527718173193,0.0031308101972609558,0.003261483213907115,0.0036690760070165218,0.00375354941180024,0.0029288107715833888,0.0031228187125223812
2011-10-28,0.003413197015543483,0.0038123436408736343,0.0035326931218379086,0.0035179881443445134,0.0029089937320317793,0.0030416473088462135,0.003413745422660891,0.003508542525307772,0.002746771802224143,0.002906613592732886
