,.HSCICD,.HSCICS,.HSCIE,.HSCIF,.HSCIH,.HSCIIG,.HSCIIT,.HSCIM,.HSCIPC,.HSCIT,.HSCIU
2008-01-04,0.006316423671174507,0.007841895072711448,0.00894860854408107,0.0030007043185544782,0.009122042326508692,0.0009304433739911336,0.005999566444322245,0.00918319027994548,0.005171090872155594,0.00963642004322415,0.0032054008353721987
2008-02-01,0.005939670260079881,0.006692689447224729,0.00818588370243497,0.0026732309734548787,0.008388886002583388,-6.595094558370345e-05,0.005081143255011706,0.007731481300022371,0.0051599545394122965,0.009578467921197414,0.003012932697235554
2008-02-29,0.005055272374309176,0.006552197765454491,0.007639310289545984,0.0019453035197185891,0.008528628284103616,-0.0001776919568355635,0.004073869684917816,0.007458167355953142,0.004273262681373171,0.008965405282421433,0.0027729376839967664
2008-03-28,0.0041270910206491805,0.005702453122661013,0.006360111051867359,0.0020129177050677693,0.0071486595818726515,-0.0017392267313788175,0.0028080065679269065,0.005560075604244931,0.0033166314063668165,0.008308671771337083,0.002727362524546049
2008-04-25,0.004715267426671732,0.006944444222720703,0.007834061996485432,0.0030135900338976204,0.008293442870372562,-0.0014359314340932484,0.004067270188373458,0.006593643988228016,0.0042220467619787086,0.009697959683528039,0.002960943241761333
2008-05-23,0.0050588479633106725,0.007305238774243461,0.008656974114982455,0.00356138489525672,0.008878123649319895,7.816576360202208e-05,0.004886335213147993,0.0077741345670626055,0.004783601195131244,0.009661570549718721,0.003039530169885797
2008-06-20,0.00413998509349894,0.006386575119845596,0.007908488512007702,0.0029230530101796745,0.008351530354303215,-0.00020482361108218813,0.0037309471020557693,0.006472913639339426,0.0037977870158315686,0.008029826187665833,0.0030402513846000787
2008-07-18,0.0034737662968433148,0.006328066989088624,0.007192588723599686,0.0027399274556776077,0.007607310454711039,-0.0004602851617688838,0.0029120636223784187,0.006300002839676391,0.003058626856653621,0.007778905845341724,0.0026648402620957404
2008-08-15,0.0028604421023952055,0.005952738167930883,0.004811951863867829,0.0027191678986470892,0.008476331197965087,-0.000526296647827248,0.0027227059497038054,0.004582192035894649,0.0022714430024564267,0.0066027283826273365,0.0025752808877385924
2008-09-12,0.002339340839109232,0.006216325394391234,0.005098237128119502,0.0023072034686651664,0.007997150822217195,-0.0008012341771688504,0.0021260151686623755,0.0038662974504093265,0.0015620944616639603,0.00548412179397778,0.0024431149570404284
2008-10-10,0.0010803614481814572,0.004980337599128421,0.003989148174717867,0.001789268633751458,0.007013950627479848,-0.0016576439419099987,0.00038942683772055006,0.0020974275245194017,0.0003077344898301888,0.004927443878089822,0.0021430417407678763
2008-11-07,-0.00040165855921548267,0.004282922877635322,0.0025912510049979345,0.0002470963851414179,0.006379726447498399,-0.004590323923036636,-0.0005778502563317116,0.00018723056341524513,-0.0005785103385631718,0.0044769254041629285,0.0011312687999910278
2008-12-05,-0.0011631700989180583,0.004145007606872147,0.002708410075396556,0.0002059156334855602,0.006183661666786731,-0.004861574916514651,-0.002635703284053392,7.489348974311067e-05,-0.0004499945183889381,0.0039072100570472085,0.0014381096327849901
2009-01-02,-0.0006139202307467431,0.004131669754022488,0.0029994992598447946,0.0002594311366603769,0.006308185238973147,-0.003405438176525629,-0.00164126809807761,0.0013738401183936806,0.00022172718173699653,0.004563170741390185,0.0010959035285533015
2009-01-30,-0.0013815375172722961,0.0029480853353909832,0.001399302702015333,-0.0012035816909159531,0.006501664818502848,-0.004525667670428377,-0.0028029795963818768,-0.00032026910605838195,-0.0007992869786028466,0.0036463000206010654,0.001009576976268428
2009-02-27,-0.0014184067265702784,0.0028690621766165577,0.0016316400376138746,-0.0012540794062450705,0.0062709797894957425,-0.0042863824377054535,-0.0019386580805430581,-3.840405799321607e-05,-0.001227407495261285,0.003674876652221639,0.0010248415378117709
2009-03-27,-0.0013220530422766701,0.0027932225201250174,0.0020350302999770573,-0.0010827877949131683,0.00540684473184156,-0.004046817369341253,-0.0017056863834931434,0.00033798580452884254,-0.0008101399498858186,0.0033486331232659874,0.0011351655402857684
