,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index
2008-01-04,0.0007740500999402455,0.0009089723515930992,0.0018968719706265334,0.0007708648902231306,0.00018161289321122633,0.0009522487828001917,0.0018309314339201193,0.0015326577144042161,0.0005072137522151032,0.002073608164067352,0.0009672035478969979
2008-02-01,0.0007574055786549715,0.001089852354842987,0.0017356024610688217,0.0007959523588901959,0.00022313149970352249,0.0008269595051792603,0.001939760038640398,0.0014177476654884697,0.0005484364735315387,0.0017770960472225752,0.0009528723557542407
2008-02-29,0.0005229545216789282,0.0006220916910366255,0.0012812499196921277,0.0004933021394074827,-4.92011727760954e-05,0.0005587738491626961,0.0014351363061949098,0.0011376753388206793,0.00043328583132918843,0.001301124397785933,0.0007281000640773502
2008-03-28,0.0006055449770611821,0.0007092260516984969,0.0012338287739312732,0.0005351390506267057,0.00010967121784827684,0.0004673356693304866,0.00149304084139422,0.0010922034167946465,0.0003333749597546725,0.001119462648364569,0.0007892530560071023
2008-04-25,0.0007278768816394365,0.0005741950765088668,0.0016485111837772498,0.000690839634256989,0.00022852308325068478,0.0007670605149491187,0.0019874761535052907,0.0013921262863341162,0.00043755193321340645,0.0015032339933212285,0.001131915580131326
2008-05-23,0.0007671412692768673,0.0006325693379991605,0.0016457949288872001,0.0007388629371604614,0.0002726653453379516,0.0008008714203741076,0.0020178492279076593,0.0014681886734530612,0.0004433933212345152,0.0014639320083305906,0.0012734223381540765
2008-06-20,0.0007897862499450101,0.0006422002351389339,0.0015438501340718108,0.0006669924619070319,0.0002369831203394134,0.0007389325430862217,0.001897199924665745,0.0014091751490461315,0.00030918396156618305,0.0014589134817063584,0.0012816455751023736
2008-07-18,0.0006815896875491102,0.0005665198530364323,0.0012315665850270493,0.0005707939767664749,0.0002345283596864988,0.000611174989556497,0.001533062355840821,0.0011276193408195905,0.00026216206967383075,0.0011577536634163456,0.0010061994406884284
2008-08-15,0.0006640820911587945,0.0005532026071102271,0.0011006638315771448,0.0005294927169527,0.00022964248222871283,0.0005856717668417449,0.0014317682248191498,0.0010353955249892664,0.0002441081413488261,0.00106174962936496,0.0009575015728224742
2008-09-12,0.0006155836543501038,0.00040716505619866694,0.0010037844972805002,0.0004905529998112955,0.0002825964044572716,0.0005516242108583386,0.001249567727583088,0.0008769803419436008,0.00020147141264160475,0.0009478981994884363,0.0008466083481441387
2008-10-10,0.00034256863999930216,0.0002494781659501927,0.0006212937774315139,0.00031229162654235177,0.00021582971130100755,0.00033836168859636154,0.0007062485631095083,0.0004644917927216295,0.00013251744269038743,0.0004721245606708222,0.00047603586583301675
2008-11-07,-0.00010382291577062346,-0.00011647058844513463,-0.00014396499697750774,-0.00010178081065700603,-9.845524247733848e-05,-0.0001213013215879893,-0.00019790301188427168,-0.0001723984743104953,-4.125906683667198e-05,-0.00010898325824986921,-0.0002186310414581471
2008-12-05,-1.3488048003910897e-05,-2.5126968584999745e-05,-1.0028345853236611e-05,-1.6492070215240063e-05,-1.7885943090913915e-05,-2.086094354271455e-05,-2.7074308540234332e-05,-3.3966889500570856e-05,-8.722487153811091e-06,-1.1061483192076394e-05,-2.4127790973829052e-05
2009-01-02,9.833473585373478e-05,0.0001318555440881946,6.395877536115645e-05,0.00010056722521207563,9.726908918899844e-05,0.00011832883542452234,0.0001716312665031339,0.0001696858673510628,2.3797776941636755e-05,7.564010583129437e-05,0.00013810286975128144
2009-01-30,2.418460913913612e-05,3.2137062242704915e-05,2.01582980542334e-05,3.1357990374785556e-05,2.9826125410193205e-05,3.25240145692219e-05,5.0619134454568536e-05,4.1128488772003655e-05,5.4690929157163846e-06,2.09722108930811e-05,3.535532321432945e-05
2009-02-27,2.4785153794648997e-05,3.5461745626112304e-05,2.2350212091487156e-05,3.2356871214779545e-05,3.00758577782512e-05,3.475416570446535e-05,5.2931152900604265e-05,4.474203104356356e-05,4.114351950931389e-06,2.3163559063393986e-05,3.870032550047645e-05
2009-03-27,2.0902028421925239e-07,4.0646444842518983e-07,2.3183216299489765e-07,3.531941504705929e-07,2.808444474616038e-07,3.7057957874411546e-07,5.777056789659232e-07,3.851012541216517e-07,4.802202188033273e-08,1.7108232684097572e-07,4.640903376691314e-07
2009-04-24,6.183192542421839e-05,0.0001058505170354127,6.179354089456428e-05,9.594539858666297e-05,7.980152153893311e-05,0.00010847878476344714,0.00015761355468046142,0.00010129648010945297,1.870864812658707e-05,4.830045667715406e-05,0.00013491410607338714
2009-05-22,0.00017602990722913423,0.0002448209132367634,0.00017438373867463558,0.00025264155621006873,0.0001946142694518816,0.00026289547472597036,0.0003971644422908985,0.00023883062354679923,3.5946863600799147e-05,0.00011784437923663205,0.00032726548302249795
2009-06-19,0.0002621131798155271,0.00032188672578760153,0.00029249587448935374,0.0003812926244887402,0.00029273705290166563,0.00038033007347181914,0.0006248165363927041,0.0003479421767961393,6.890165960818076e-05,0.0001930162915544553,0.0004873592093583599
2009-07-17,0.00020501024972301933,0.00024591030361632464,0.00022895743657693211,0.0003005259923170919,0.00022742211274654804,0.0003053347372885229,0.0004892793641319684,0.0002816495474416067,5.1626305415167654e-05,0.00014752661817443683,0.00038050516853901445
2009-08-14,0.00032821868938704465,0.00034036645132187434,0.0003592505479770433,0.00045342662092797006,0.00034058060898519587,0.00045851311728792353,0.0007655517332461136,0.00040263624351214794,7.222106897526156e-05,0.00022155495693571781,0.0005765841692011854
2009-09-11,0.00025982930666219775,0.0002849102082757466,0.0003032385056426406,0.00036830901205875497,0.00026746877795587575,0.00037276677074729315,0.0006055953466903354,0.00032103919348940295,5.899958408986697e-05,0.00019385577605667185,0.0004525034058055506
2009-10-09,0.00030303435754074325,0.00032646246910975437,0.00034447624740131143,0.0004196441684493047,0.0003085938241646619,0.0004270252241630508,0.0006779950160780236,0.00036607163321257427,6.562667960760045e-05,0.00022716083708037728,0.000519569563500131
2009-11-06,0.00035711462184730017,0.0003747489333637249,0.00039729577347138485,0.00046965424850268963,0.00034933428855122043,0.000484575132248507,0.0007615768966354,0.0004113953214782348,6.88780275741117e-05,0.00024240088605885255,0.0005843889491237677
2009-12-04,0.00033402895478105673,0.00035163061612072293,0.00035553885984935694,0.00043049863871641756,0.00031833260444673073,0.0004500558968379877,0.0006881515447883784,0.00037462335542948156,6.481902227563943e-05,0.00023118865523280886,0.0005373617670859824
