,0
2008-03-14,-0.044119604424999265
2008-03-28,0.04871804347151547
2008-04-11,0.03091440338352434
2008-04-18,-0.020164141949656135
2008-04-25,0.05892988569339667
2008-05-02,0.04367155794098846
2008-05-09,-0.036289942698201086
2008-05-16,0.022665829956793365
2008-05-23,-0.03690045499236558
2008-05-30,0.006535654612870955
2008-06-06,-0.00419796295705862
2008-06-13,-0.08679645986139421
2008-06-20,-0.0006914477542578864
2008-06-27,-0.05286571654011807
2008-07-04,-0.03920515534792854
2008-07-11,0.04412593337417432
2008-07-18,-0.02358866010571104
2008-07-25,0.038108393501570074
2008-08-01,0.009700661671374847
2008-08-08,-0.0521439995474365
2008-08-15,-0.016367208400591114
2008-08-29,0.001400315460625351
2008-09-05,-0.06415328694212223
2008-09-12,-0.041776140749486664
2008-09-19,-0.03193991450645223
2008-09-26,-0.07284658304860762
2008-10-03,-0.0366002436851162
2008-10-10,-0.18109770166608208
2008-10-17,-0.013898831925585674
2008-10-24,-0.1121438324964179
2008-10-31,0.09309682579482043
2008-11-07,0.03159593413425288
2008-11-14,-0.047823659119125235
2008-11-21,-0.09228697975542509
2008-11-28,0.08413359880147876
2008-12-05,0.008497807169536142
2008-12-12,0.07077101558436157
2008-12-19,0.07122051598915749
2009-01-02,-0.009873922911613913
2009-01-09,-0.04001313251294707
2009-01-16,-0.0508357179890684
2009-01-23,-0.03851268715246078
2009-01-30,0.05744535367389182
2009-02-06,0.011701536903681363
2009-02-13,-0.004528760372491886
2009-02-20,-0.040632943251653335
2009-02-27,-0.01029565118471968
2009-03-06,-0.013395252792513097
2009-03-13,0.047369875844063644
2009-03-20,0.033405976476530444
2009-03-27,0.09273017970469916
2009-04-03,0.04372228642949956
2009-04-17,0.0767218988126403
2009-04-24,0.0019131196593192069
2009-05-08,0.13923102216509564
2009-05-15,-0.005093423250996246
2009-05-22,0.013552673017428048
2009-05-29,0.09482437451756127
2009-06-05,0.025815610539309683
2009-06-12,0.0042955004778518525
2009-06-19,-0.040430132731936214
2009-06-26,0.0419624867136964
2009-07-03,-0.01740117971747076
2009-07-10,-0.01678355356057639
2009-07-17,0.06212609891033445
2009-07-24,0.06456669204845661
2009-07-31,0.027978711025827777
2009-08-07,-0.026951337795003742
2009-08-14,0.03897718741191182
2009-08-21,-0.03201304155756807
2009-08-28,-0.011143324481734808
2009-09-04,0.026329874412626745
2009-09-11,0.03604805515496281
2009-09-18,0.009404474306724683
2009-09-25,-0.018782946025841487
2009-10-02,-0.027405629679112392
2009-10-09,0.06238764366613876
2009-10-16,0.02193723772734306
2009-10-23,0.035851542929865664
2009-10-30,-0.04078322440402037
2009-11-06,0.010672141542692476
2009-11-13,0.03357932154403871
2009-11-20,-0.004003527312039675
2009-11-27,-0.04305522228264101
2009-12-04,0.07051465795733
2009-12-11,-0.01521510192413221
2009-12-18,-0.04194421710678504
2010-01-08,0.08165434743447157
2010-01-15,-0.0014548115415322256
2010-01-22,-0.05580908050288113
2010-01-29,-0.04324249711957212
2010-02-05,-0.015725840263710125
2010-02-12,0.03211989660114824
2010-02-19,-0.022069611521336203
2010-02-26,0.03829561031681264
2010-03-05,0.01827577881391144
2010-03-12,0.023708708037499367
2010-03-19,0.011987604714968842
2010-03-26,-0.012672390205586335
2010-04-09,0.052652276133701686
2010-04-16,-0.022898107434726457
2010-04-23,-0.017775184560469195
2010-04-30,-0.004799317665946228
2010-05-07,-0.07001974836553349
2010-05-14,0.020455155354802197
2010-05-28,-0.0256214900194771
2010-06-04,-0.0010561775690557525
2010-06-11,-0.006076794359735247
2010-06-18,0.028575132018757127
2010-06-25,0.01164786365031817
2010-07-02,-0.04340947948023286
2010-07-09,0.032454305199536744
2010-07-16,-0.011954362983220933
2010-07-23,0.03613247445793824
2010-07-30,0.01193404455559437
2010-08-06,0.023494769611346063
2010-08-13,-0.023846453317064968
2010-08-20,0.0075062443365355395
2010-08-27,-0.02660526055368241
2010-09-03,0.03050405713362058
2010-09-10,0.015971682187602275
2010-09-17,0.033381893842837844
2010-09-24,0.012353504855334997
2010-10-08,0.044422937975357166
2010-10-15,0.031222374799230262
2010-10-22,-0.012354694392004813
2010-10-29,-0.01844064294186227
2010-11-05,0.06043865354387404
2010-11-12,-0.02766963790515173
2010-11-19,-0.022050809429462238
2010-11-26,-0.02164534689014839
2010-12-03,0.02419210589524667
2010-12-10,-0.00878347378589577
2010-12-17,-0.014363503516418042
2010-12-24,0.004969009421545824
2010-12-31,0.005983547363564103
2011-01-07,0.032229679754874785
2011-01-14,0.017112594160894973
2011-01-21,-0.020786701561333283
2011-01-28,-0.007401365247972196
2011-02-11,-0.041757957107735846
2011-02-18,0.03562209245870429
2011-02-25,-0.0385399844109551
2011-03-04,0.03719798026006975
2011-03-11,-0.013773779422450538
2011-03-18,-0.037955181405333674
2011-03-25,0.03697537645642441
2011-04-01,0.023389671031034967
2011-04-08,0.032607340377679185
2011-04-15,-0.0036848296936465865
2011-04-29,-0.006153365017108651
2011-05-06,-0.021794801096088286
2011-05-13,0.011732414168487668
2011-05-20,-0.0057748043710075525
2011-05-27,-0.004166215674408181
2011-06-03,-0.000385871222813175
2011-06-10,-0.030991636961067836
2011-06-17,-0.03290239177163697
2011-06-24,0.036851349660534494
2011-07-08,0.03765758600220131
2011-07-15,-0.031673190649243566
2011-07-22,0.016856965578062218
2011-07-29,-0.007676020693211887
2011-08-05,-0.06791440976178038
2011-08-12,-0.05175384998067944
2011-08-19,-0.019840107389407065
2011-08-26,-0.001077244550897312
2011-09-02,0.04693476186107472
