,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTA1,.TRXFLDHDTE2,.TRXFLDHDTH1,.TRXFLDHDTM1,.TRXFLDHDTN2,.TRXFLDHDTT2,.TRXFLDHDTY1,gamma_op
2018-04-06,0.08361904520800016,0.03364814045710425,0.19982225314089022,0.15278843442167112,0.07631946341521258,0.016704987899870738,0.014148285594076444,0.0031338128251432867,0.05813993485647272,0.012859427688236467,0.01586719096812557,0.021434887502945768,0.12836332110285248,0.0550245231197049,0.12812629179969365,,,,,,,,2
2018-04-13,0.08330112100236875,0.03296493841101333,0.19785223529210494,0.16004354202521048,0.0737278907794424,0.01645954350830729,0.014118885554556919,0.0031075408491163707,0.057429404416857045,0.012626313850736428,0.015112714181489182,0.021151442981043496,0.12814441288295614,0.05368616784587454,0.13027384641892273,,,,,,,,2
2018-04-20,0.08146832787828115,0.03379458633441376,0.20081123695088196,0.15546743144308803,0.07574523822113988,0.016117854125262922,0.014019953019273414,0.0030235304099570323,0.059172247051108885,0.012808708383402725,0.015388430118915606,0.020646292359113867,0.12810480556564582,0.054521332846932495,0.1289100252925825,,,,,,,,2
2018-04-27,0.08212516034012284,0.03491692048872544,0.19953600159902152,0.15476563349023278,0.07399955341050911,0.016424624073708944,0.01435939281209579,0.003005221398775187,0.05885786944434032,0.013035869695684271,0.01459768671407724,0.021187977834303897,0.12668314190324081,0.05568060800130606,0.1308243387938557,,,,,,,,2
2018-05-04,0.06286293540940038,0.02678286482791823,0.19078675291903469,0.06669186098962052,0.08160517914111858,0.022133438112142925,0.015070423121025078,0.0040746644924216854,0.05360480989681257,0.013931994722488773,0.01683697005078951,0.01723028672053078,0.1566384011899341,0.07505495935095656,0.19669445905580574,,,,,,,,2
2018-05-11,0.0631183992386573,0.026040191453412336,0.18831814847666725,0.06699913643965616,0.08153610857220461,0.02215083557095166,0.014968773003465483,0.004030206459278776,0.053138976210593485,0.01376305814513117,0.017036048425724683,0.017254816552244666,0.15671149128729378,0.07589307428402495,0.19904073588069388,,,,,,,,2
2018-05-18,0.06230623580150781,0.025926598186797517,0.18714251955476305,0.06747004408377921,0.0835519296374957,0.021714889201368288,0.014768518135580787,0.003955057751897648,0.05529782759947355,0.013542874024041593,0.016793449517046217,0.017049662859794378,0.15531586411360465,0.0747237915026769,0.20044073803017254,,,,,,,,2
2018-05-25,0.06340932444733148,0.025841008423927576,0.18869230244119609,0.0719570090510135,0.08462175805599882,0.02140499473819103,0.014999081186250261,0.00398226993242721,0.054535226091460345,0.014052091813570389,0.016716280883625097,0.016968664761419023,0.15263841515785836,0.07354566107282191,0.19663591194290894,,,,,,,,2
2018-06-01,0.04793644616977682,0.017167812581910392,0.1377292034066831,0.07067270958736066,0.1246380836610724,0.025351123895397593,0.014983955845202387,0.0038734548847639133,0.0563626768314529,0.01564379851114145,0.022893972447790657,0.01967972992996314,0.15572251541285545,0.06658260056598159,0.22076191626864727,,,,,,,,2
2018-06-08,0.04599491175733514,0.016779686387503392,0.13631619421529273,0.0706470677067435,0.12361957379334704,0.025079264657807927,0.015035051728841732,0.003835941931110083,0.05472160517672094,0.01551973138411101,0.022185036754137136,0.01976238454398415,0.16046051476923606,0.06584398009832164,0.22419905509550758,,,,,,,,2
2018-06-15,0.04520262957818136,0.016839370674847105,0.13807305657822366,0.06816106159966058,0.1260123128598737,0.024850539521762582,0.015036198400885128,0.0038644347003739684,0.052608682666123265,0.0155772061957295,0.023159538093189897,0.019780338606615027,0.1607090598381184,0.06372405934870595,0.22640151133770986,,,,,,,,2
2018-06-22,0.04709215409772966,0.017026900550487226,0.13884024606733564,0.06792156346397374,0.12674614018326266,0.025064616428811616,0.015193638086101604,0.0038945768720929134,0.05216300195076588,0.015270293341908868,0.02270515881431399,0.0198268610236004,0.16058035143732569,0.06496147204112782,0.22271302564116235,,,,,,,,2
2018-06-29,0.01881789615420905,0.013971002888938162,0.2225918620249021,0.03797244254850034,0.07728316568971917,0.024122066159654128,0.01923367946390951,0.003389077395126852,0.047499283264262046,0.018866090077481606,0.02970021684821441,0.02516854407491676,0.1943163326830177,0.026955461216438298,0.2401128795107097,,,,,,,,2
2018-07-06,0.019909585540743166,0.014168206364789738,0.21896319518733287,0.037926465257008594,0.07879428911611008,0.02445667561737461,0.019409033544652364,0.0033384145742006914,0.04627288087832337,0.019004858021548818,0.029458596608077578,0.026082087631324233,0.19518395613815537,0.026830076996537246,0.24020167852382127,,,,,,,,2
2018-07-13,0.02017975382049602,0.01448180682847482,0.2229216670413236,0.03650107949865463,0.07934225935395747,0.02528252566078417,0.019787053203793967,0.003368612416262004,0.04499334538431778,0.01919686547565265,0.029082059854552974,0.027627257441968544,0.1936825774860256,0.026367906617551107,0.23718522991618465,,,,,,,,2
2018-07-20,0.020202290517146285,0.014312967687217652,0.22029307959614886,0.03797459577932262,0.08033382394546223,0.024704225923769536,0.01930100009507992,0.003326665297584013,0.04313354124227851,0.019541332578318495,0.028962976934039663,0.027356198810693087,0.1953631883364095,0.027286104451715226,0.23790800880481439,,,,,,,,2
