,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2014-12-05,0.007757508473981781,0.006918706638672986,0.008051575707427233,0.008924013904668793,0.03373493381186507,0.855841075865843,0.020405323905649586,0.02665714690364722,0.014310649873952544,0.01739906491429151,2
2014-12-12,0.008375398559300341,0.0070114985657264315,0.008120935049799723,0.008972973637346194,0.03412112986929577,0.8512132486691208,0.02322984988142646,0.026528126520619096,0.014458591296747326,0.017968247950617834,2
2014-12-19,0.008087379906208527,0.007289888697756142,0.00870206309876776,0.009263556691465013,0.034964888964430695,0.8488494365827769,0.022598617075406675,0.02653132197145086,0.0146244180714639,0.01908842894027353,2
2014-12-26,0.008639110778454667,0.007455606098991652,0.009560650126839414,0.009268523143327304,0.034932070194853136,0.8425081993758071,0.024875457529115578,0.0268485842962579,0.01515529673801452,0.02075650171833863,2
2015-01-02,0.011070294579381176,0.010165146992029542,0.023199951875388633,0.013441143319046056,0.047073034915980395,0.7323695135921773,0.05039974088378669,0.03477838079456273,0.023810854343858504,0.05369193870378903,2
2015-01-09,0.011070294579381176,0.010165146992029543,0.023199951875388636,0.013441143319046058,0.0470730349159804,0.7323695135921774,0.050399740883786695,0.03477838079456273,0.023810854343858507,0.053691938703789036,2
2015-01-16,0.011422186851330158,0.010151267359448388,0.02298408556439429,0.013493251904190236,0.04729664377157329,0.7341569199898603,0.050526311288968784,0.03446950235950773,0.02334751902537672,0.05215231188535005,2
2015-01-23,0.0111705327542254,0.009852855356829796,0.02279066635933601,0.013548141748131952,0.04602116365940385,0.7351573184093271,0.050709304797779534,0.03640042998693913,0.023337626559030142,0.05101196036899719,2
2015-01-30,0.017156321474278716,0.015625526770727483,0.028892140066503078,0.016694953791996134,0.04223848389878295,0.7346448406162287,0.026143674785789217,0.061021808740617176,0.03095149813925953,0.026630751715817233,2
2015-02-06,0.016522233245629733,0.015676369325834057,0.028531128501414278,0.016757191538255594,0.04238625512028323,0.7363802819004983,0.024768270796379097,0.06134378999326929,0.030791063147284532,0.02684341643115187,2
2015-02-13,0.016129955353286964,0.01544768196114751,0.027780182697861894,0.016932147464333365,0.04206633240889339,0.7363547905235908,0.024659306924139448,0.06388867917197087,0.031241324538809373,0.025499598955966266,2
2015-02-20,0.015910411709618207,0.01538730848503858,0.02797520349615966,0.01710960368271802,0.04240945358324051,0.7337487793718313,0.02471884298747871,0.06517171663341136,0.03183124988456551,0.025737430165938352,2
2015-02-27,0.03089519846323363,0.020957976101068254,0.03877647545200845,0.019981746293684807,0.04228224949904353,0.6719281273867835,0.05135117401603624,0.06092609219569566,0.03345457475717825,0.02944638583526764,2
2015-03-06,0.031049056516491508,0.021128791310990585,0.03982907109438751,0.020238147821505688,0.042090601754813974,0.669182367837065,0.05055659359169283,0.06152294807562999,0.0344944526810778,0.02990796931634514,2
2015-03-13,0.03043180726490585,0.02125753085618114,0.039170457032071275,0.020052780663496122,0.04220102788731032,0.6759254410905771,0.04779272431842397,0.06107155748667397,0.03314832195156963,0.02894835144879049,2
2015-03-20,0.030585985160772686,0.021044903314070895,0.039214501919131846,0.020260761056436434,0.04236980514625519,0.6736247524144338,0.049019210013283895,0.06172236348311755,0.03299725306690654,0.029160464425591205,2
2015-03-27,0.028684996694197537,0.024974583229104938,0.04124990932832612,0.020456066132008358,0.03474100282078264,0.6592788655831335,0.06368632467401689,0.06567445190130325,0.037227158600848395,0.024026641036278454,2
2015-04-03,0.028471269150460075,0.024838647469718308,0.042057893307890545,0.020603251985277602,0.03477017318355759,0.6618104155546362,0.06107516550885267,0.065652093729596,0.03729293139497271,0.023428158715038196,2
2015-04-10,0.027719144574291296,0.02470927121566234,0.04206132698493577,0.02059820275591004,0.03414699840102259,0.6625648265491343,0.06055577939644989,0.0669619414498392,0.037635317579697236,0.023047191093057272,2
2015-04-17,0.027471296477254475,0.024180966179840897,0.04190317574101275,0.019916675850207996,0.034376317665810584,0.6644193866174292,0.06208197202923457,0.06586023683690166,0.03723546564800353,0.02255450695430425,2
2015-04-24,0.06343266722006563,0.06773787611238907,0.11403838981865014,0.019018388020672114,0.02488298032945739,0.4415093732068709,0.15495554461318553,0.0666811274963495,0.029823695109453097,0.017919958072906444,2
2015-05-01,0.06423694243054244,0.0706829651141524,0.11470355158006162,0.019656546169671968,0.025246208636941832,0.43864407117734655,0.14754935156721388,0.06929132813641962,0.031641798118190956,0.018347237069458743,2
2015-05-08,0.06423694243054244,0.0706829651141524,0.11470355158006162,0.019656546169671968,0.025246208636941832,0.43864407117734655,0.14754935156721388,0.06929132813641962,0.031641798118190956,0.018347237069458743,2
2015-05-15,0.061023697017518225,0.06758539324194279,0.11167990234073656,0.01978315576793461,0.024757146457406454,0.44371283042207393,0.14790895617950256,0.07340485885840387,0.03200656973917106,0.018137489975309916,2
2015-05-22,0.038105362285228504,0.08419386312876846,0.05029928877986511,0.02498455961259599,0.02391712369264501,0.35740975465386526,0.0467576958730842,0.25222693820656455,0.10861333868856794,0.013492075078815155,2
2015-05-29,0.03723039334602908,0.08204042748689604,0.05006360465927666,0.0250673142865078,0.023746287910931054,0.36159733191737825,0.04501908557677187,0.2523764696600157,0.10963345293758006,0.013225632218613474,2
2015-06-05,0.03594006183807315,0.08108663484602766,0.049102557967903165,0.02452730010598378,0.023126135227825435,0.36051979851037735,0.04197217106963177,0.25595580661467104,0.11464359149954709,0.013125942319959331,2
