,.HSCIIT,.HSCIH,.HSCIE,.HSCICD,.HSCIPC,.HSCIF,.HSCIM,.HSCICS,.HSCIU,.HSCIT,.HSCIIG,gamma_op
2010-01-01,0.05072670200654311,0.19230763853249722,0.036869926906436104,0.03669661069645302,0.050752050059929346,0.1981464493702329,0.0555433493577124,0.24697823837926564,0.04381879001847649,0.04917135965935333,0.03898888501310052,2
2010-01-08,0.051958543510169354,0.19055848214870427,0.03660728764718173,0.03648913753283157,0.050938934344843444,0.1964276574082836,0.05523545290700121,0.24826556265635324,0.04380893225390049,0.05061145695256247,0.03909855263816845,2
2010-01-15,0.053243051413382966,0.17762254360398685,0.0386764490356333,0.037595047788106656,0.05134899103037452,0.19640029367856252,0.060607004395976063,0.24710523474571566,0.044527955205070927,0.05130160130276389,0.041571827800426536,2
2010-01-22,0.05575214378096973,0.17870990233988904,0.03696185702901819,0.038232361706666954,0.04869062168175308,0.18841708768357768,0.060672467457052535,0.2524313781369352,0.04326464685343058,0.05369762590712171,0.04316990742358523,2
2010-01-29,0.07318968397922003,0.1486504487310284,0.04352172155667952,0.06572871651525415,0.08972712984514648,0.23670156105981466,0.06573027024144942,0.1430311231668196,0.04705586022752425,0.03848643582530489,0.04817704885175876,2
2010-02-05,0.07237702532234988,0.15547421777548176,0.04298211322345392,0.06724800002175936,0.08791469734179415,0.23867829838824467,0.06338644157113899,0.1368939490714713,0.04872059373271613,0.039396324633052225,0.04692833891853769,2
2010-02-12,0.07137974201536416,0.1533492116235536,0.04360606265548722,0.06715064674312503,0.08883494156985904,0.2365414353355097,0.06341015876492684,0.13968030046198301,0.04907744337511452,0.039927956003582475,0.04704210145149445,2
2010-02-19,0.07303537658470884,0.1519123464458606,0.044276505806727505,0.06828422051950213,0.09133507055302124,0.23545183941324127,0.06216126786761287,0.1374475608751543,0.04910511224352988,0.04018202702795167,0.04680867266268953,2
2010-02-26,0.0810358703339304,0.12640002122817443,0.04911599236600313,0.06700959756553629,0.06159826315720479,0.1984341494314832,0.13020769865237053,0.1455166062780112,0.022180518763575942,0.04932551579416743,0.06917576642954285,2
2010-03-05,0.0808668448422627,0.12637525010465947,0.04957196321959025,0.06609218368742653,0.06291720035868874,0.19811858362266271,0.13479959258159663,0.1438018004984318,0.021696147780494637,0.04944439130171123,0.0663160420024754,2
2010-03-12,0.0808895947156744,0.1268163096963463,0.04898718756214554,0.06709508745707052,0.06311360480317292,0.19432032266316743,0.13488352063990428,0.1463114671476907,0.021748857284138452,0.0465934586497676,0.06924058938092188,2
2010-03-19,0.08115376937626088,0.12847992691955346,0.04906953447028114,0.0670009451641799,0.0631571227655678,0.19232943068154318,0.13404848079726034,0.14869996255194837,0.021314484280466655,0.04664734476324569,0.06809899822969252,2
2010-03-26,0.10575252981148658,0.10245546222203517,0.05688537754294916,0.08338113655384372,0.08435691270686432,0.16804230637382245,0.12645554281416221,0.1292031388518408,0.020818057765374515,0.03480349363641143,0.08784604172120956,2
2010-04-02,0.10648382253264384,0.10579876270371077,0.05643381823534035,0.08271297969209475,0.08427201751871587,0.16685695071537995,0.12454261092400447,0.12851930158635352,0.020901801887863464,0.03453338109300248,0.08894455311089054,2
2010-04-09,0.10505031221483149,0.10613660826887185,0.057710864269087454,0.08233898385605952,0.08490945700996672,0.16863425062620868,0.1252314440432273,0.12531097836188365,0.020860079111519148,0.034177551686489935,0.08963947055185426,2
2010-04-16,0.10432241559552011,0.10449048479426028,0.058508011096390825,0.08171099947145088,0.08314875027009064,0.16941179021873595,0.12740437413011552,0.12693262510889863,0.020583804932842224,0.03478037402992536,0.08870637035176956,2
2010-04-23,0.11618368792114468,0.1006551107374969,0.05706948149864802,0.08793462160676263,0.13299871659913928,0.17337395163230634,0.07269944140009199,0.11191523502048513,0.03988125819886587,0.035849775509763586,0.07143871987529565,2
2010-04-30,0.11876334798690474,0.10303277312454746,0.05594323004928144,0.08871375637662182,0.12726176904868475,0.17062994914593677,0.07220551428918061,0.11338839299815835,0.04070382038292104,0.03621686263951597,0.07314058395824706,2
2010-05-07,0.11736228191013622,0.10572751403582856,0.05703284870389948,0.08873851257460395,0.12772908064646432,0.17115048080190096,0.07159331731938126,0.1115085876161202,0.03951983232732663,0.03598665155489201,0.07365089250944638,2
2010-05-14,0.11641107851876326,0.10568080045945066,0.05659756728126292,0.08722911411894921,0.1279860033214279,0.1733572528328434,0.07021993728227988,0.11156515398024262,0.041355545521309225,0.03715377748804855,0.07244376919542249,2
2010-05-21,0.11297088179970637,0.1195553167786414,0.05564174662326469,0.07712347006945935,0.09794488213636872,0.1738712485661666,0.08164709493298875,0.10674369863196523,0.06677572545191918,0.03933745842763091,0.06838847658188872,2
2010-05-28,0.10786691786389391,0.11814358794179788,0.05587766700163291,0.07595744208724978,0.10066861764595793,0.17991737303607025,0.07834662374442215,0.10486094042651248,0.07070246292271294,0.041651958111396756,0.06600640921835299,2
2010-06-04,0.10776619185164571,0.11788085205020617,0.05619269610374354,0.07748307572755743,0.10112794160998691,0.17685032451974264,0.08041717768779807,0.1068477491841953,0.06785925225777073,0.04010942031062778,0.06746531869672587,2
2010-06-11,0.10892194804716554,0.11805648337193349,0.05537279868835076,0.07775769085834834,0.10089277387161016,0.17750047367704777,0.07795956246478714,0.10838526811729322,0.06708925271161492,0.04031605137708572,0.06774769681476285,2
2010-06-18,0.08616985005603231,0.15124980631059917,0.029014958180209452,0.051347917661417414,0.08426908783147537,0.11261929624944056,0.043431232851535786,0.13434892831222953,0.24134123979856448,0.03041519928363877,0.0357924834648572,2
2010-06-25,0.0847366335594189,0.1495766119673211,0.02913174394623622,0.052266910511412364,0.08446378328795705,0.11196043135717405,0.04403243651046878,0.13647477824637105,0.2411684255790986,0.029905195970145713,0.036283049064396194,2
2010-07-02,0.08415397151077181,0.14991892164261345,0.028922094127143798,0.05201272738272015,0.08529071554730966,0.11292714538841814,0.04355915501259124,0.13580928090042724,0.2419126955627704,0.03007427857599198,0.035419014349242,2
2010-07-09,0.08325712918516694,0.14810213330201044,0.0280288147503906,0.05074984549118406,0.08483868731967004,0.11145158706201207,0.04220817836377373,0.13674413675320327,0.2487613684970054,0.03067999793982048,0.03517812133576309,2
2010-07-16,0.09714773876067904,0.1448525001896422,0.035389166545294774,0.0529174076751768,0.06344811605916265,0.13014407939083467,0.06910366643124288,0.12659929314657034,0.2064263419402556,0.030717349350888656,0.0432543405102525,2
2010-07-23,0.09714390308668483,0.14348552942710566,0.03458026278637247,0.05343652918651173,0.06459339350100722,0.13189468181619057,0.06802697044167733,0.1273627640014139,0.20555689918114692,0.030341414247053635,0.04357765232483556,2
2010-07-30,0.09492090472719582,0.14563741006617736,0.03566518255795336,0.05354802378082372,0.06570374700874661,0.13200103601920238,0.07145719548792294,0.1241860696592705,0.2020023409497683,0.03027695925625722,0.04460113048668185,2
2010-08-06,0.09875643049404562,0.14502675752038643,0.03503332601358305,0.05355586171579871,0.06481479807909259,0.13214086588523155,0.07124298689651898,0.1224699510769734,0.20085147756240918,0.029906097485429838,0.04620144727053072,2
2010-08-13,0.07193783568755245,0.14778308610389432,0.04598488426059068,0.05507460324335159,0.0876926326073922,0.10692266740613732,0.0522361848174282,0.13737918424737855,0.21393962335479427,0.04862650845421718,0.03242278981726343,2
2010-08-20,0.06977126371279685,0.14911707233784932,0.04438117691689801,0.055221467211246024,0.0874478291526722,0.10441529033937778,0.05186406081927195,0.1407621124262112,0.2151290341215915,0.04919465104568115,0.032696041916403996,2
2010-08-27,0.07028570183416898,0.14728896178498635,0.045794917464850475,0.05653767874677557,0.08660046444877226,0.10376154666569855,0.05307071218678808,0.13842833340066726,0.2153832040051536,0.049584315808194265,0.03326416365394479,2
2010-09-03,0.06876007751951466,0.14787645825923226,0.04531835369698789,0.056373296888932535,0.08659663774955231,0.10335311622656915,0.05153612403972464,0.1375859979657084,0.21992558923234407,0.04980087485940608,0.032873473562027966,2
2010-09-10,0.06429983683385423,0.18693713453397467,0.03834318223782048,0.04550658025666194,0.06796297136028953,0.08912843232680341,0.05425902445718542,0.15782017721391964,0.21313584078455433,0.04903796877329783,0.033568851221638406,2
