,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index,gamma_reg,b_weight
2010-01-01,0.09634346469487205,0.13518698016469188,0.08983942101139669,0.08569152792663681,0.07516238396856374,0.07584039578195303,0.07728348868743838,0.13016369807270742,0.09131889353238878,0.0918782371225087,0.05129150903684243,0.001,0.5
2010-01-08,0.09634346469487205,0.13518698016469188,0.08983942101139669,0.08569152792663681,0.07516238396856374,0.07584039578195303,0.07728348868743838,0.13016369807270742,0.09131889353238878,0.0918782371225087,0.05129150903684243,0.001,0.5
2010-01-15,0.09634346469487205,0.13518698016469188,0.08983942101139669,0.08569152792663681,0.07516238396856374,0.07584039578195303,0.07728348868743838,0.13016369807270742,0.09131889353238878,0.0918782371225087,0.05129150903684243,0.001,0.5
2010-01-22,0.09634346469487205,0.13518698016469188,0.08983942101139669,0.08569152792663681,0.07516238396856374,0.07584039578195303,0.07728348868743838,0.13016369807270742,0.09131889353238878,0.0918782371225087,0.05129150903684243,0.001,0.5
2010-01-29,0.09730555292496598,0.13251466536671647,0.08845607102321086,0.08891263647443216,0.07556329793593278,0.0743184486601933,0.07789061556851073,0.1259681084349709,0.09102307648671647,0.096416904592148,0.05163062253220234,0.001,0.5
2010-02-05,0.09730555292496598,0.13251466536671647,0.08845607102321086,0.08891263647443216,0.07556329793593278,0.0743184486601933,0.07789061556851073,0.1259681084349709,0.09102307648671647,0.096416904592148,0.05163062253220234,0.001,0.5
2010-02-12,0.09730555292496598,0.13251466536671647,0.08845607102321086,0.08891263647443216,0.07556329793593278,0.0743184486601933,0.07789061556851073,0.1259681084349709,0.09102307648671647,0.096416904592148,0.05163062253220234,0.001,0.5
2010-02-19,0.09730555292496598,0.13251466536671647,0.08845607102321086,0.08891263647443216,0.07556329793593278,0.0743184486601933,0.07789061556851073,0.1259681084349709,0.09102307648671647,0.096416904592148,0.05163062253220234,0.001,0.5
2010-02-26,0.0963035814020492,0.1398084953022225,0.08838409029582082,0.08699488908727072,0.07476590968928361,0.07281124561969712,0.07346555070568508,0.12727700477666204,0.09303218695592887,0.09822789306820606,0.04892915309717403,0.001,0.5
2010-03-05,0.0963035814020492,0.1398084953022225,0.08838409029582082,0.08699488908727072,0.07476590968928361,0.07281124561969712,0.07346555070568508,0.12727700477666204,0.09303218695592887,0.09822789306820606,0.04892915309717403,0.001,0.5
2010-03-12,0.0963035814020492,0.1398084953022225,0.08838409029582082,0.08699488908727072,0.07476590968928361,0.07281124561969712,0.07346555070568508,0.12727700477666204,0.09303218695592887,0.09822789306820606,0.04892915309717403,0.001,0.5
2010-03-19,0.0963035814020492,0.1398084953022225,0.08838409029582082,0.08699488908727072,0.07476590968928361,0.07281124561969712,0.07346555070568508,0.12727700477666204,0.09303218695592887,0.09822789306820606,0.04892915309717403,0.001,0.5
2010-03-26,0.0930254265374836,0.13561889795405055,0.08695855285641041,0.08840336501165152,0.07743142098267117,0.07515966551056852,0.07434315776617215,0.1281025422474002,0.09509808888455207,0.09479748211400141,0.05106140013503836,0.001,0.5
2010-04-02,0.0930254265374836,0.13561889795405055,0.08695855285641041,0.08840336501165152,0.07743142098267117,0.07515966551056852,0.07434315776617215,0.1281025422474002,0.09509808888455207,0.09479748211400141,0.05106140013503836,0.001,0.5
2010-04-09,0.0930254265374836,0.13561889795405055,0.08695855285641041,0.08840336501165152,0.07743142098267117,0.07515966551056852,0.07434315776617215,0.1281025422474002,0.09509808888455207,0.09479748211400141,0.05106140013503836,0.001,0.5
2010-04-16,0.0930254265374836,0.13561889795405055,0.08695855285641041,0.08840336501165152,0.07743142098267117,0.07515966551056852,0.07434315776617215,0.1281025422474002,0.09509808888455207,0.09479748211400141,0.05106140013503836,0.001,0.5
2010-04-23,0.09350426898334319,0.13815258735711172,0.08723236177141533,0.08638291766154385,0.07535793102152094,0.07560474131772864,0.07461261606083769,0.12704837930123125,0.09512506698571857,0.09471980844488165,0.05225932109466721,0.001,0.5
2010-04-30,0.09350426898334319,0.13815258735711172,0.08723236177141533,0.08638291766154385,0.07535793102152094,0.07560474131772864,0.07461261606083769,0.12704837930123125,0.09512506698571857,0.09471980844488165,0.05225932109466721,0.001,0.5
2010-05-07,0.09350426898334319,0.13815258735711172,0.08723236177141533,0.08638291766154385,0.07535793102152094,0.07560474131772864,0.07461261606083769,0.12704837930123125,0.09512506698571857,0.09471980844488165,0.05225932109466721,0.001,0.5
2010-05-14,0.09350426898334319,0.13815258735711172,0.08723236177141533,0.08638291766154385,0.07535793102152094,0.07560474131772864,0.07461261606083769,0.12704837930123125,0.09512506698571857,0.09471980844488165,0.05225932109466721,0.001,0.5
2010-05-21,0.09501674195716836,0.1430532774175272,0.08783777539623232,0.08408080869282028,0.07275296916066694,0.07354528408964042,0.07571019460964523,0.12723953608888877,0.09487897851986107,0.09479602611734586,0.05108840795020346,0.001,0.5
2010-05-28,0.09501674195716836,0.1430532774175272,0.08783777539623232,0.08408080869282028,0.07275296916066694,0.07354528408964042,0.07571019460964523,0.12723953608888877,0.09487897851986107,0.09479602611734586,0.05108840795020346,0.001,0.5
2010-06-04,0.09501674195716836,0.1430532774175272,0.08783777539623232,0.08408080869282028,0.07275296916066694,0.07354528408964042,0.07571019460964523,0.12723953608888877,0.09487897851986107,0.09479602611734586,0.05108840795020346,0.001,0.5
