,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index,gamma_reg,b_weight
2010-01-01,0.13581393827070787,0.3216434515891047,0.158638098356713,0.030703095828764158,-0.03161254861042252,-0.0016443651001057519,0.027144730515481406,0.2690901676410319,0.09319847216648047,0.10416907873290111,-0.10714411939065631,0.001,0.5
2010-01-08,0.13581393827070787,0.3216434515891047,0.158638098356713,0.030703095828764158,-0.03161254861042252,-0.0016443651001057519,0.027144730515481406,0.2690901676410319,0.09319847216648047,0.10416907873290111,-0.10714411939065631,0.001,0.5
2010-01-15,0.13581393827070787,0.3216434515891047,0.158638098356713,0.030703095828764158,-0.03161254861042252,-0.0016443651001057519,0.027144730515481406,0.2690901676410319,0.09319847216648047,0.10416907873290111,-0.10714411939065631,0.001,0.5
2010-01-22,0.13581393827070787,0.3216434515891047,0.158638098356713,0.030703095828764158,-0.03161254861042252,-0.0016443651001057519,0.027144730515481406,0.2690901676410319,0.09319847216648047,0.10416907873290111,-0.10714411939065631,0.001,0.5
2010-01-29,0.14152586714835363,0.31426609082360574,0.1439826654354062,0.049996574621966876,-0.03225679338028914,-0.016167081052089284,0.038029412639927415,0.24432822086819755,0.09375096147679132,0.1293932319608906,-0.1068491505427608,0.001,0.5
2010-02-05,0.14152586714835363,0.31426609082360574,0.1439826654354062,0.049996574621966876,-0.03225679338028914,-0.016167081052089284,0.038029412639927415,0.24432822086819755,0.09375096147679132,0.1293932319608906,-0.1068491505427608,0.001,0.5
2010-02-12,0.14152586714835363,0.31426609082360574,0.1439826654354062,0.049996574621966876,-0.03225679338028914,-0.016167081052089284,0.038029412639927415,0.24432822086819755,0.09375096147679132,0.1293932319608906,-0.1068491505427608,0.001,0.5
2010-02-19,0.14152586714835363,0.31426609082360574,0.1439826654354062,0.049996574621966876,-0.03225679338028914,-0.016167081052089284,0.038029412639927415,0.24432822086819755,0.09375096147679132,0.1293932319608906,-0.1068491505427608,0.001,0.5
2010-02-26,0.13594005009669316,0.3304093248608676,0.15024532997928336,0.039437330500725516,-0.0285804020099847,-0.017193572192308604,0.008796397321722133,0.24672252112442572,0.09984795198214955,0.1412541008152261,-0.10687903247879983,0.001,0.5
2010-03-05,0.13594005009669316,0.3304093248608676,0.15024532997928336,0.039437330500725516,-0.0285804020099847,-0.017193572192308604,0.008796397321722133,0.24672252112442572,0.09984795198214955,0.1412541008152261,-0.10687903247879983,0.001,0.5
2010-03-12,0.13594005009669316,0.3304093248608676,0.15024532997928336,0.039437330500725516,-0.0285804020099847,-0.017193572192308604,0.008796397321722133,0.24672252112442572,0.09984795198214955,0.1412541008152261,-0.10687903247879983,0.001,0.5
2010-03-19,0.13594005009669316,0.3304093248608676,0.15024532997928336,0.039437330500725516,-0.0285804020099847,-0.017193572192308604,0.008796397321722133,0.24672252112442572,0.09984795198214955,0.1412541008152261,-0.10687903247879983,0.001,0.5
2010-03-26,0.11321474219241343,0.3120935509357942,0.13783419783830267,0.0511461349224849,-0.0113463265237502,-0.004336173218034443,0.015143649781319771,0.2536688808297637,0.10663321068137001,0.12269050215087797,-0.09674236959054196,0.001,0.5
2010-04-02,0.11321474219241343,0.3120935509357942,0.13783419783830267,0.0511461349224849,-0.0113463265237502,-0.004336173218034443,0.015143649781319771,0.2536688808297637,0.10663321068137001,0.12269050215087797,-0.09674236959054196,0.001,0.5
2010-04-09,0.11321474219241343,0.3120935509357942,0.13783419783830267,0.0511461349224849,-0.0113463265237502,-0.004336173218034443,0.015143649781319771,0.2536688808297637,0.10663321068137001,0.12269050215087797,-0.09674236959054196,0.001,0.5
2010-04-16,0.11321474219241343,0.3120935509357942,0.13783419783830267,0.0511461349224849,-0.0113463265237502,-0.004336173218034443,0.015143649781319771,0.2536688808297637,0.10663321068137001,0.12269050215087797,-0.09674236959054196,0.001,0.5
2010-04-23,0.1177745944260936,0.3218426464226025,0.1414680750452962,0.03787656524342191,-0.024953184773605377,-0.000617779537664162,0.01761377259095711,0.24723746541608815,0.10799478081682341,0.12266824663898011,-0.08890518228899362,0.001,0.5
2010-04-30,0.1177745944260936,0.3218426464226025,0.1414680750452962,0.03787656524342191,-0.024953184773605377,-0.000617779537664162,0.01761377259095711,0.24723746541608815,0.10799478081682341,0.12266824663898011,-0.08890518228899362,0.001,0.5
2010-05-07,0.1177745944260936,0.3218426464226025,0.1414680750452962,0.03787656524342191,-0.024953184773605377,-0.000617779537664162,0.01761377259095711,0.24723746541608815,0.10799478081682341,0.12266824663898011,-0.08890518228899362,0.001,0.5
2010-05-14,0.1177745944260936,0.3218426464226025,0.1414680750452962,0.03787656524342191,-0.024953184773605377,-0.000617779537664162,0.01761377259095711,0.24723746541608815,0.10799478081682341,0.12266824663898011,-0.08890518228899362,0.001,0.5
2010-05-21,0.12833057138376508,0.34242649024264193,0.14894915279484408,0.023057317005713854,-0.04029507014612774,-0.010457722112758236,0.027834283204706906,0.24615368060791332,0.10785035193476031,0.12436371460422167,-0.09821276951968112,0.001,0.5
2010-05-28,0.12833057138376508,0.34242649024264193,0.14894915279484408,0.023057317005713854,-0.04029507014612774,-0.010457722112758236,0.027834283204706906,0.24615368060791332,0.10785035193476031,0.12436371460422167,-0.09821276951968112,0.001,0.5
2010-06-04,0.12833057138376508,0.34242649024264193,0.14894915279484408,0.023057317005713854,-0.04029507014612774,-0.010457722112758236,0.027834283204706906,0.24615368060791332,0.10785035193476031,0.12436371460422167,-0.09821276951968112,0.001,0.5
