,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTA1,.TRXFLDHDTE2,.TRXFLDHDTH1,.TRXFLDHDTM1,.TRXFLDHDTN2,.TRXFLDHDTT2,.TRXFLDHDTY1,gamma_op
2018-04-06,0.000717963454368369,0.0019456894720779945,0.0032981767082081604,0.2627238366722948,0.7156525571238779,0.0008449066158128197,0.002180893230399546,0.0012746937837734313,0.0012231081019968527,0.0010748728548091706,0.0018150864006038925,0.0021988099764461634,0.0020715477581851045,0.001946533623673382,0.0010313242234724009,,,,,,,,2
2018-04-13,0.0007240026808097624,0.001929553940627646,0.0033056983745166518,0.2785732080979159,0.6998273693178528,0.0008426990919047957,0.002203044140698257,0.0012795046097382504,0.0012229728304362323,0.0010683270607382102,0.0017499752938870369,0.0021963355212759974,0.002093369417347975,0.0019224728789991464,0.0010614667432511675,,,,,,,,2
2018-04-20,0.0007001971850310152,0.001956113360187668,0.003317817578261069,0.2675979881585843,0.7109788451268108,0.0008160263638108458,0.0021632741896793093,0.001231066686261404,0.001246070997113668,0.0010717049002258328,0.001762081512356587,0.0021200347851222487,0.002069444818979958,0.0019306631639844157,0.0010386711735907502,,,,,,,,2
2018-04-27,0.0007183948334872305,0.0020570186556899974,0.0033553758144602218,0.2711273706067294,0.7069453685759278,0.0008463457531520633,0.002255051676027596,0.0012453720731601505,0.0012614925069432013,0.0011101081752785927,0.0017012617150063082,0.0022143478044028917,0.0020828724077358194,0.0020067784433505822,0.0010728409586480286,,,,,,,,2
2018-05-04,4.8557804825620715e-05,0.00016214572613010335,0.00026921550435369764,0.5055237817566607,0.49285404866395205,5.99030125345765e-05,0.00018516168809258507,9.067454034892013e-05,9.578919991488238e-05,7.614513942028034e-05,0.0001019629755335188,0.00016514291475520904,0.00015406127245992348,0.00013734019502672546,7.606960599129534e-05,,,,,,,,2
2018-05-11,4.8662471156813924e-05,0.000157349890197256,0.0002652270539875989,0.5068877022629478,0.4915009720372005,5.98361567402528e-05,0.00018356322660111743,8.951474883470216e-05,9.477630287347e-05,7.507885216553604e-05,0.00010297249175947672,0.00016506370246187888,0.0001538402146285751,0.00013860988591532947,7.683070252953594e-05,,,,,,,,2
2018-05-18,4.729370700867362e-05,0.000154241580646296,0.00025949666272513574,0.5025591709336283,0.4958662432459527,5.775171087051598e-05,0.00017830768438255285,8.648758911459924e-05,9.710203004553967e-05,7.273562538688258e-05,9.993691253467078e-05,0.00016057971787328547,0.00015011307102709792,0.0001343645244405842,7.617500436298642e-05,,,,,,,,2
2018-05-25,4.629005262713039e-05,0.0001478523030840923,0.00025163798251942826,0.5154802352215634,0.4830063157049105,5.4750119104300576e-05,0.0001741648464808865,8.37518410224761e-05,9.210009185972691e-05,7.258385385107035e-05,9.567277725384724e-05,0.00015370403570965046,0.0001418826354426479,0.00012718780766880078,7.187072690190372e-05,,,,,,,,2
2018-06-01,0.0006250610208265796,0.0018251888926229716,0.00331205863550192,0.6267714328882604,0.35324048450018364,0.0007403443260508343,0.0022305284796225707,0.0011124453733828321,0.0013831572097359305,0.0010242860284131877,0.0012004192257794848,0.002270066840767559,0.0017050776553274942,0.001531965265250258,0.0010274836582741264,,,,,,,,2
2018-06-08,0.0006017006550409027,0.001789743544250751,0.0032887703248225676,0.6285874463525117,0.3514965462070653,0.0007347937344244197,0.0022454341640967415,0.0011052647710563838,0.0013472645222728037,0.0010194767990407557,0.0011670408299101725,0.002287035825729433,0.001762686365405642,0.0015199116753620969,0.0010468842290102638,,,,,,,,2
2018-06-15,0.0006005282248315863,0.0018240294744904719,0.003382938179840475,0.6158953690141602,0.36386964982078146,0.0007394103031413551,0.002280512604553236,0.0011307830933505547,0.0013153777832825657,0.001039158382198686,0.0012372424753367911,0.0023246970993608,0.0017928594904586604,0.0014938422540112983,0.0010736018002018202,,,,,,,,2
2018-06-22,0.0006256198687295511,0.0018443096831243734,0.003401674459025582,0.6137203428877136,0.3659820999179448,0.0007457667059665645,0.0023043500819887298,0.0011395827482633559,0.0013042111362031753,0.0010186659940396752,0.0012129467185900324,0.002330123106174134,0.0017913916690064109,0.0015228229583569273,0.0010560920648729623,,,,,,,,2
2018-06-29,0.00027122815218576365,0.0007282641559227159,0.0013956880893883025,0.5788559190357958,0.41292426281271877,0.0002904123597503054,0.0009273108382171877,0.0004875996808781887,0.0005225575258336604,0.0003976548695583035,0.0004767099598968613,0.00093100417941656,0.0007399151132811248,0.0006206604180916412,0.00043081280906477376,,,,,,,,2
2018-07-06,0.00028485467529624825,0.0007331176264277778,0.0013628487071751497,0.5739072987937314,0.41790510385510576,0.0002922775441691577,0.0009288900420081868,0.0004767817555939944,0.0005053252785468586,0.0003976367044002233,0.00046935785862359757,0.0009577084549892684,0.0007377583675878508,0.0006132345797422991,0.00042780575660229954,,,,,,,,2
2018-07-13,0.0002941820500623969,0.0007635205165602197,0.0014137349041997908,0.5627872657656993,0.42877225039764194,0.0003078631131808985,0.0009648964127009922,0.0004901957929129924,0.0005006473761241111,0.00040925249100474,0.00047212432624920206,0.001033636698470669,0.0007459328910575447,0.0006140723504694197,0.00043042491366578094,,,,,,,,2
