date,HSCIIT,HSCIH,HSCIEN,HSCICD,HSCIPC,HSCIFN,HSCIMT,HSCICS,HSCIUT,HSCITC,HSCIIN
2000-04-28,-0.26016913231506156,-0.2089150758207784,-0.005205881349571895,-0.15207805164572707,-0.13236194373514376,-0.030893733002743562,0.03500730512504657,-0.06582941650350249,0.0030192036000209477,-0.16238112923983172,0.09541217243040867
2000-05-31,-0.10666837609577084,-0.1796261617019297,0.21685573586096218,0.0073652630560239185,-0.19611494968885268,-0.03286975375561407,-0.05789255168977836,0.03187892632781275,0.035072800972418605,0.013575383853903444,-0.09019350745479526
2000-06-30,-0.018616687297059564,0.012117774942104864,0.046916920302108034,0.13988259266937342,0.16888066546478164,0.062093659323977146,0.1053429462884945,-0.004261630931692184,0.012186885741646059,0.12370095682827476,0.2383903375623544
2000-07-31,0.06598087020898369,-0.01094539443577991,0.11323111379102424,-0.05489314135150236,0.08321946071732977,0.14036293897342178,0.14745767216862027,0.2304793454577796,-0.004590993287788558,-0.046264231230619624,0.026387215208406145
2000-08-31,-0.058861608769650964,0.11753458288088403,0.03584071652416121,-0.045282381267512384,0.1454773681055157,0.0725380380459788,0.023932843496066614,0.12355789644860815,0.021525116804898214,-0.05659159408595771,-0.1081350948033708
2000-09-29,-0.15047670239467215,-0.1563253839166896,-0.14226820488638425,-0.1399945923358651,-0.04617741504609563,-0.016986928201259355,-0.18168039091484922,-0.07636764215156122,-0.00871655999490717,-0.17862569303991704,-0.013069885131006376
2000-10-31,-0.12670044773318312,-0.13805570299746628,-0.02483194077783535,-0.062033406121025814,-0.1041708344526816,0.0019562796577012875,-0.14655129516490206,0.0669202911167599,0.03730690760711153,-0.09224050276249862,-0.08088724153979121
2000-11-30,-0.1463534439355053,-0.023929310064369158,-0.14223038408511157,-0.10891849396048403,-0.03287861773263234,-0.026788753829825596,-0.03673255203778192,-0.03785647260413694,0.009791362075616261,-0.18000796226695182,-0.04624983046249842
2000-12-29,-0.07199165647701933,-0.03042621701892123,-0.05283330730386804,6.839290355165062e-06,0.20141843971631213,0.11390607879751236,0.024251962149183903,0.029453294944260966,0.10120875130283857,0.01215417784434103,-0.16107792946530142
2001-01-31,0.3421613535780996,-0.03635950669424992,-0.031734144950636534,0.10439421399993143,0.04762636940226783,0.04004802807795316,0.0018713680685511491,0.01348150772107748,-0.04132815410904633,0.12861893186123474,0.12833160996502424
2001-02-28,-0.08080638920810546,0.010721247563352687,0.11265556927356069,-0.09427232023978349,0.02492949920850407,-0.12165870379908694,0.22814261371084021,0.14196707986181667,0.08328903224077155,-0.12160439132971712,-0.04481423799770645
