,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU
2006-04-07,-0.02183919791668132,0.004485891220661786,0.017001246885032684,0.00031336125221459454,0.0016726956604171672,-0.003409293617702258,0.013913177087840012,-0.03838862631059736,-0.007057577756332312,0.008089001541434326,-0.0065050943031046415
2006-04-14,-0.00843170038853891,-0.009393051961585908,0.0052695735596228754,-0.004188911648194127,-0.0008705754374588315,-0.019602332607321027,0.0004833289771219995,-0.026789016077927164,-0.007368581611327141,-0.007249332177919676,-0.012371731290023336
2006-04-21,0.0045563456289559046,0.004033164956584789,0.07184197372963474,0.01984277819134861,0.028467703459045257,-0.013878366787926755,0.03995769567662033,0.03811026869013223,0.005891815409368117,0.004940128934707744,0.0336210684521554
2006-04-28,-0.005068936725331263,0.00859411425671186,-0.03766058935364647,0.022533063175629087,-0.009710274727618096,0.015470615750462935,-0.02040785551270652,-0.008477453509187383,0.015280470920794986,-0.01291535617068218,0.0018684980416019403
2006-05-05,-0.005371533256382843,0.013099973355176875,0.028745432731449805,0.00683609893156456,0.03245016472386131,-0.00298927767737156,0.03180032507699848,0.007582987595383894,0.010920955597049087,0.0068868859127331206,0.023708910093780178
2006-05-12,-0.015047669423599364,-0.016923445277380544,-0.030416106778068164,-0.027671053934213652,-0.024161660870751223,-0.0212844864566476,-0.026134752998928423,-0.029898625704074977,-0.015009224226884665,-0.04820833463424834,-0.02574188477822259
2006-05-19,-0.0033941400967192337,-0.012533167265784129,-0.05094565025472231,-0.018624225404741845,-0.02717124783188596,-0.009491263392745308,-0.0483378763902409,-0.01621153589268065,-0.00034856047381370825,-0.02154866634395769,-0.008963175618737163
2006-05-26,0.00830521338743595,-0.0012908010737133768,0.020876114530208323,0.010827311217143754,0.00381603251229512,0.012445826073415045,0.010400957092223884,0.022885511368593736,0.022061599853413938,0.0076983961553205305,0.017126710693596836
2006-06-02,0.01081209000247152,0.005929172955051909,0.02274059939078521,0.009306915131096272,0.006841725907736462,0.014613953196809693,0.009164632693847707,0.02192833747025258,-0.006945840465338637,-0.0028285003596015823,0.029380730677637024
2006-06-09,-0.015035624564805672,-0.025265749441913177,-0.06647483115303976,-0.014955290693557277,-0.04156250125025174,-0.00907581696654336,-0.06837854333247961,0.002265607678965109,-0.008676776013901932,-0.04425986233707835,-0.004750899700557754
2006-06-16,-0.0015145562409146773,-0.0005172015569893107,0.006248313224944235,-0.021992521006241716,0.009376590582167221,0.02367931406943935,0.0016115705724484286,-0.009926777524010166,0.003630239497334209,0.007765000368822328,-0.00403313039442843
2006-06-23,-0.010339098426288884,-0.00751074634652571,0.0020242194537138936,-0.006516349924333031,-0.00039177185368732825,-0.013047004180004151,0.011010292669681343,-0.015462129034021777,0.0017286772364308867,-0.006625000112956858,-0.01260810460631967
2006-06-30,0.010937884386484908,0.014028832600715857,0.06400246502029283,0.02206474091326527,0.020121135563161863,0.022739103429636254,0.0391177974815089,0.040719591794889265,0.015205069402913551,0.014786580974603059,0.02401126672799636
2006-07-07,0.00490402963212766,-0.015143420518348716,0.001894828745302224,0.002048588006170915,-0.016117532835691395,-0.0036298847286720948,-0.009655526208698584,0.011809898498904348,0.007820474800847022,-0.019156647350654477,0.006831362181430878
2006-07-14,-0.016498550231175413,-0.04454433854684248,0.020643459584080537,-0.022676883301950612,-0.04072046671777929,-0.03242293930525808,-0.035106089722613865,-0.011797302416101663,-0.01319869939913032,-0.046986923722067475,0.002653702387855894
2006-07-21,0.029260184819493107,-0.0034907116455860088,-0.053886725119295265,0.018882929341409893,-0.011823778011468278,0.014806916075790655,-0.022962504701556474,0.005472096617603839,0.015591277988540764,-0.010417246059648222,0.02494218238665402
2006-07-28,0.03284839179622634,0.028341998354253217,0.06095281186800583,0.02815017553028709,0.015204205043408248,0.07813682295934843,0.025602016792014792,0.04085513355720449,0.013127649073735093,0.041017079897638364,0.018493805264018892
2006-08-04,-0.005094542410615022,0.005951604862522775,0.00815484106307629,0.0033265333422514143,0.0012921114099861963,-0.0037220856815965986,0.010078369082937355,0.012313227563037099,0.0018349322507473786,-0.004248351207790324,0.0008365656913777997
2006-08-11,-0.0085303068568372,-0.01626862805109386,0.004583187352976914,-0.020018852409565246,-0.02812711657771383,-0.015999315218887977,-0.015368376421050045,-0.03668895156364815,0.0035883356167647484,-0.0029214972650111193,-0.004853742865654209
2006-08-18,0.023850148209602295,0.03527311149993828,-0.00962641728047664,0.02781515856245753,0.044156604798944565,0.006822995461422066,0.033233474521566775,0.02772869929678956,0.013816912237209822,0.06953815419196663,0.011691958546692582
2006-08-25,0.004879906488149066,-0.028420267608174288,0.012991903187215437,-0.009510512790687375,-0.0219888275566702,0.002193806253850461,-0.006633945377136463,0.007332584158624034,0.0011929848694891554,-0.009751058563626347,-0.0011267721977673562
2006-09-01,0.015706720590730416,0.03304367799053565,-0.02872542289101432,0.00953785121713846,0.01992326199451555,0.02917136988384561,0.02257374987793237,0.011025174658756853,0.016670634596319456,0.026846411964868144,0.01462095227265836
2006-09-08,-0.00896260105622071,0.0005814281822538181,-0.03951472489243191,-0.0024476490688111197,-0.010956224966466976,-0.007280459772507131,-0.016005193847711374,0.004300778780582881,-0.0035288902403290967,-0.01067880642446939,-0.014412489210850477
2006-09-15,0.017179281715257844,0.03896428903581595,-0.03934193650620732,0.02692551021322176,0.0234794622001937,0.020557641217169298,-0.005530342999485072,0.026298280598219925,0.006452012680715491,0.03506948509195418,-0.007693130194639464
2006-09-22,-0.007828464080158248,-0.0024975357760895767,-0.007711489268477978,0.00046116222572578636,-0.010185005567728944,0.02201132380695614,-0.0054751531741671355,-0.007295691282362071,-0.004221202021762571,-0.00938914170009808,-0.007617673523441004
2006-09-29,0.007415289092572275,0.01615851622239539,0.04346784707329676,0.012058475217296305,0.026683766201631487,-0.005848490969737052,0.0189860613008781,0.004069021725862543,-0.004326881993888865,0.020388071989164258,0.012875918021364674
