,.TR15GSPE,.TR15GSPM,.TR15GSPIC,.TR15GSPCS,.TR15GSPTRN,.TR15GSPAU,.TR15GSPLP,.TR15GSPHR,.TR15GSPMS,.TR15GSPFDGR,.TR15GSPFBT,.TR15GSPHHPE,.TR15GSPHC,.TR15GSPPHB,.TR15GSPBK,.TR15GSPDF,.TR15GSPINSC,.TR15GSPIS,.TR15GSPTEHW,.TR15GSPSEQP,.TR15GSPTS,.TR15GSPME,.TR15GSPU,.TR15GSPREC
2006-04-07,0.0170012468850326,0.01391317708784,-0.0023400657974537,-0.0038267651221358,0.0221031581193926,-0.0236220047613586,0.0044883028795936,0.0053721803159767,0.0054562830334907,-0.0061411766776059,-0.0078124422916063,-0.0065164734254214,-0.0251613765502938,-0.0193085600774459,0.0041122914314604,0.0091900147976373,-0.0084402128944717,0.0064051564880864,0.0060003333840656,0.0161963102131101,-0.00340984743489,0.0079614131495731,-0.0065050943031046,-0.0383886263105973
2006-04-14,0.0052695735596228,0.0004833289771219,0.0004846504186075,-0.0024266200098016,-0.0057554860709272,-0.0180156160205119,-0.025093831758352,-0.0057093706636418,-0.0141581192691434,-0.0084458352882852,-0.005831391719912,-0.0092644701691897,-0.0092139585911463,-0.0078406797978283,-0.0010014721714182,-0.0009194074630861,-0.0081975237398432,-0.0059039805069998,-0.0083915124692629,-0.0072231681411059,-0.019602332607321,0.0045180210387243,-0.0123717312900233,-0.0267890160779271
2006-04-21,0.0718419737296347,0.0399576956766203,0.0324874875270762,0.0234784020214307,0.0140939491801492,0.0404329580448798,0.0176435411147095,0.009643206919691,0.000529732195841,-0.0096422588062615,0.015615330467732,0.0026635261779017,0.0001933952735417,0.0078394325072095,0.0137174960683796,0.0200841801593654,0.0243563841141922,0.0145354617839559,-0.0067168392930885,0.0131285185755685,-0.0138777980257125,-0.0086740651877594,0.0336210684521554,0.0381102686901322
2006-04-28,-0.0376605893536464,-0.0204078555127065,-0.0092086593480881,0.0103293167165399,-0.0228527067203794,-0.0013954016647466,-0.0278450407439379,0.0009396474623857,0.009732103430647,-0.0085556305298216,0.0183593903227794,0.033116248145069,-0.0164912601405233,0.0033784908904965,0.0383640580498565,0.0117873519969853,0.0230393532088404,-0.0367866864699406,-0.0024233895270249,0.00960476652898,0.0154706068275307,0.0335072671781659,0.0018684980416019,-0.0084774535091873
2006-05-05,0.0287454327314498,0.0318003250769984,0.0326834522479273,0.0066513898545121,0.0460301447366451,0.0232919002356,-0.0009149811816111,0.0217985011754566,0.0160660841935527,0.031817756112819,0.0185378370785702,-0.0241288584667551,-0.015968105594571,0.0016135405610422,0.003605365410751,0.0108901363927667,0.0028450309864118,-0.0157429208628232,0.0218282953387978,0.0154015764378558,-0.0029892759795233,0.0090473622557816,0.0237089100937801,0.0075829875953838
2006-05-12,-0.0304161067780681,-0.0261347529989284,-0.0231050104608182,-0.0247978199652642,-0.0283929673217877,0.0084010151612587,-0.0378443257968267,-0.0265402769389682,-0.0316904293834074,-0.0250477739351049,-0.0130853340415453,-0.0087043358333148,-0.0084095655938079,-0.0193499199004216,-0.020905069520142,-0.035306806856927,-0.0206680584082062,-0.0364050223236044,-0.0531847108163866,-0.0581612010891706,-0.0212850440136632,0.0132214231775846,-0.0257418847782225,-0.0298986257040749
2006-05-19,-0.0509456502547223,-0.0483378763902409,-0.0266157805965581,-0.0135686402345209,-0.0370315825562825,-0.0179847288578399,-0.0266859589777682,-0.0218252383456362,-0.0098233517430087,0.0100415963150835,0.0001904449641425,-0.011839068824614,-0.0044022677454206,-0.0027245604099617,-0.0164810690423161,-0.0219359649510495,-0.0155955356763881,-0.0237940177209,-0.0176892454916721,-0.026124475568223,-0.0094906813209071,-0.0026239528801415,-0.0089631756187371,-0.0162115358926806
2006-05-26,0.0208761145302083,0.0104009570922238,0.0025285315809944,-0.0074506793852426,0.0157871104455407,0.0381287706194004,0.0049543776191185,-0.0101290249229301,-0.0153550402841388,0.0258980766606335,0.0227205687487757,0.0167802265942629,-0.0003867235760939,0.0139899574246646,0.0098473445330655,0.0149228413764783,0.0009798206816278,0.0325284960333867,0.0008424805218811,-0.0222482464527572,0.0124452311106095,0.0108081120209668,0.0171267106935968,0.0228855113685937
2006-06-02,0.0227405993907852,0.0091646326938477,0.0053779934962359,0.0054939843626091,0.0139328935046476,-0.0056820522061472,-0.0122479201324462,0.0041016616312468,0.0079100860365228,-0.011561870991519,-0.0012153717629282,-0.0139047627306652,0.0239163260194907,0.0023413622781875,0.0130141929533509,0.0079031163579108,0.00384815537914,-0.0179451954542128,0.0041737058382238,0.0101594344745254,0.0146145336223078,0.0150040029230538,0.029380730677637,0.0219283374702525
2006-06-09,-0.0664748311530397,-0.0683785433324796,-0.0406800116378084,-0.0334953605219103,-0.0497318146707368,-0.0445789706351605,-0.0402354725925542,-0.0157340223665759,-0.0233849097627779,-0.0101469982164651,-0.0155864050000578,0.0072692377827583,-0.0174861698975493,-0.0134172103659242,-0.0094600905841815,-0.0211284061280714,-0.0147952641794423,-0.0276174736427923,-0.0480185906149697,-0.0668309477281046,-0.0090763838396202,-0.0228528402211475,-0.0047508997005577,0.0022656076789651
