Dates,DJUSBMT,DJUSNCT,DJUSCYT,DJUSHCT,DJUSINT,DJUSENT,DJUSTCT,DJUSTLT,DJUSUTT,DJUSFNT
30/5/2003,0.031763722,0.077423874,0.046263887,0.03253419,0.036793166,0.095752472,0.096622443,0.066995141,0.102462825,0.056130203
30/6/2003,0.002970564,0.010478813,0.027454545,0.039799257,0.012959149,-0.014703425,-0.002289488,0.036493073,0.010115911,0.00367772
31/7/2003,0.078729133,-0.009688896,0.020314988,0.001893939,0.036982123,-0.032253688,0.058793691,-0.052595755,-0.055497601,0.046022105
29/8/2003,0.029702476,0.015745624,0.048770335,-0.033233734,0.050492259,0.065711082,0.064061324,0.001045,0.015020985,-0.007386818
30/9/2003,-0.047607505,0.010610279,-0.044286423,0.002459947,-0.030293603,-0.024729521,-0.009798246,-0.040190513,0.041838955,0.009072078
31/10/2003,0.084398066,0.058749069,0.081776024,0.012269553,0.052815207,0.010216812,0.096808418,0.058323703,0.014361063,0.067685465
28/11/2003,0.026522086,0.026302834,0.009821172,0.019424416,0.020073896,0.00400534,0.017115783,-0.013488342,0.010450988,0.004361604
31/12/2003,0.105542345,0.047248681,0.008490148,0.054754428,0.071097834,0.135704787,0.015197391,0.087570805,0.057879452,0.04443696
30/1/2004,-0.043721046,0.00219205,-0.001130866,0.031158771,0.015269837,0.014021427,0.039365261,0.041127874,0.020372779,0.03248252
27/2/2004,0.048964056,0.041753722,0.028429461,0.010903994,-0.004910377,0.046563321,-0.032576705,0.016962797,0.021334844,0.026907525
31/3/2004,-0.022803183,0.007113535,-0.003547184,-0.032830524,-0.011836157,-0.005461466,-0.030289202,-0.01549248,0.009289213,-0.005362145
30/4/2004,-0.048485104,0.009303628,-0.013379979,0.028526376,-0.006111189,0.018471267,-0.060509804,-0.000631748,-0.037913824,-0.054393305
31/5/2004,0.022794802,-0.009433671,0.001399689,-0.001031359,0.025473455,0.000762486,0.056559669,-0.038790874,0.010565894,0.023196052
30/6/2004,0.051381,0.023092963,-0.00170834,-0.00066968,0.054478174,0.059673469,0.02573878,0.031746981,0.019733434,0.007734145
30/7/2004,-0.021032662,-0.055242905,-0.050684505,-0.053666164,-0.029730959,0.03325373,-0.08498469,0.036970505,0.010622575,-0.019624348
31/8/2004,0.02026287,0.023601764,-0.006751663,0.018352414,-0.008840963,-0.013445002,-0.053121185,0.009835149,0.039987204,0.036987155
30/9/2004,0.050703993,-0.020446681,0.020062696,-0.010343629,0.029631382,0.087764819,0.031807068,0.01383432,0.010194665,-0.004399636
29/10/2004,-0.018116084,-0.001701991,0.040565458,-0.020757092,0.01283061,0.002802158,0.058184873,0.015337591,0.044325547,0.010631879
30/11/2004,0.085367806,0.051371956,0.043118724,0.019941402,0.059063664,0.066532724,0.05197264,0.038598,0.043777074,0.034173968
31/12/2004,0.007817397,0.056969771,0.046194194,0.060296057,0.028848507,-0.020397116,0.029995162,0.026242236,0.027734546,0.042390202
31/1/2005,-0.025026527,0.00393678,-0.031819736,-0.031571381,-0.027444917,0.029376008,-0.05749178,-0.065819337,0.016657607,-0.028423038
28/2/2005,0.080834616,0.007842685,-0.003736723,0.027833286,0.010792467,0.181554649,0.003089804,0.009718173,0.020853225,-0.003004021
31/3/2005,-0.031630846,-0.023144704,-5.91E-05,-0.000166644,-0.001935816,-0.033330304,-0.020806836,-0.014490429,0.009502787,-0.034349022
29/4/2005,-0.077160272,-0.020500805,-0.052483903,0.034612073,-0.036306331,-0.055366509,-0.041604936,0.008518257,0.024237483,0.001264101
