,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,rf,exmkt
2001-02-23,0.00855,-0.086287,0.084212,-0.029719,-0.042394,0.052567,-0.006856,-0.008559,-0.005501,-0.023306,0.00094,-0.0457
2001-03-02,-0.010207,0.130499,-0.154346,0.014509,0.120215,0.147736,0.033331,0.033707,0.017938,0.038773,0.00104,-0.0128
2001-03-09,-0.021394,0.080289,-0.078102,-0.013317,0.0468,0.060915,0.048962,0.016288,0.010001,0.038463,0.00104,-0.0051
2001-03-16,0.006402,-0.177163,0.196718,-0.001829,-0.118568,-0.15632,-0.061262,-0.075337,-0.031945,-0.049649,0.00104,-0.0691
2001-03-23,-0.018157,-0.120306,0.140532,-0.02231,-0.108054,-0.124244,-0.032761,-0.043223,-0.043879,-0.081557,0.00104,-0.0087
2001-03-30,0.025268,0.081252,-0.115128,0.00502,0.09464,0.104269,0.039847,0.035025,0.027105,0.036382,0.00104,0.0151
2001-04-06,0.025921,-0.062876,0.065274,0.000743,-0.054721,-0.06049,-0.025372,-0.011956,0.001696,-0.038164,0.00098,-0.0324
2001-04-13,-0.008106,0.048061,-0.046278,-0.000174,0.039147,0.028805,0.021355,0.019334,0.014892,0.021971,0.00098,0.0526
2001-04-20,0.014568,-0.020806,0.025588,-0.013203,-0.005509,-0.012325,-0.010932,-0.003371,-0.006166,-0.015307,0.00098,0.052
2001-04-27,0.018978,-0.0245,0.035068,0.002802,-0.022188,-0.013153,-0.031468,0.006825,0.013499,-0.018443,0.00098,0.0068
2001-05-04,-0.014378,0.090947,-0.086674,0.003492,0.076511,-0.052146,0.03498,0.038776,0.013897,0.033326,0.00081,0.0158
2001-05-11,0.020185,-0.047884,0.037651,-0.007947,-0.041633,0.026046,-0.001944,-0.00762,0.004609,-0.004508,0.00081,-0.0175
2001-05-18,-0.009719,0.129766,-0.102159,-0.011543,0.098291,-0.057842,0.039702,0.046181,0.020346,0.04263,0.00081,0.0372
2001-05-25,-0.028065,0.017357,0.019136,-0.011768,0.012056,-0.001321,-0.010236,0.007343,-0.01715,0.010997,0.00081,-0.0067
2001-06-01,0.072199,-0.099439,0.07718,0.038106,-0.051291,-0.035862,-0.049768,-0.01055,0.039462,-0.011227,0.0007,-0.0155
2001-06-08,-0.040819,0.09447,-0.089329,0.017416,0.050026,0.013832,0.0371,0.023086,-0.000482,0.032129,0.0007,0.0051
2001-06-15,0.006695,-0.048506,0.038734,0.007358,-0.040628,-0.003123,-0.031375,0.00413,-0.003872,0.002327,0.0007,-0.0437
2001-06-22,-0.000258,0.055961,-0.063188,-0.012625,0.022662,0.008241,0.048928,0.0142,0.012727,0.039189,0.0007,0.006
2001-06-29,-0.00445,-0.041667,0.026665,-0.003442,-0.019401,0.003469,-0.019359,-0.019211,-0.002582,-0.003739,0.0007,0.0086
2001-07-06,-0.006689,-0.024597,0.029278,-0.001007,-0.021329,-0.011309,-0.01523,-0.002225,-0.005691,-0.001949,0.00075,-0.0318
2001-07-13,-0.003305,0.080112,-0.081487,0.000353,0.059982,-0.03467,0.04072,0.032083,0.011738,0.033816,0.00075,0.0186
2001-07-20,0.029192,0.05707,-0.073489,0.009996,0.062006,-0.004216,0.040835,0.036403,0.033942,0.043187,0.00075,-0.0065
2001-07-27,-0.009349,-0.036128,0.038956,-0.017147,-0.038011,0.014534,-0.015277,-0.006365,-0.017574,-0.026601,0.00075,-0.0049
2001-08-03,0.020159,0.039315,-0.04995,0.016006,0.044772,0.00268,0.024381,0.025898,0.02532,0.041597,0.00077,0.0069
2001-08-10,-0.010448,0.071495,-0.096006,-0.014164,0.044289,0.031439,0.070009,0.016319,0.010147,0.065695,0.00077,-0.023
