Month,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
2000-01,0.14252977399458897,-0.02722630826771791,0.2066641421617372,-0.2275535573459772,0.4846215019669259,0.1542124848609353,-0.37170404637291166,-0.003899806967608159,-0.12351247676114988,-0.15199389519199524,-0.08429144976152714,0.0040999999999999995
2000-02,-0.009734014337260719,0.21672949790810944,-0.11884289347330833,0.08396048978355497,0.11369437904774397,-0.10116633249359772,0.15788731569481415,-0.028798558186890963,0.1879506085172507,0.016095616195880708,0.10539944399877932,0.0043
2000-03,-0.10509525528328786,0.24343778180668774,-0.06347439388961029,0.11109242612864997,-0.16536960251637528,0.13258580207549203,-0.03460271149606181,0.021359343117463014,0.18145943162927852,0.12496060909577969,0.01380941952678727,0.004699999999999999
2000-04,-0.0011340302476013503,0.05999678764029648,0.03230627209285705,-0.1025174333114825,0.15149718566537632,0.15866395392468735,-0.19139985358570394,-0.08672688743741386,0.043354576605263,-0.0157170320091162,-0.1084213175048,0.0046
2000-05,-0.05703627879397663,0.00794733651100038,0.09183891431079336,-0.02692105172073167,0.03997355224402008,-0.029410741677263763,0.030037537632552597,-0.04703931115141703,-0.0249605358518067,-0.0771757553116544,-0.0518992480330942,0.005
2000-06,-0.002499997793224601,0.025489907171417046,-0.14171463601064624,0.0769997572628414,-0.18881843181437058,0.052171790155814746,0.11509758600571338,0.004373308468969578,0.09219361314359134,0.17872738683766085,0.09799739837133159,0.004
2000-07,-0.022768610544905903,-0.09486166928804175,-0.07971098683581253,0.021572273960478467,-0.18418575817036792,-0.030428763033473617,0.1626440747648806,0.015534251175693403,0.017826467980905966,0.0200644007019134,0.0424120655270126,0.0048
2000-08,-0.03403055737520794,0.04343575863328607,0.03805857787838944,0.053815920085427946,-0.062022872571253204,-0.028824229168577672,0.059923865584344885,0.012520595833523357,0.14228854404658778,0.11916277300791883,0.015232486470502238,0.005
2000-09,-0.00794516977812535,0.09905169178421462,0.0009857416244392209,-0.05403216859412782,0.10299526269836246,0.14154448245781584,-0.13802810894847922,-0.0070974019778335395,0.19787355285990904,0.04615721062191193,-0.08472169339278057,0.0051
2000-10,0.07399450288834657,-0.08634430648091543,-0.1434680093913117,0.049039533201126695,-0.1630110978889071,0.1582247984439933,-0.044008301674115444,0.11771303084905593,0.12883469274532788,0.013333824334093882,-0.048159049343791116,0.005600000000000001
