Month,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
2000-01,0.05919214338989244,-0.054612084602728345,-0.017867987026699422,0.0036650290808847713,0.01943114559851676,-0.007171488691934957,-0.05190146914457219,-0.043254521742650695,0.03689225868907174,-0.058807032651711846,0.1251660829459614,0.0018559999999999998
2000-02,0.14771773358345602,0.09953067019909838,-0.09925899149070394,0.0879589058918942,-0.10619549300952348,0.0565664949188231,-0.11295677985569634,-0.03646878429019496,0.1752310592348114,0.002203875585332908,0.050590276133185515,0.0018559999999999998
2000-03,0.028038278801916127,0.0601101761518719,-0.05295126340857265,0.04243514408308659,-0.024259523423166885,0.010877438983758272,-0.014731476476625344,0.005589794283017799,0.06444836545118812,0.028185409074967124,0.01527455304754222,0.0018559999999999998
2000-04,0.06107016042274411,0.012759093241448412,-0.0257169138495272,0.03863110415962222,-0.030464241388895162,-0.014943545801775225,-0.01920589420021478,-0.02172644190921301,0.03776161404419096,0.013863459861928395,0.02768588600710175,0.0018559999999999998
2000-05,-0.005847964260469886,0.06182821781520218,0.00038008421615086385,0.07503117689172617,-0.07199586586273272,0.002317909129048605,-0.0031773188771721597,-0.0033246871832533186,0.03488373219709783,0.05285092189943799,0.024582281548299008,0.0018559999999999998
2000-06,0.03296605093492456,-0.00859028173265488,0.03433666804632015,0.04904208303633022,-0.02001897316619906,-0.017636393701399144,-0.018112228827181234,-0.02354173237550426,-0.0004669405667189208,0.025699282142827788,0.04008706079989929,0.0018559999999999998
2000-07,0.0459638279802454,-0.004898372807537545,-0.023009468264130195,-0.0187185177930662,0.02463492522396951,0.009154522923757867,-0.024853104094298015,-0.016200841428763012,0.053346492129751164,-0.05124413325505528,-0.00885284653392865,0.0018559999999999998
2000-08,0.029187133181305284,-0.008850310906535097,-0.022533716108471186,-0.035700688806858956,0.0423557160097101,-0.04577394143272905,-0.002763597058029081,-0.0037006898715307712,0.03527646097866398,-0.025837909113914384,-0.047200538157570394,0.0018559999999999998
2000-09,0.06226873018648227,-0.0151002274441502,0.03711121214147717,0.03060037683508371,-0.024168178149657518,-0.016803118119992598,-0.06090273120455902,-0.03341168777960594,0.028272077508976534,-0.03257263632148799,0.022281591549961486,0.0018559999999999998
2000-10,0.02951893946101114,0.012989032184626388,0.03316103990028376,0.03553434691640512,-0.010135078726294357,0.02159979913290963,-0.0008705256784089649,0.008075723075591963,0.04049214557423555,0.018680774889240047,0.055079989906324255,0.0018559999999999998
2000-11,0.04475493513480748,0.02530338837595985,0.019362037040966427,0.00995262504036586,-0.005929094235911964,-0.009361407791783188,0.008207753744492662,0.008390722175838503,0.03508594441520873,0.005305294164945499,-0.00319055968751964,0.0018559999999999998
2000-12,-0.014733325264023258,0.05272358111816458,0.007717987676918375,0.043233219121796625,-0.01745646723118776,0.006425822998728452,-0.009271314270753967,-0.016486696280936054,0.02399347431536533,0.029205778963860247,-0.010180666903129302,0.0018559999999999998
2001-01,-0.017601274036049504,0.0081169562849654,-0.0205971937944449,0.024745474703073464,0.019277287507026446,-0.028448173534353034,0.039461113749039274,0.005973432098575489,-0.02415561692792073,0.042044197201109336,-0.05728813194829671,0.0018559999999999998
2001-02,0.03604239660202496,-0.029633232510027342,0.018669702249656125,-0.00541064520596439,-0.017099643799633163,0.03776330870410348,-0.03762056968054278,-0.0017545914052827238,0.0015998185191839903,-0.032914087882328066,0.07377505386959106,0.0018559999999999998
2001-03,0.035079525785096384,-0.004378553453685038,-0.00321188097444086,-0.039955217400680774,-3.4367054159073485e-05,-0.003474401543072129,-0.02484512468865973,-0.007877294210749614,0.0362875025996766,-0.04874784621209139,-0.008647954235445503,0.0018559999999999998
2001-04,0.08599177040666797,-0.017159056071567837,0.012907394760659965,-0.012835967577024397,0.019547883133580694,-0.03449857527393729,-0.02873729099229114,-0.018770572071729212,0.04084394554553919,-0.031452529818369365,0.03284372804477232,0.0018559999999999998
2001-05,0.029873293070720904,0.0460386904040614,-0.02251395853094562,0.030672989338464914,-0.006953255831115551,0.0198097488632526,-0.012024572852330905,-0.011242718391172435,0.054909968762635514,0.01331291208731477,0.0010246377287943284,0.0018559999999999998
2001-06,-0.011412551773291008,0.01567707773298918,-0.03822272814937966,-0.016817477953245494,0.03380363851479819,-0.011212261617030261,0.015282186407890502,0.0015492539657999127,-0.001033328995963534,0.009845667046559231,-0.13221436234567627,0.0018559999999999998
2001-07,0.03061250904048462,-0.0016421543558794785,0.0136341244060901,-0.01225419868998888,0.023939333204258548,-0.011522961390913015,0.008057291606471315,-0.00483084135490057,0.008801761145623983,-0.008335082657307195,-0.035826958081715515,0.0018559999999999998
2001-08,-0.021574455341103367,0.018266624253416006,0.01743320255007546,0.051081467649858964,-0.016938326407101086,0.01402316807943984,0.06226198504749699,0.05636047291225228,-0.04490783942376562,0.07544810372056533,-0.04995311242743442,0.0018559999999999998
2001-09,-0.029067731689142784,-0.002189543728549327,0.011873876569179667,0.03626709832996297,-0.005524765028294437,0.0030804565320506697,-0.016708255640652418,0.0008085547556667891,-0.02596307348378172,-0.0026592189443481948,-0.04837920921586208,0.0018559999999999998
2001-10,0.04763948530633459,0.028051741736609383,0.04912729045258983,0.028414168012104273,-0.02800349542753748,0.0562063963016113,-0.017774498103568973,-0.01482231497992137,0.05410809193684037,0.002112119909075255,0.03834562494134451,0.0018559999999999998
2001-11,-0.022854303267011843,0.040927749079362634,-0.04847698947270826,0.00598788497075655,0.03441725647682447,0.02660429918750057,0.07408388438211044,0.044861368856862247,0.015365686069647763,0.07034548575616878,-0.06103799204560263,0.0018559999999999998
