Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
25/8/2000,0.006388003,0.025411271,-0.036583484,0.049698866,-0.041150239,0.050788378,0.310585173,0.027996567,0.205917633,-0.000991823,0.029616321,0.00022
1/9/2000,-0.056745671,0.045098351,0.091417791,-0.047043253,0.021245337,0.153736038,0.036861472,-0.013647185,-0.010071042,-0.013327327,-0.027524529,0.00022
8/9/2000,-0.053026551,0.109121069,-0.010734014,0.07509953,0.040903938,-0.005159765,0.100706094,0.026396076,0.054757559,-0.043815144,0.041505286,0.00025
15/9/2000,-0.075256117,0.087700731,-0.063659994,0.157552262,0.166016212,0.066245134,0.10069709,0.012699249,0.133045254,-0.038899891,-0.040515802,0.00025
22/9/2000,-0.065456708,-0.084927209,-0.049100709,-0.081027625,0.08773956,-0.074289919,-0.075584988,-0.046378655,0.02254706,0.037340577,-0.085125923,0.00025
29/9/2000,0.034579871,-0.042491421,-0.006816818,-0.012197731,0.021139006,0.059338492,-0.064228967,0.017732876,0.048354413,-0.010202011,-0.008432433,0.00025
6/10/2000,0.009880993,0.004609798,-0.01075521,0.123708894,-0.114703575,0.001340524,0.064447059,0.080032875,-0.008276266,0.010475186,0.014260854,0.00025
13/10/2000,0.052553066,-0.101743752,-0.022896868,0.025578989,-0.117439066,-0.06401924,-0.063693867,-0.008619483,-0.017106125,0.023917227,0.002844914,0.00025
20/10/2000,-0.014273012,0.053411712,-0.001723814,-0.011730612,0.038737655,0.084592626,0.028068377,0.006121253,0.055954109,-0.004912089,-0.045885239,0.00025
27/10/2000,0.042474924,-0.004055775,-0.170879338,0.111495677,-0.107424315,0.028715581,0.041226127,0.105765196,0.047785301,-0.011375261,0.008612606,0.00025
3/11/2000,-0.014260086,0.029801551,-0.054223567,-0.075375495,-0.003860804,0.02901484,-0.082430409,-0.05145902,-0.036976594,0.001635206,-0.020027333,0.00025
10/11/2000,-0.012486567,0.080998932,-0.014989053,0.019559297,-0.021895925,-0.051694619,0.024067654,0.026946676,-0.010161553,-0.024485872,0.058868641,0.00024
17/11/2000,-0.004688908,0.083874773,-0.064434535,-0.020144633,0.007361161,0.037554773,0.028603081,0.006948681,-0.000118684,0.009984388,-0.054588208,0.00024
24/11/2000,0.035377758,0.081633155,-0.183925579,0.055837054,0.009220637,0.061751362,0.082652776,0.061962689,0.038695619,-0.006886537,0.035838358,0.00024
1/12/2000,-0.144458426,0.021416376,0.047868428,0.003990662,-0.003285377,-0.012112066,-0.037659544,-0.004538681,-0.010404843,0.014602038,-0.048473088,0.00024
8/12/2000,-0.023906472,-0.003966849,0.068265705,0.000345928,0.004476541,0.092093474,-0.011179162,0.023826649,0.017208602,-0.015449944,-0.002980259,0.00025
15/12/2000,-0.026662368,0.0238153,0.027592985,-0.025817632,0.073038343,0.012681331,-0.010500797,-0.012853292,0.001355002,-0.006471169,0.058334089,0.00025
22/12/2000,-0.050503194,0.015837717,0.142216324,-0.102147864,-0.018502735,-0.093520595,-0.007056164,-0.051849686,-0.09253019,-0.021468531,-0.024921894,0.00025
29/12/2000,-0.000659951,-0.013581711,0.01531957,-0.003916517,-0.030724318,-0.006476221,-0.038921426,-0.040161254,-0.03114118,-0.034496744,-0.019056836,0.00025
5/1/2001,0.136663224,0.035058149,0.067109853,0.00224202,0.075362264,0.081993519,0.011100443,-0.08708323,-0.0660929,0.197659092,0.024244464,0.00026
12/1/2001,-0.002180541,-0.009654151,-0.08981505,0.034646805,0.04067319,0.018543505,-0.003098147,-0.018429743,0.044587804,-0.01483388,0.022589469,0.00026
19/1/2001,0.074336101,0.00763403,0.046232501,0.03707575,0.007971012,-0.007141345,-0.031475383,0.022121688,0.053679063,-0.03435632,-0.00924884,0.00026
26/1/2001,-0.03454586,-0.084111041,-0.030638103,0.1102927,0.024100821,-0.000369552,-0.010888258,0.057390064,0.067449998,0.077425072,0.052669193,0.00026
2/2/2001,0.008986906,-0.047718446,-0.141399153,0.061981898,0.044472156,-0.010654683,-0.008476672,0.070587251,0.108546987,-0.004176669,3.42E-05,0.00026
9/2/2001,-0.0249313,-0.008176386,0.049586198,-0.03502249,0.005469116,-0.016425872,-0.000293099,-0.007737513,-0.012230953,-0.004327555,-0.016707019,0.0002
16/2/2001,0.011986389,0.133635932,0.061234769,-0.004292923,0.031844883,-0.085298111,-0.022895857,-0.038410942,0.018828006,-0.025279011,-0.008700107,0.0002
23/2/2001,0.058542204,0.000890997,-0.100326598,0.059158262,0.051864009,0.107373808,0.006205823,0.053321063,0.061769705,-0.005628505,-0.012881449,0.0002
2/3/2001,-0.005160821,-0.024533447,0.023922717,0.01566716,0.071298115,0.214050896,-0.035885291,-0.006452091,0.029407864,-0.002747978,-0.016831752,0.0002
9/3/2001,-0.036646266,0.081101226,-0.003735488,0.031909501,0.001430387,0.044093568,0.014121673,0.017768625,0.074947126,0.001939432,-0.071893906,0.00019
16/3/2001,-0.011266087,-0.002389452,-0.015463609,-0.0761906,-0.028235141,-0.018995585,-0.074604013,-0.00888687,-0.085421471,-0.034948505,-0.025364938,0.00019
23/3/2001,0.006836556,-0.033395535,0.098453319,-0.000386643,-0.06795524,-0.180944144,-0.034305152,0.081573225,0.184865857,-0.110802113,-0.023157181,0.00019
30/3/2001,0.124151198,-0.018309762,0.021048209,0.0259277,0.003618291,0.002554754,-0.042817095,0.024456993,0.000428609,-0.023076046,-0.037688489,0.00019
6/4/2001,-0.010002683,-0.035012691,0.035663922,0.028019331,-0.025732605,-0.010354135,-0.023720258,0.02581444,-0.03090593,-0.029898488,-0.017234097,0.0002
13/4/2001,-0.013384294,-0.026029397,-0.016319189,-0.015446072,0.086274947,-0.036740099,-0.006303489,0.017842013,0.019658765,0.021991124,-0.041265626,0.0002
20/4/2001,0.031167219,-0.017822006,-0.02528014,0.079707779,0.003766958,0.039204109,-0.013930843,-0.020029326,0.031973779,0.02047152,0.064527417,0.0002
27/4/2001,0.138763956,0.008160112,0.05186106,0.080293574,0.03190347,0.046259883,-0.012027797,0.037761398,0.004057366,0.005182111,0.02479162,0.0002
4/5/2001,0.048107398,0.024361973,-0.062516946,0.082548683,0.031345715,0.185377502,-0.016210672,0.004946892,0.008775559,0.015256788,0.005599669,0.0002
11/5/2001,0.038887655,0.000160289,0.067997355,0.008525249,0.001866428,0.006108207,0.044739808,0.019530005,-0.001968305,-0.024277733,0.016042086,0.00015
