date,size,idvc,dtvm,ag,beta,bm,m1,m12,ep,roe
2000-01-14,0.11226075530457,0.0384254021404519,0.073784194351437,0.0746401837816176,0.1041902261430151,0.135854595540607,0.1538592856916473,0.0719507615707801,0.15877043903739,0.121172985819766
2000-01-21,-0.0129714964647545,-0.0035309337542183,0.0111358527582521,-0.0143749659589096,0.0016907037061932,-0.0477469482938249,-0.0597030498516236,-0.0067425289571019,-0.049816124546807,-0.0245223671165154
2000-01-28,0.0732544929194364,0.0469205283234381,0.0781200971617067,0.0497458649046346,0.0467780635329995,0.0435468143381663,0.0495291030065323,0.0716415286923652,0.0642467183954538,0.0753820786879223
2000-02-04,-0.032793482765998,-0.0085966539015246,-0.0220057944995402,-0.0168018712801541,-0.0126969628977196,-0.0215416903208454,-0.0256636947672854,-0.0152463548329812,-0.0296701683598806,-0.0205769070551852
2000-02-25,0.0044854977370128,-0.0200500043937708,0.0195667743725094,-0.0154891041862919,-0.0035966204523424,-0.0250994036268348,-0.027867803337313,-0.0152693132892656,-0.0147458263514262,-0.0008758191072861
2000-03-03,0.0826830152720952,0.0449342330484627,0.0661665328713942,0.0410397897243687,0.0457648815551743,0.0414390515357576,0.0442900208578179,0.0509561189243524,0.0482357850067373,0.0609028057518985
2000-03-10,0.0518873720604069,0.0358496414914522,0.0454411703791914,0.0268520078898122,0.0428119960730248,0.0126384074662702,0.0806675537095176,0.0594500250752705,0.0249262478484838,0.0487868232814884
2000-03-17,0.0269886085679832,0.0235657267448989,0.0285788407399498,0.0156388962663601,0.0243015043564924,-0.0033441997362401,-0.0010451750930015,0.0158465916233298,0.0106951762961958,0.0278834986779233
2000-03-24,0.0104648393044762,0.0252247535295916,0.017270027445588,0.0012812489935909,0.0230032716892673,-0.0104259496595953,-0.0091371183363034,0.0295687305141942,-0.0132288631044045,0.0049088210111139
2000-03-31,0.00588491764167,-0.0091236970734808,0.0042157063919184,0.0050287458877652,-0.0072100405589612,-0.0102167597843835,0.0069750525222939,-0.0117210950319509,-0.0041884352154554,-0.0013161145757317
2000-04-07,-0.0157753589926032,0.0015676495801342,-0.0048276213065585,0.0100962828384109,0.0089004966308666,0.02221487924562,-0.0040553186208274,-0.012736681525663,0.0052901809389645,-7.0791018852675e-05
2000-04-14,-0.0598133511017766,-0.0622471071741014,-0.0576900440590583,-0.0624333010108543,-0.0596484698684803,-0.0581714568277005,-0.0625479573305263,-0.0727850849771273,-0.0651912621816553,-0.0726552658535865
