Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
15/9/2000,-0.015274337,0.014969918,-0.005475775,-0.005978275,-0.011119707,0.007763356,0.020753602,0.020028735,0.01003056,0.013443379,0.012416,0.000428
22/9/2000,0.032266577,-0.015889918,0.017167308,0.013809018,-0.005676869,-0.007942562,-0.029952471,-0.02295171,0.007342685,-0.01407428,-0.044271,0.000428
29/9/2000,-0.005519008,-0.000601266,0.005551677,0.0083893,-0.002954784,0.008799695,0.004709166,0.002919447,0.00295895,0.009258406,0.01059,0.000428
13/10/2000,-0.004429036,0.008483782,0.01297395,0.011054193,-0.00839871,0.019794132,0.014950017,0.022238192,0.005230356,0.012814595,0.005309,0.000428
20/10/2000,0.013421192,-0.004335312,0.006956178,0.007036285,0.001391525,-0.002457496,-0.003665221,-0.005112532,0.000449522,0.002160795,0.01481,0.000428
27/10/2000,0.002879557,0.003472982,-0.002567489,-0.003346411,0.004943061,0.00090275,-0.009742744,-0.005739985,0.01153361,-0.006650297,0.008764,0.000428
3/11/2000,0.018772219,-0.004945565,0.006709927,0.013634776,-0.005239294,-0.046122177,-0.012860658,-0.008171491,0.004180345,-0.006239578,0.004882,0.000428
10/11/2000,0.01729591,0.002853363,-0.000724785,0.002390724,0.000820501,0.008834366,-0.00640722,-0.003915603,0.015189954,-0.006591713,0.031006,0.000428
17/11/2000,0.006561865,0.004192933,-0.013691231,-0.0112695,0.005689736,0.008562233,0.00611309,0.004085151,0.007121329,-0.000426519,0.021959,0.000428
24/11/2000,0.024230266,0.004250595,0.012970381,0.004781853,-0.003504511,-0.017483525,-0.002597268,0.004159408,0.014559942,0.00028458,-0.016684,0.000428
1/12/2000,-0.01902665,0.027426239,0.016126713,0.005462793,-0.00330199,-0.039382076,0.012404852,0.004337652,0.003652017,0.012319729,0.012891,0.000428
8/12/2000,0.012666361,0.007911417,0.026883276,0.013160213,-0.003657419,-0.025155621,-0.010427658,-0.007826832,0.011116947,0.001352699,-0.008069,0.000428
15/12/2000,-0.011135462,0.029929803,-0.010120983,0.02435696,-0.012010444,0.01576387,-0.004062697,-0.010234202,0.01112043,0.015249408,-0.012681,0.000428
22/12/2000,-0.015917547,0.016731829,-0.008508642,0.008668472,-0.00199213,0.014711036,0.00551755,0.001410767,0.00172389,0.012219607,0.010902,0.000428
29/12/2000,-0.002250549,0.009236651,-0.007053538,0.028973796,-0.004920528,0.0179523,-0.006501646,-0.014317934,0.012743064,0.006952504,0.002607,0.000428
5/1/2001,0.001817436,-0.000893737,0.007360702,0.002820661,0.010113716,-0.002302662,0.007945364,0.002073655,-0.004208553,0.0094542,0.022721,0.000428
12/1/2001,-0.020816349,0.00530383,-0.007202147,-0.007275307,0.00272214,-0.005601574,0.042373394,0.024056563,-0.028054222,0.029720138,-0.013306,0.000428
19/1/2001,0.010526634,-0.007477559,0.001717993,-0.000223073,0.001696847,0.007361805,-0.003030245,-0.005112663,0.004208132,-0.00346963,-0.019441,0.000428
9/2/2001,-0.003591845,-0.011632525,-0.000930583,-0.013685417,-0.01489711,0.016619599,0.00210229,0.001511518,-0.004412854,-0.005315689,-0.055179,0.000428
16/2/2001,0.017850347,-0.005278749,0.001838776,0.002691857,0.007570725,0.000977192,-0.023279661,-0.011322366,0.004956476,-0.018926058,-0.008232,0.000428
23/2/2001,0.003600632,-0.00270553,0.003008781,0.006853674,-0.008089519,0.011218088,-0.005872399,0.007698398,0.001703186,-0.001783639,-0.009448,0.000428
2/3/2001,0.005855528,-0.007847144,0.019951042,0.00049309,0.006782788,-0.035512562,-0.005887676,0.00116838,-0.007438354,-0.004529377,0.027716,0.000428
9/3/2001,0.00503513,0.001888356,-0.003805911,-0.004765308,-0.000556193,0.001650258,-0.010013519,-0.007191132,0.00632374,-0.011443895,0.014147,0.000428
16/3/2001,-0.00163245,-0.008058168,0.006457804,-0.007608375,-0.000665122,-0.011145232,-0.003061043,-0.003241152,-0.002479253,-0.009999573,0.004726,0.000428
23/3/2001,0.018788243,-0.003040058,0.005782739,-0.019440878,-0.00771847,0.005597995,-0.00493497,0.002193882,0.025641982,-0.014154655,0.012922,0.000428
30/3/2001,0.011235273,0.003073642,-0.009390963,-0.004112275,0.008438766,4.77E-05,-0.007752983,-0.001845381,0.005175701,-0.010297046,0.028166,0.000428
6/4/2001,0.001721133,-0.002055797,-0.004769638,-0.005517398,0.002876756,-0.009500973,0.004129739,0.002178304,-0.001245159,0.000120653,-0.00451,0.000428
13/4/2001,0.021861938,-0.007078758,0.012275147,-0.000487192,0.001127427,-0.003725227,-0.012264462,-0.009481315,0.00269846,-0.013490799,0.016502,0.000428
20/4/2001,0.011647124,-0.016375318,0.005708703,-0.007386277,0.009591196,-0.020122085,0.00647487,0.005406682,0.00759965,-0.001157332,-0.001477,0.000428
27/4/2001,0.02545439,0.003098239,-0.00866811,-0.003312038,0.012062861,-0.002474312,-0.014536794,-0.010002494,0.014003996,-0.009212605,-0.017513,0.000428
30/4/2001,0.026582018,0.004894675,0.001853823,-9.87E-05,-0.001890084,-0.006241037,-0.008895057,-0.005901918,0.014043725,-0.006385538,0.001823,0.000428
11/5/2001,0.017569884,0.015220243,0.00085138,0.01486822,-0.013335254,0.01073394,-0.009771679,-0.004284776,0.024258558,0.002586965,0.01495,0.000428
18/5/2001,0.013483063,0.024092609,-0.004877482,0.010938885,-0.004082949,0.010265623,-0.000412842,8.43E-06,0.019538648,0.003285662,0.018928,0.000428
25/5/2001,-0.007788711,0.001983053,-0.009249512,0.002907362,0.006744751,0.001614024,0.001276551,0.002333841,0.00373499,0.005348272,-0.006614,0.000428
1/6/2001,-0.000115162,-0.00035171,-0.002979317,0.001516371,0.004208889,-0.029041806,-0.001483793,-0.006823133,-0.003519856,0.000246539,0.009702,0.000428
8/6/2001,-0.010460344,0.015453159,-0.006491799,-0.004230526,-0.006947001,0.015038931,0.007024681,0.008006198,0.013900702,0.001127164,0.000972,0.000428
15/6/2001,0.005863662,-0.000365047,-0.000508144,0.000260532,0.000572068,-0.015223951,-0.002818141,-0.002187292,6.30E-05,-0.000276834,-0.001904,0.000428
22/6/2001,0.004214358,0.000611749,0.010792487,0.005727871,0.006388053,-0.004220965,-0.003544774,-0.003699697,-0.00630205,0.003796227,-0.002847,0.000428
28/6/2001,0.008194031,0.004491921,-0.017278715,-0.003577321,0.02853168,-0.008521502,-0.00686922,-0.011311402,0.002065889,-0.00441951,0.004274,0.000428
6/7/2001,-0.004743749,-0.003010511,-0.046153363,-0.010747593,0.016764257,-0.056954281,0.012615536,-0.002731062,-0.011410513,0.00649861,-0.019416,0.000428
13/7/2001,0.01710284,-0.013666747,0.012961897,0.000598298,0.008826415,0.007075584,0.004126157,-0.000960285,0.003478349,-0.002225433,-0.003502,0.000428
20/7/2001,-8.61E-05,0.00363151,-0.011834897,-0.007104087,0.003519886,-0.010009355,0.007655086,0.00076237,0.000316872,-0.000352376,0.008244,0.000428
27/7/2001,0.000857947,-0.001662696,-0.000576074,-0.008907148,0.004622411,-0.00639589,-0.000864032,0.004727083,0.001771608,-0.006130547,-0.052196,0.000428
3/8/2001,-0.010384303,0.002225483,-0.0131127,-0.010185483,-0.002216125,-0.043472888,0.00909448,0.011909879,-0.011064486,0.004702113,-0.05207,0.000428
10/8/2001,0.000714777,0.00908915,-0.004627469,3.79E-05,-0.007723302,-0.004800232,0.006650568,0.005752752,0.005015321,0.007432254,0.001949,0.000428
17/8/2001,-0.00483753,0.001074891,0.018078855,0.016860743,-0.000733448,0.006625567,0.007893395,0.005137994,-0.004874482,0.016080889,-0.015961,0.000428
24/8/2001,-0.013715939,0.000496085,0.005588317,0.014515512,-0.013796639,0.008786348,0.02247112,0.022285832,-0.018201927,0.024779914,-0.013933,0.000428
31/8/2001,-0.011129127,0.01870824,-0.010079734,0.01178776,0.00459895,0.003689808,0.013076094,0.010076758,-0.010214862,0.0152472,-0.027528,0.000428
7/9/2001,-0.032645055,-0.022524549,-0.017126747,-0.000427423,0.011689237,-0.00231487,0.008215242,0.005161793,-0.031764013,0.003353427,-0.014755,0.000428
14/9/2001,-0.025742523,0.02259025,-0.030282859,-0.010108622,0.01354622,-0.006369444,0.000139147,0.007581631,-0.001230629,-0.005715158,-0.002067,0.000428
21/9/2001,0.018153285,-0.006498086,0.058502192,0.035917409,-0.037497005,0.004162345,-0.018217841,-0.005112547,-0.004380039,0.000862052,-0.008665,0.000428
28/9/2001,0.01999429,0.004741074,0.00903987,0.018167123,0.005540413,0.01361051,-0.012441373,-0.012837763,0.01585847,2.87E-06,-0.027403,0.000428
12/10/2001,-0.013283942,0.003294671,-0.014513936,-0.004640875,0.017333035,-0.013637054,0.006752696,0.006623775,-0.011451344,0.002195389,-0.047457,0.000428
19/10/2001,0.01776659,0.021897564,0.012909489,0.013805125,-0.006497697,0.007485814,-0.01084154,-0.004851064,0.017273032,-0.000706045,-0.071962,0.000428
26/10/2001,0.016256054,-0.006767387,0.034221964,0.012941363,-0.029594392,0.032610318,-0.003564246,-0.004380813,0.019361096,0.006036092,0.068805,0.000428
2/11/2001,0.017535416,0.002957368,0.021179587,-0.002609484,-0.016990323,-0.022276519,-0.006053593,-0.00743906,0.01405758,-0.004795742,0.008717,0.000428
9/11/2001,-0.009362811,0.004310433,-0.006113917,0.007931782,-0.007428685,0.015081645,0.020119873,0.007019388,-0.000396151,0.018951748,-0.037547,0.000428
16/11/2001,-0.010417591,0.007781001,-0.021217717,-0.012113535,0.023279076,0.005237777,0.013676891,0.007502043,-0.00024111,0.005277914,0.007272,0.000428
23/11/2001,0.002329565,0.004847738,-0.006647224,-4.08E-05,0.005242278,0.002501775,0.016379817,0.011480805,0.005078058,0.017160613,0.044273,0.000428
30/11/2001,-0.002051679,0.023230709,-0.010310956,0.012521493,0.008531722,0.004809189,0.021771098,0.017184344,0.012006973,0.026282769,0.02444,0.000428
7/12/2001,-0.008261287,0.004167812,-0.004478592,-0.003675646,0.005813586,-0.020399937,0.008238514,0.004520138,-0.000708191,0.006456971,0.000943,0.000428
14/12/2001,-0.001688149,0.000811607,-0.009022751,-0.002871926,0.008229409,0.011828759,-0.004880008,-0.002526974,-0.002086852,-0.007497788,-0.04333,0.000428
