date,beta,bm,m1,m12,ep,roe,size,idvc,dtvm,ag
2000-01-14,0.1365164505220936,0.068787258672749,0.0739554208022153,0.1471991741196443,0.0669517730891221,0.0945886004017398,0.0957788212890856,0.1616886231834311,0.120720161755672,0.1162358527969683
2000-01-21,-0.0609343451869637,-0.0029087460445158,0.0059823243570058,-0.0465978921513205,-0.0161945955707783,-0.029760758994085,-0.0401095856332257,-0.0657468822959526,-0.0578352233998486,-0.0437007652802869
2000-01-28,0.0622937410132291,0.0627551911228333,0.067043786580197,0.0514031640318344,0.0616515351007361,0.0431797270638745,0.0559548067522212,0.0544522530688676,0.0603136157032799,0.0773284299506632
2000-02-04,-0.0316110138936922,-0.0183969147396294,-0.019517669386006,-0.0202373532947609,-0.0233772141658822,-0.0214478972857042,-0.0188039332981353,-0.0311762820371353,-0.0196488286764891,-0.0343957433670115
2000-02-25,-0.0373119960002116,-0.0146267275885979,-0.0312454589953807,-0.0284790247714402,-0.0299498517889628,-0.0293077640327723,-0.033075151831711,-0.0319354180080072,-0.037154857438741,-0.0137937501960052
2000-03-03,0.0478301167333847,0.0532687042823252,0.0434171465555002,0.0330542891942323,0.0398605376149259,0.0395920045721232,0.035658288098389,0.0419378874154349,0.0346767681784963,0.0617517099740139
2000-03-10,0.0159113941004561,0.0521587456107498,0.0027304802013923,0.0098095211074633,0.0459470076548912,0.021619146383241,0.0170394132254742,0.0198969064181282,0.0216439222353896,0.0447766520154301
2000-03-17,-0.000206381648296,0.0223868909747753,0.007460314151132,-0.0052633009190071,0.0115815118376645,0.0030841073628627,0.0015349738366221,-0.0075465031101319,-0.002985540510562,0.0183773423220641
2000-03-24,-0.0135761174450446,0.0257970703402136,-0.0041025314007382,-0.0135889945286295,0.0187488907551422,0.0023536239882183,0.0017604823910379,-0.0169497697215012,-0.0057800939902794,0.003515584232636
2000-03-31,-0.0039994312782166,-0.0035672850372926,-0.0033300617411295,-0.0057968481968811,-0.0023863137919921,-0.003026732647807,-0.007918853810716,-0.006136044375444,-0.0068294566617143,-0.0011689967479124
2000-04-07,0.0129261517228519,-0.0052967719884713,0.0039510543436036,0.0227974327719373,-0.003919191319357,0.0179954678541953,0.016653496650493,0.0144102608946058,0.0093788672592103,0.0003424496231745
2000-04-14,-0.0764858269192884,-0.0715707490193954,-0.0650519255441318,-0.0623785942261252,-0.0656095019994789,-0.0594122595977002,-0.0667842808478516,-0.0702905835070945,-0.0716720704993169,-0.066790477652022
2000-04-21,0.0348438927444808,0.0375471564871227,0.0297230142515213,0.0272776778855459,0.0349487579617616,0.0306626441738254,0.0272137247799526,0.0375975852981241,0.0360950303570797,0.0438589987925312
2000-04-28,0.0534633919669766,0.063731776110074,0.0614686983370036,0.051567642490524,0.0634253777762842,0.0512043931730518,0.049900658733914,0.0518512378077584,0.049261110215415,0.0561926037817445
2000-05-05,-0.0056905585371322,0.0487739851296393,-0.0007021569784022,-0.0019917671556872,0.0360151688095761,0.0007379210998319,0.0130417469943973,-0.0033319261573991,0.0198962204219897,0.0205881421925647
2000-05-19,0.0017606757333418,-0.0168801253831711,-0.0014202596632484,-0.0056053524493245,-0.0148103569491816,-0.0049756008802582,-0.0067168039733785,-0.0164359628274192,-0.0140445135722549,-0.0168344836611746
2000-05-26,0.0062400284523485,0.0206954210216935,-0.0059979763982122,-0.0147665125480871,0.0192029555119949,-0.0035695161776007,-0.0003192935065322,-0.0014765393648643,0.0019941709962037,0.0195633730737962
2000-06-02,0.0098322835536569,0.0095215040256783,0.0179733710788952,0.0196267708166862,0.0134490072841663,0.0301100745439445,0.0174085198374459,0.0123880155283947,0.0174497306854398,0.0113007968213963
2000-06-09,-0.0013695891808021,0.0100942564542504,-0.0356537507277844,-0.0183836978067835,0.0145048163248378,-0.0079285696394159,-0.0022638197616018,-0.0099309289614645,-0.0006593568095525,-0.0054170082581086
2000-06-16,-0.0002229539392519,0.0126477953380219,-0.0120309672043979,-0.0028960986431214,0.0133541857600283,-0.0045776842078777,-0.0028734597890708,0.0047341327555961,0.0008599447711842,0.0020927819796103
2000-06-23,0.0280053608906032,0.0357216566620206,0.0211326127898474,0.0148296820020396,0.0331530642435655,0.0256951004660903,0.0285633723003833,0.0178044030363449,0.0258906676582427,0.0240437778760712
2000-06-30,0.0058934241741734,0.0073896914828284,-0.0001435753131406,0.0080444686390274,0.0020140518363059,-0.0052839823701659,-0.0062886706494901,0.0057416340983642,-0.0005791513440213,0.0112058376791287
2000-07-07,0.0111309703025533,0.0128701272758711,0.0093036752870679,0.0010118178915217,0.0051513768043185,0.0048377586269508,0.0056548251405568,0.0040248923519303,0.0076871076254782,0.0109283824479203
2000-07-14,0.0041285339285134,0.002727193124829,0.0089346651063462,0.0097047795650162,-0.0029885310090399,0.0130372924009485,0.0110348050744296,0.0037862792685401,0.0093188195929222,0.0070308835877082
2000-07-21,0.0089277359288806,0.0071910779466177,0.0208433894892157,0.0200669593207029,0.0077578094006134,0.0148449438911155,0.0148223754789692,0.0095190367051162,0.0070757970502182,0.013171869980902
2000-07-28,0.0148841323817333,0.016905228645104,-0.0060959178689601,0.0113099442238392,0.0089024311345953,-0.0025126551767092,-0.0016598524457307,0.0147761383799828,0.0036241361918602,0.0296360847130643
2000-08-04,-0.0041495126531409,-0.0098936126429848,-0.0004453577963976,-0.010179070805537,-0.0071360085826386,-0.0076230138292181,-0.0068930193814578,-0.0062753819001846,-0.0075921959655394,-0.0060831464745577
