,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep
2000-01-07,0.034229242725105,0.0115774882126428,0.0701578281095174,0.0075982334976054,0.1225831354340999,0.1020138183969242,0.0443293321218591,0.0254403722947123,0.0199880865989045,0.0116722616934768
2000-01-14,0.0132194111347715,-0.0498209642315076,0.0007853326103984,-0.0560971915177768,0.0455992762823187,0.010853764175101,-0.0303602687495675,-0.0359416704194643,-0.0110007736113254,-0.0511887706279148
2000-01-21,0.0389114377033664,-0.0320899031642596,-0.0256553060437855,-0.0122607016641463,0.0070952989949676,0.0095052522071285,-0.014778774487414,-0.0178754549843805,0.0157902525025863,-0.036004429184987
2000-01-28,0.0151526386056786,-0.040879695257538,0.0277697569510481,-0.044699371187352,0.0796371697445497,0.0449766344098917,0.001304090636504,-0.012067923281833,-0.006814284862923,-0.021660828476195
2000-02-04,0.0856624377980141,0.0497907560761628,0.069329831893848,0.0232103802919761,0.0883088109012387,0.0729998183999847,0.0654586066891796,0.0521687207425076,0.0582015039415989,0.0423548727049444
2000-02-11,0.0051079308357276,-0.0270780050129825,0.0259535221407057,-0.0309975913291129,0.0320752597339112,0.0164833434592653,-0.0036179709556582,-0.0129348874058483,-0.0226311229831106,-0.0169227414137478
2000-02-18,-0.0548556279376807,0.0695421585982422,-0.0432849266062976,0.0925887196959861,-0.0671500168528443,-0.0156327517057527,0.0351937117212927,0.037996658662901,0.0121952804669109,0.0990379897957182
2000-02-25,-0.0042335877468006,0.0635139976853155,0.0532742398576841,0.0236522852038568,0.0403114967988211,0.0312178612190588,0.0416873306665293,0.0220757235094587,0.002081305244881,0.0295936580459612
2000-03-03,0.0018439950481593,0.0072595308057202,-0.0692519215077524,0.0372568363804225,-0.1030986965213032,-0.1111518141920731,-0.024800521559658,-0.0122393286184084,0.0265000598407283,0.020937533116543
2000-03-10,-0.0292009045886462,0.0098802267654468,0.0144269980419652,-0.0029460536732309,0.0235985263375394,0.0172236363831421,0.0162310167571113,0.0108859278464832,-0.0184527365972871,0.0032841366653092
2000-03-17,-0.1054044081056775,-0.0313522764265027,-0.2447091365215657,-0.0060797194445783,-0.2969382932497605,-0.300124421378825,-0.1265681653574031,-0.0558690805931661,-0.0643407101897275,-0.0323924841338108
2000-03-24,0.0301262803439419,0.0434246860159356,0.0877290505209173,0.0233242535996222,0.128648093862056,0.1260102115057557,0.0585442818136312,0.0348291861922953,0.0221793886152893,0.0302496955187567
2000-03-31,0.033708477706078,-0.0008482870110689,0.0770779754360601,0.0279886783439206,0.0966683022868962,0.1001037207531826,0.0102798062943757,0.0084698247219804,0.0241142497538777,0.0102546907688909
2000-04-07,0.0044564666266062,-0.0056885420604122,-0.026619134552998,-0.005104209952276,-0.0237066752456515,-0.0116838976404781,-0.0117906185085722,0.0188094022087709,0.0043276452426634,-0.0176786576689517
2000-04-14,-0.0130273952346038,-0.009435955436754,-0.0738084947362019,0.0253356051356201,-0.101424765352024,0.0031880183910845,-0.0165826196597809,0.0111501635505953,0.0048548890663094,0.02723906666579
2000-04-21,-0.0155252131556,-0.0100449376151436,-0.032265622076873,0.0041201774054522,-0.0463014094422401,-0.0049924160454245,-0.0044449574221175,0.0006085797869711,-0.0119635257803098,0.0035871592718166
2000-04-28,-0.0208900221416853,-0.0048403006024395,-0.0524344551540862,-0.0120266233264383,-0.0587196470047075,-0.0262967044721307,-0.0293065326111968,-0.0111112574262129,-0.0069952750040845,0.0029612548996299
2000-05-05,0.0883571861928161,0.0499345242491965,0.2613277607070728,0.0372296962856317,0.220071881401018,0.0348632687940542,0.095175325537049,0.0203002299830367,0.0432752475374495,0.0532978593704253
2000-05-12,0.0275884835340981,-0.0161565671172708,0.018112663704351,-0.0163482356105561,0.0081232581989517,0.0099799880896407,-0.0072035170399435,0.0072015045629252,-0.0194217743165505,-0.03312166968569
2000-05-19,-0.013785643868425,-0.0003057605367843,-0.0125480605219328,-0.0201260648955129,0.0108176987012143,0.0200185821693042,0.0087776437373611,-0.00013086560969,-0.0078851843213723,-0.046476075721241
2000-05-26,-0.0108725038363827,-0.0056001108147281,-0.0070768902242794,-0.0156691271382151,-0.0127662865171736,-0.0137597590246885,-0.0045182011500271,-0.0128925612676127,-0.0136927086485782,-0.0120096900986775
2000-06-02,0.0344378490779318,-0.0020687838743714,0.030954007353676,-0.0224728217050983,0.011545164525891,0.0068646699074134,0.019003402402294,0.0093634347703374,-0.0082592720369339,-0.0250205588871678
2000-06-09,0.0102888591655356,0.009930460246262,-0.0027798766692744,0.0364202379790632,0.0090117101605712,0.0192923315740884,0.0163795474771762,0.0136040609752922,0.0331905740926573,0.0549715792295289
2000-06-16,0.0383322207845208,0.0068537245636214,0.0871694373736595,0.0202022421785813,0.0591400787303177,0.0070719907358703,0.0121029005292721,0.0066283392550374,0.0158966238532549,0.0114972714155595
2000-06-23,-0.0526779852423317,0.0048861519384743,-0.0540737615262874,-0.0105877775783934,-0.0336000996946733,-0.0038901382313071,-0.0213880560879654,-1.1254654462856146e-05,-0.0118835801947079,-0.013951286693617
2000-06-30,-0.0836692726010894,-0.0309153036403198,-0.1395061468981455,-0.0175641223558547,-0.0984509912978544,-0.0236387583474653,-0.0432355626579162,-0.013730100571683,-0.0147232294067558,-0.0223061176175749
2000-07-07,0.0299020178756601,0.0358535264900566,0.0518274015640611,0.0493438812431235,0.0385411781954024,0.0474346722153096,0.0300785836199854,0.0330019436918493,0.0309003786873978,0.0594157633289195
2000-07-14,0.0174051225016334,0.0074594885180265,0.0172926691997006,0.0196821100675314,0.017144244179355,0.0009496177722738,0.0036285573265798,0.0010317880814567,0.0126830138768949,0.0159729095085807
2000-07-21,0.0009032821057932,0.0017715904654038,0.0717841734975443,0.0022524614464449,0.0587897424920347,0.0323802082449031,0.0204691998134553,-0.001418183973733,-0.0026179066856063,-0.0021070365074266
2000-07-28,0.0112097750468791,0.0101972461501132,0.0357188204484615,-0.0189021629534551,0.0290132637032768,0.0236136438352707,0.0183682660822818,0.0148682815204107,-0.00389672605405,-0.0026510739977412
2000-08-04,0.0370712744944997,0.0027378644095001,0.0473227032800883,0.0130019479410648,0.0550679693520609,0.0312382990382806,0.0144073691359929,0.0074175563522389,0.0212303136767883,0.0159295899203587
2000-08-11,-0.0113636863584057,-0.0004301138782493,-0.0797596786996106,0.0145669005194592,-0.0655321559433811,-0.0086263155513098,-0.03320463572569,0.0066245058030168,0.0098419831657306,0.0305446202327745
