Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep
2000-01-07,-0.0158996168943867,-0.002581651730362,0.3842654825972356,0.0100571984585254,-0.0202656446709049,-0.0373147224987992,0.1600197955271705,-0.0094011515007228,0.0121504179994366,0.0961149405633252
2000-01-14,0.0316795898067762,-0.1726220172343735,-0.1014336009096294,-0.0357633041294309,-0.0009467595751794,-0.0095200512759306,0.0490647406888686,-0.0082013164838288,0.1052101889310595,-0.0286261855965979
2000-01-21,-0.0523385145134433,-0.0008356444451543,-0.0647093509415994,-0.0450019521988364,0.0131465265097749,0.0083715280526404,-0.1180576441935122,-0.1224424699576605,0.0426109916458036,0.0252129961223683
2000-01-28,0.0315756587182862,-0.2036258117815574,-0.0495981361138783,0.067244501073256,-0.0923329876237638,-0.0594348590836999,0.1485624521079379,0.1495597026533622,-0.1634700723856146,-0.1263575463127834
2000-02-04,0.0107984695091918,-0.0189096078589868,0.0197057591892396,0.0327938524256072,-0.0050195015015123,-0.0435394453671082,0.0839830933544332,0.0856546325771279,-0.0458265413625315,-0.041102684139903
2000-02-11,0.0347856876664849,-0.0879368971245482,0.0812597496750432,-0.0125422793865214,0.0215852767281782,0.0925937635789865,-0.0262769040995831,-0.0267182923014199,-0.0563794039636223,0.0001510826132218
2000-02-18,-0.0430890265431976,-0.1539714425911767,-0.0438515348165084,-0.0749767547350676,0.0253787140513605,-0.0115177180415151,-0.0762874677875043,-0.0442631914337289,-0.1220525971029075,-0.0473064525597594
2000-02-25,0.043916070836282,0.1089977743819063,0.0181162916587358,0.0598102872498585,0.0006555915557332,0.0055730445852943,0.0718631304994701,0.0788109577372775,0.0915120573824,-0.0069008860081219
2000-03-03,-0.0240059123472058,-0.1539586732819353,-0.0199776193740713,-0.043402589679104,-0.0092111852734556,-0.2153618454303413,-0.0485554129180377,-0.0519557858217538,-0.1031724671499467,-0.0114688355165422
2000-03-10,-0.0284806738174185,-0.2060510543059646,-0.0774128111483806,-0.0240573668138101,-0.0172913527774871,-0.1319911342855779,0.0059573798735681,0.0011244717096388,-0.1054493123112733,-0.0635586494883953
2000-03-17,-0.0488218436931697,-0.0140099248849811,-0.0173566597182818,-0.0720454601206959,-0.0023140897302271,-0.0718717891246465,-0.1107705264410677,-0.1189608084511037,-0.0295863778451085,-0.0247003745425707
2000-03-24,-0.0293467623709543,-0.0955178366918492,-0.0400606498000666,-0.1094677227580886,-0.0239334300252061,-0.2683825997258112,-0.1139155000647245,-0.0655777266332191,-0.1088787275153015,-0.1563075168445863
2000-03-31,0.0101519493607811,-0.020300811480005,0.0343075547768852,0.0362886283987315,0.0060720624178066,0.0389690969238477,0.036990546391638,0.0035277417052728,0.0209392949338843,-0.0439682048690405
2000-04-07,-0.0141684865184285,0.1093690245679507,0.0159175944968888,-0.0169318713203628,0.0039148768426077,0.1246680537074192,0.0317360293425888,0.0040299107073957,0.0542970567825294,0.0354485938088886
2000-04-14,-0.0147002214496501,-0.0790419282031075,-0.0026320473309213,-0.0293345719661678,-0.0277056924264143,-0.0915858719351759,-0.0149137944443647,-0.0134583191342552,-0.0781534656688207,-0.0319769986422717
2000-04-21,-0.0277092885178385,0.0219629765823198,-0.0101139016732506,-0.0491585098191994,-0.0099621327449819,0.0111639721144216,-0.0803504164948002,-0.0537959507905896,0.0711787589910317,0.0159704224867463
2000-04-28,-0.0592962351538629,-0.1990271329331485,-0.0366463876399778,-0.0847799360779898,-0.1011634864510209,-0.2210289473532304,-0.0616627003850187,-0.0520991603380455,-0.1553725028268498,-0.1151870617097509
2000-05-05,0.117794195552758,0.1090368422822962,0.0087694984376247,0.1788381319637545,0.0143202480667121,0.0173375993142534,0.2517402213480775,0.1427630153878251,0.2147556112067671,0.0736326804792751
2000-05-12,0.0514502927928275,0.0459354852532113,-0.0029309787181473,0.0608935358568989,0.0940687237567049,0.0717132995793856,0.0612361043557812,0.0538302430922269,0.0566651598750326,0.0260083255143449
2000-05-19,0.018805300594935,-0.0109056191924674,0.0122910324546349,0.0031016923890162,0.0557216180849301,0.0302202360191225,0.0018372486366732,0.0083371100698764,0.0071155754107783,0.0453147443914828
2000-05-26,-0.0372760283935897,-0.0327294554903551,-0.0396603999931972,-0.0193288260258213,-0.0160795157094693,-0.036293970471245,-0.0218431814510244,-0.027863289621924,-0.0283626194876236,-0.0140031226779787
2000-06-02,0.0248246915513709,-0.0497162127444259,0.0231881635974037,0.0461091172121048,-0.0507362014677437,-0.0914733503271793,0.0629580827100579,0.0362331456927804,0.0376672283401486,0.0325102134167282
2000-06-09,0.0329532332068551,-0.0404955851914751,-0.0199245769987835,0.0298079809861406,0.0323171079553477,0.0253813250029832,0.0449788905364139,0.0545002715407701,0.0235067368188988,-0.0262663994069577
2000-06-16,0.0474937209637409,0.031191996172957,0.0157523051583094,0.0197094534054937,0.0861816542522569,0.0035446285058146,0.0089167314129593,0.036921468296874,0.0293644912569437,0.0464039651112716
2000-06-23,0.0191483452170604,0.0225102290565783,0.0149420617949086,-0.0048853455618271,0.0458628463652922,-0.0143983558760065,-0.0096066215740978,0.0028939294318371,-0.0064974983546079,0.0334387844691936
2000-06-30,-0.0376665058080523,-0.0665424677065068,-0.0042715936347371,-0.063245937820612,-0.0145073624793243,-0.0188191814792922,-0.0906676048090568,-0.079409618168889,-0.0696173329242351,-0.031286579505701
2000-07-07,0.0199469998193488,0.0106848719766908,0.0006561768205409,0.022196178550349,0.0045084970626136,-0.0427908734692598,0.0200341269164524,0.0198113890758942,0.0629027094963032,0.0124083265952704
