,Trdwnt,Opndt,Clsdt
764,2006-26,2006-06-27,2006-06-30
765,2006-27,2006-07-03,2006-07-07
2334,2006-28,2006-07-10,2006-07-14
766,2006-29,2006-07-19,2006-07-21
767,2006-30,2006-07-24,2006-07-28
768,2006-31,2006-07-31,2006-08-04
769,2006-32,2006-08-07,2006-08-11
770,2006-33,2006-08-14,2006-08-18
771,2006-34,2006-08-21,2006-08-25
772,2006-35,2006-08-28,2006-09-01
773,2006-36,2006-09-04,2006-09-08
774,2006-37,2006-09-11,2006-09-15
775,2006-38,2006-09-18,2006-09-22
776,2006-39,2006-09-25,2006-09-29
777,2006-41,2006-10-09,2006-10-13
778,2006-42,2006-10-16,2006-10-20
779,2006-43,2006-10-23,2006-10-27
780,2006-44,2006-10-30,2006-11-03
781,2006-45,2006-11-06,2006-11-10
782,2006-46,2006-11-13,2006-11-17
783,2006-47,2006-11-20,2006-11-24
784,2006-48,2006-11-27,2006-12-01
785,2006-49,2006-12-04,2006-12-08
786,2006-50,2006-12-11,2006-12-15
787,2006-51,2006-12-18,2006-12-22
788,2006-52,2006-12-25,2006-12-29
789,2007-01,2007-01-04,2007-01-05
790,2007-02,2007-01-08,2007-01-12
791,2007-03,2007-01-15,2007-01-19
792,2007-04,2007-01-22,2007-01-26
793,2007-05,2007-01-29,2007-02-02
794,2007-06,2007-02-05,2007-02-09
795,2007-07,2007-02-12,2007-02-16
796,2007-09,2007-02-26,2007-03-02
797,2007-10,2007-03-05,2007-03-09
798,2007-11,2007-03-12,2007-03-16
799,2007-12,2007-03-19,2007-03-23
800,2007-13,2007-03-26,2007-03-30
801,2007-14,2007-04-02,2007-04-06
802,2007-15,2007-04-09,2007-04-13
803,2007-16,2007-04-16,2007-04-20
804,2007-17,2007-04-23,2007-04-26
2374,2007-18,2007-04-30,2007-04-30
805,2007-19,2007-05-08,2007-05-11
2376,2007-20,2007-05-14,2007-05-18
806,2007-21,2007-05-25,2007-05-25
807,2007-22,2007-05-28,2007-05-31
2379,2007-23,2007-06-04,2007-06-08
2380,2007-24,2007-06-11,2007-06-15
808,2007-25,2007-06-20,2007-06-22
809,2007-26,2007-06-25,2007-06-29
810,2007-27,2007-07-02,2007-07-06
811,2007-28,2007-07-09,2007-07-13
812,2007-29,2007-07-16,2007-07-19
813,2007-30,2007-07-23,2007-07-27
814,2007-31,2007-07-30,2007-08-03
815,2007-32,2007-08-06,2007-08-10
816,2007-33,2007-08-13,2007-08-17
817,2007-34,2007-08-20,2007-08-24
818,2007-35,2007-08-27,2007-08-31
819,2007-36,2007-09-03,2007-09-07
820,2007-37,2007-09-10,2007-09-14
821,2007-38,2007-09-17,2007-09-21
822,2007-39,2007-09-24,2007-09-28
823,2007-41,2007-10-08,2007-10-12
824,2007-42,2007-10-15,2007-10-19
825,2007-43,2007-10-22,2007-10-26
826,2007-44,2007-10-29,2007-11-02
827,2007-45,2007-11-05,2007-11-09
828,2007-46,2007-11-12,2007-11-16
829,2007-47,2007-11-19,2007-11-23
830,2007-48,2007-11-26,2007-11-30
831,2007-49,2007-12-03,2007-12-07
832,2007-50,2007-12-10,2007-12-14
833,2007-51,2007-12-17,2007-12-21
834,2007-52,2007-12-24,2007-12-28
835,2008-01,2008-01-02,2008-01-04
