,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,rf,exmkt
2000-01-07,0.01648193401548448,-0.12326322104297915,0.032326224379078505,-0.06706733686785793,0.07524841254886416,-0.07990386488943202,-0.026584385418026102,-0.04159566901535061,-0.046935967404235,-0.09181866594826793,0.00042800000000009497,0.11729499999999993
2000-01-14,0.027138089168471158,0.0622159485417344,-0.0626250488931569,0.04483820224930901,-0.03985536319421845,0.06568537420862941,-0.0052383918775695815,0.029325799321377355,0.06897107615810061,0.03362152897602866,0.00042800000000009497,-0.0662910000000001
2000-01-21,0.017299686167215,-0.007531724745429402,0.015515677480229417,0.019208376784666914,-0.02023836466053075,0.01751468357366459,-0.03220235162404783,-0.027582565046028518,0.017806481458426893,-0.00259518329471764,0.00042800000000009497,0.049984999999999946
2000-01-28,-0.013989549467862683,0.022579628135610763,-0.018914050995972542,0.003144775581215953,-0.00499099846177975,0.006146025381279285,-0.0008709902305189532,0.017593872086857365,-0.002356965823051005,0.006292954193998224,0.00042800000000009497,0.05811799999999989
2000-02-18,0.03756064956872396,0.01188541361423634,-0.033715375547869186,0.010472676038236983,-0.013209711482174535,-0.003377655658067691,-0.028431944925486174,-0.001695353990286752,0.05672163181125045,-0.015204025437536628,0.00042800000000009497,0.10017599999999982
2000-02-25,0.04702472717370609,0.0029963456330277527,0.002065235178210223,0.011829652746567554,-0.01790182973012011,-0.0008728743023177499,-0.02131080117977535,-0.020711920249645188,0.03148976469289799,-0.00837524739181128,0.00042800000000009497,-0.026281
2000-03-03,0.034847958834932635,0.015952735073323954,-0.026900601972568716,0.03952033814447953,-0.04964050396780717,-0.07793707350812529,-0.027167676898247284,-0.017924644125617895,0.023797248143801797,0.021020759806407385,0.00042800000000009497,0.060752999999999835
2000-03-10,0.025453634731360975,0.031112229855030815,-0.02450788600478848,0.025731090711015536,-0.02110989254233686,0.008505489244133635,-0.02479939131506048,-0.002738446055703947,0.03156438125051175,0.0008863355414685525,0.00042800000000009497,-0.0243270000000001
2000-03-17,0.008704356913438405,0.04217452325109283,-0.03657938913431191,0.036223019999809036,-0.04315772504282367,0.005034586935565244,-0.002555197022895528,-0.0022343352390450377,0.023050121435867377,0.03197775385954671,0.00042800000000009497,-0.018546000000000062
2000-03-24,0.013803771452386204,-0.0029876526980366913,0.0032106092807444586,0.006649474747090878,0.0059242468350697575,-0.01030511426342351,-0.0017106180720751762,0.006197742635677628,0.01104516305363279,0.0018021214234633653,0.00042800000000009497,0.048812999999999995
2000-03-31,-0.03242885564309628,-0.01284261131447162,0.00402565509198527,-0.027511651234091383,0.03553411429760023,0.008006372964431074,0.018066258873048024,0.009753833215236485,-0.014206488565768782,-0.009209372258321524,0.00042800000000009497,0.03549899999999995
2000-04-07,0.006970929746074939,0.008043476332993071,-0.01683735705080802,-0.013399292191694778,0.010406490751001973,-0.002503968213605434,0.01324300625588637,0.004357176641167637,0.013982026440258588,-0.00041823981782362907,0.00042800000000009497,0.009957999999999911
2000-04-14,0.015759410413733077,-0.007011649434783607,0.010174257355286986,0.010778767569240344,-0.012936925725234971,-0.016764430125918106,-0.008888364769969348,-0.013778282120364027,-0.00606189234144805,-0.0018514651614118804,0.00042800000000009497,0.002913999999999861
