Clsdt,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
2000-01-07,0.01648193401548441,-0.12326322104297921,0.03232622437907852,-0.06706733686785797,0.0752484125488642,-0.07990386488943203,-0.026584385418026185,-0.04159566901535067,-0.046935967404235016,-0.09181866594826796,0.11772300000000001,0.000428
2000-01-14,0.027138089168471283,0.062215948541734324,-0.06262504889315695,0.04483820224930911,-0.03985536319421853,0.06568537420862952,-0.005238391877569682,0.029325799321377355,0.0689710761581007,0.03362152897602874,-0.065863,0.000428
2000-01-21,0.017299686167215188,-0.0075317247454294994,0.015515677480229563,0.01920837678466701,-0.020238364660530826,0.017514683573664723,-0.032202351624047894,-0.02758256504602854,0.01780648145842685,-0.0025951832947176748,0.050413,0.000428
2000-01-28,-0.013989549467862773,0.022579628135610715,-0.018914050995972508,0.00314477558121597,-0.004990998461779727,0.006146025381279389,-0.0008709902305189185,0.017593872086857396,-0.0023569658230510743,0.006292954193998352,0.058546,0.000428
2000-02-18,0.0375606495687239,0.011885413614236468,-0.033715375547869256,0.0104726760382369,-0.01320971148217459,-0.003377655658067708,-0.028431944925486282,-0.001695353990286745,0.05672163181125055,-0.015204025437536631,0.100604,0.000428
2000-02-25,0.04702472717370619,0.0029963456330277735,0.0020652351782103756,0.01182965274656752,-0.017901829730120125,-0.0008728743023177429,-0.021310801179775386,-0.02071192024964528,0.03148976469289796,-0.008375247391811398,-0.025852999999999998,0.000428
2000-03-03,0.03484795883493273,0.01595273507332406,-0.0269006019725687,0.03952033814447961,-0.04964050396780721,-0.07793707350812534,-0.027167676898247353,-0.017924644125617933,0.023797248143801807,0.02102075980640743,0.06118099999999999,0.000428
2000-03-10,0.025453634731361047,0.031112229855030905,-0.02450788600478856,0.025731090711015512,-0.021109892542336996,0.00850548924413364,-0.024799391315060548,-0.0027384460557039712,0.03156438125051187,0.000886335541468641,-0.023899,0.000428
2000-03-17,0.00870435691343837,0.0421745232510929,-0.03657938913431198,0.03622301999980903,-0.043157725042823766,0.005034586935565206,-0.0025551970228955647,-0.0022343352390450984,0.02305012143586749,0.0319777538595468,-0.018118000000000002,0.000428
2000-03-24,0.013803771452386133,-0.0029876526980367754,0.003210609280744528,0.006649474747090834,0.005924246835069809,-0.010305114263423532,-0.0017106180720752844,0.006197742635677738,0.011045163053632762,0.001802121423463303,0.049241,0.000428
2000-03-31,-0.032428855643096346,-0.01284261131447162,0.004025655091985278,-0.027511651234091467,0.03553411429760039,0.00800637296443114,0.01806625887304806,0.009753833215236471,-0.014206488565768845,-0.00920937225832157,0.035927,0.000428
2000-04-07,0.006970929746074939,0.00804347633299305,-0.016837357050808043,-0.013399292191694896,0.010406490751002036,-0.002503968213605476,0.013243006255886335,0.004357176641167686,0.01398202644025865,-0.00041823981782364295,0.010386,0.000428
2000-04-14,0.015759410413733074,-0.00701164943478361,0.010174257355286907,0.010778767569240358,-0.01293692572523502,-0.0167644301259181,-0.00888836476996948,-0.013778282120364058,-0.006061892341448036,-0.001851465161411929,0.0033420000000000004,0.000428
2000-04-21,0.011601771376098101,-0.0007016068206058684,0.005837830733675407,0.023785650967592643,-0.011960231793061486,0.019600155752234373,-0.010904959484760883,-0.01077778787252915,0.013874769981690058,0.010237046968849722,-0.0016699999999999998,0.000428
2000-04-28,0.010722466559783045,0.023538462050000347,-0.04361023125462608,0.04568927560362723,-0.03961887803418023,-0.02003189328436829,-0.023112329990089116,-0.013135044886328849,-0.007581166939932764,0.01733106909331331,0.001228,0.000428
2000-05-12,0.0009454364472114467,0.012319229241070283,0.012285310704054524,-0.008669910092946802,0.0008456054193139318,0.023833967465174025,0.008763081947128468,0.01702763453599618,0.02016477638739463,-0.007637562612642899,-0.064549,0.000428
2000-05-19,0.018150175999039297,0.014165466865914146,0.0017131108011940012,0.027921422424265017,-0.03832998298576788,-0.01865601106114514,-0.02755440940292745,-0.020300562225595238,0.009923008361987465,0.009702049385840678,0.035969,0.000428
2000-05-26,-0.005390548321569431,-0.0025311385960040383,-0.00499632114911331,-0.008248827069576874,0.012668737201392529,-0.0010036016431112585,0.022657099828179542,0.00889455213746153,-0.002405700039603836,0.0023128563888748597,0.054640999999999995,0.000428
2000-06-02,-0.013761337553524662,0.01242560407828771,0.0019394260332595292,0.02537175311681304,-0.021055183102246154,-0.07088253667267963,0.003333360209452803,0.005167199239086797,-0.010874799768038035,0.029607670949133615,0.0158,0.000428
2000-06-09,0.008289608742589227,-0.005503746535985073,0.0011273731138550058,0.019702466240973875,-0.005474136984786092,-0.025126761072538934,-0.0033294492146426265,-0.0030682861274066624,0.002156104347969086,0.022917042678257254,-0.0075650000000000005,0.000428
2000-06-16,-0.010802099344996981,0.008248001510313963,0.018160963759703764,0.01536450935524468,-0.01214393443540939,-0.002776487143815995,0.013233782433627354,-0.004598046182598119,-0.005014562589717473,0.023129627735455516,0.010163,0.000428
2000-06-23,0.018987339843042104,-0.013720101920641454,0.004791288301953809,0.0094536354446599,0.009949182038715879,-0.00034402294226739473,-0.015746088619370352,-0.010838834729407032,0.0031892462442036995,-0.006724202760046005,0.013315,0.000428
2000-06-30,0.011514221350840438,0.0040562717611411355,0.005924693425193046,0.004369236427249257,-0.011173300722247552,0.008653597572048996,-0.0067510265769977155,-0.001887324735230969,0.0016925855284239903,-0.0052151102415321695,-0.002746,0.000428
2000-07-07,-0.00678760728112911,-0.0037157206895764108,-0.005235872620114458,-0.014593511932326636,0.010876362507642614,-0.0034601333557140995,0.008003848764987082,0.008213912651570579,-0.00339590358958253,-0.010388254839867092,0.000256,0.000428
2000-07-14,0.01051357438054224,0.014186406337650549,-0.007648993044336621,-0.01403318482116495,0.00655891117969948,0.005128276081751752,-0.0004157141858643961,0.008957027825336673,0.02291182536424759,-0.01234060076184092,0.024441,0.000428
2000-07-21,0.02994342963688175,-0.015649888443435657,0.004636409087502468,0.01730429376486694,0.000616036312090373,-0.022039823795140228,-0.026739140355841927,-0.03089901668616641,0.010099773376032144,-0.008992516910620406,0.0025210000000000002,0.000428
2000-07-28,0.0034908413275655634,-0.0006907022558396252,2.847271725329309e-05,-0.0017788132430107528,-0.005514947542842079,0.006607202902084672,-0.0026991747630596783,0.0012995045091255698,0.008718349991667505,-0.004258511710609215,0.009462,0.000428
2000-08-04,-0.0003485986843367664,0.0017085082481730768,-0.036283320484728855,-0.020135498895641528,0.013903921309117388,-0.05201633525107179,0.007801009436639535,0.01223932769778114,0.012342613623164949,-0.0038966180041064002,0.006195,0.000428
2000-08-11,0.008714399690275277,-0.016974120482616917,-0.008765788839596823,-0.027616038196882322,0.027135904388645056,-0.03238645664106422,-0.005691771825977524,0.008236831975994282,0.0011863881656805058,-0.02271731146335621,0.017384,0.000428
2000-08-18,0.014461159119582576,-0.005840637202092384,0.011257078588610482,0.009798439746999482,0.0005856038013124822,-0.0005806925149499723,-0.01576212133078593,-0.015820708264104012,0.00459477805836287,-0.006953983308459413,0.009821,0.000428
2000-08-25,0.0045971084399648865,0.010608302435997613,-0.016807977503434608,-0.00645573295710828,0.014457935196668208,-0.005645467847527022,0.008615987634239645,0.008792510218439298,0.023141568227599774,0.004780443744250462,-0.00296,0.000428
