Date,.dMIHK0EGI0G,.dMIHK0MLI0G,.dMIHK0CGI0G,.dMIHK0TPI0G,.dMIHK0ACI0G,.dMIHK0CAI0G,.dMIHK0CVI0G,.dMIHK0RTI0G,.dMIHK0FDI0G,.dMIHK0FBI0G,.dMIHK0PBI0G,.dMIHK0BKI0G,.dMIHK0DFI0G,.dMIHK0ISI0G,.dMIHK0SSI0G,.dMIHK0THI0G,.dMIHK0SEI0G,.dMIHK0TSI0G,.dMIHK0MDI0G,.dMIHK0ULI0G,.dMIHK0REI0G
2009-07-02 00:00:00+00:00,59.24,102.436,636.574,703.935,814.16,641.353,627.087,646.079,,1032.77,520.326,916.38,1323.783,673.932,,427.68,752.86,1063.803,506.088,1068.719,930.841
2009-07-03 00:00:00+00:00,58.609,100.296,639.885,698.537,807.799,649.313,633.57,654.132,,1040.669,512.646,921.425,1322.709,707.841,,425.802,756.462,1052.046,503.113,1068.697,926.873
2009-07-06 00:00:00+00:00,58.819,99.444,629.83,691.808,795.078,645.185,631.653,655.774,,1027.723,525.445,923.82,1310.081,745.988,,430.01,752.86,1054.322,505.19,1068.704,922.135
2009-07-07 00:00:00+00:00,57.559,98.995,627.329,704.78,796.35,633.545,628.06,662.816,,1034.491,522.039,919.065,1296.261,729.034,,427.413,750.159,1069.804,507.495,1071.054,914.758
2009-07-08 00:00:00+00:00,57.139,99.988,622.616,697.761,781.084,626.206,618.465,645.752,,1043.021,521.179,903.606,1290.875,699.364,,430.363,755.562,1068.583,508.699,1075.138,902.421
2009-07-09 00:00:00+00:00,55.878,103.179,618.004,701.484,775.996,630.865,617.968,646.48,,1052.526,527.154,904.517,1286.161,686.648,,427.393,769.07,1073.784,510.302,1081.112,903.224
2009-07-10 00:00:00+00:00,55.878,105.105,604.892,705.206,760.73,632.827,622.459,669.182,,1076.006,521.182,904.838,1287.482,699.364,,429.884,770.871,1066.984,505.15,1078.287,902.066
2009-07-13 00:00:00+00:00,56.719,103.75,595.733,697.162,740.376,621.487,626.091,654.628,,1068.02,516.063,886.589,1255.312,703.602,,421.958,769.07,1063.933,501.302,1077.124,881.466
2009-07-14 00:00:00+00:00,57.559,104.755,612.183,712.595,763.275,626.608,636.751,679.587,,1076.109,510.096,916.203,1285.366,720.557,,422.279,778.976,1080.276,506.014,1082.637,917.467
2009-07-15 00:00:00+00:00,59.03,107.953,626.368,737.387,783.629,641.128,666.199,706.276,,1090.05,513.514,925.588,1332.813,729.034,,433.195,854.622,1096.857,511.403,1095.495,948.153
2009-07-16 00:00:00+00:00,57.979,110.925,639.089,709.686,781.084,643.706,653.249,719.512,,1096.953,505.83,925.469,1340.4,750.227,,431.301,825.805,1094.813,520.09,1090.705,949.475
2009-07-17 00:00:00+00:00,59.45,112.915,651.058,748.404,792.534,652.121,661.377,733.464,,1102.201,507.535,947.395,1367.643,754.465,,432.944,815.899,1096.229,525.663,1093.396,978.333
2009-07-20 00:00:00+00:00,61.55,116.663,674.003,771.197,849.779,665.887,677.114,751.376,,1119.758,520.33,970.15,1444.241,779.897,,435.151,840.214,1114.267,536.413,1088.125,1023.528
2009-07-21 00:00:00+00:00,60.92,114.704,678.779,777.151,840.874,681.377,688.984,770.327,,1136.184,520.33,975.443,1439.154,784.135,,457.493,870.832,1118.386,539.399,1083.515,1029.944
