week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
2000-01-07,-0.015800959759505052,-0.07879815062944359,0.04053972966897104,-0.06547310149699419,0.11115606534273613,0.08268843366082224,-0.022854930959696526,-0.036135549897976176,-0.034607614707657795,-0.06336073244893188,-0.02387,0.00103
2000-01-14,0.035392169793002755,-0.07189154852213187,0.025242764304726103,-0.05843892848009288,0.09885153563527221,0.05979816892464175,-0.04413431993143843,-0.031971748323927254,0.00877020490212259,-0.07978322674082594,0.02173,0.00103
2000-01-21,0.06676394799289817,-0.05670549820601598,-0.020891279075902,0.0020792841804799667,0.028672991471239744,0.046150374242602356,-0.01701365398918532,0.007266572949519535,0.044327980154469496,-0.03445342106931583,0.0012300000000000002,0.00103
2000-01-28,0.01613123054305217,-0.08847541350861211,0.056892228738911824,-0.0753692666661891,0.09643206070752819,0.07275138221245792,-0.019295248266522284,-0.03360858291624314,-0.011351317544650835,-0.052204652582009924,-0.05607,0.00103
2000-02-04,0.023138581147143206,-0.027283696801179244,0.03545143180560113,-0.035067850045862006,0.0702045961303763,0.00937356524312613,-0.025433509037858168,-0.010702426611834605,-0.009945658984204797,-0.04891496183862598,0.04568,0.0010800000000000002
2000-02-11,0.013757634505793738,-0.06652072746415619,0.04599331833769908,-0.05480797303502369,0.04052354149112164,0.008432756169882368,0.0018057769881011923,-0.02779528804856612,-0.020655412064005323,-0.04398308228999914,-0.013419999999999998,0.0010800000000000002
2000-02-18,-0.09449641324462324,0.14792270277687108,-0.10700542151428191,0.10526764836538359,-0.16014183725690295,-0.06131717653172833,0.06738768769501331,0.033269867362705985,-0.01772232403488871,0.1714583882740816,-0.01782,0.0010800000000000002
2000-02-25,-0.04912584553908276,0.04811237978096934,0.040712051477206176,-0.018944240358385017,0.03161031216988192,-0.008443373372245298,0.028563451897162702,-0.044499735543463675,-0.04357564107945108,0.027882031993668815,0.00398,0.0010800000000000002
2000-03-03,0.029546334911292462,0.120886435361767,-0.09204030505217023,0.10635558742090817,-0.12562201419147576,-0.13136590809773388,0.02906265850876488,0.03896809629543862,0.05873779029639632,0.11587401644541846,0.06577,0.00117
2000-03-10,-0.03942977770660448,0.03693820454559625,-0.0038006798043056424,0.0054829855325747735,0.016680514450464454,0.007145357332163571,0.04070458094702935,0.04622643391287162,-0.026695526996836687,0.034460465485241815,-0.0021300000000000004,0.00117
2000-03-17,0.01994966399905823,0.2821532667230516,-0.22295238593371303,0.2156121944426441,-0.2668263185220207,-0.278308929089713,0.04355954480506202,0.1350097414681239,0.07220985300383743,0.22168683612897808,0.01877,0.00117
2000-03-24,-0.03331050336144019,-0.060541922969178326,0.06422602529184693,-0.06765927231102153,0.09700750266093106,0.0883197206635179,0.006584297371479704,-0.0520663730452129,-0.04425680732289193,-0.0570968729979618,0.03237,0.00117
