Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf_week
2000-01-07,0.2984116417644961,0.03567360845518691,-0.03975078442284214,0.10276103072321072,-0.022301909517529007,0.09249209257647187,-0.15711595908916814,0.0025322554403844344,0.02630978900168994,0.16426524044580793,0.03186247718804669,0.00021000000000004349
2000-01-14,0.4774166325768182,0.07679182311480101,0.07779311938326103,-0.04658949081161247,0.030768198595812913,0.000690179634420144,0.13046877197343207,0.02367168449112929,0.17021823809025474,0.22690613277271932,-0.08759426654453784,0.00021000000000004349
2000-01-21,0.09477150589045286,-0.06244754458368519,-0.06918104144956962,0.06708996119454476,-0.16169562930728332,0.040432916452385684,0.10079636961245714,0.12288732818359097,0.0405193429395631,-0.04420946844413815,-0.017263213687402024,0.00021000000000004349
2000-01-28,-0.22522508333210642,0.1458541914882543,0.08430222010094625,-0.09001640208685646,0.20206137357781373,-0.15673447648966776,-0.10815503741051219,-0.11654300863725228,-0.07883996662693453,0.046754660356597255,-0.026133001510155074,0.00021000000000004349
2000-02-04,-0.0215652284452943,0.02233875703468457,0.0351308918923216,-0.0181702861925619,0.13266959619940705,0.10031372284606602,-0.10761603021751356,-0.05682028321806605,-0.14445916460515912,0.011921217247117666,0.024050687157781026,0.00021000000000004349
2000-02-11,-0.027976449485799557,0.0812902366023486,-0.015936504334474105,0.002188429026101793,-0.08605163226533076,-0.09926306697764878,0.04025199025049862,0.06801281979965103,0.054326375940612515,0.005161692513528781,0.0280563005960468,0.000220000000000109
2000-02-18,-0.02972905414737584,0.06630984858302653,-0.05557335966343016,-0.011955305112919382,-0.09219278081939139,-0.09343699817572536,0.06927902922464174,-0.021393202819131863,0.02485604570608347,-0.02619121642249017,0.07645483626125049,0.000220000000000109
2000-02-25,-0.011597773872761227,-0.020255429267097065,0.05518870766802409,-0.03343177715455113,0.08108668055321083,0.06903372224898684,-0.04359763525548911,0.001178838693419032,-0.09208547123592926,0.007031033721535027,-0.05041549925068178,0.000220000000000109
2000-03-03,-0.05870249028446556,0.09988473171211747,-0.03499921992330541,0.02425063078564426,-0.08711863406868689,0.09257586879603956,0.03326053473321887,0.034159676920253984,0.04098898281111889,0.011900584721575704,0.04056212425033845,0.000220000000000109
2000-03-10,-0.05362463402040667,0.13203835853910492,0.014326476607983002,-0.015820048171362712,0.03381340511684239,0.04052755018257663,-0.04805709755498082,-0.06529866917957727,0.002534666128079493,0.02448907553931607,0.04558996351955091,0.00019999999999997797
2000-03-17,0.02278563265799682,-0.006693825902191405,-0.09490624279318811,0.0036385652405080265,-0.13222738736573653,-0.05539194608161791,0.07069026988391613,0.06791100187999086,0.08184336881965285,-0.033531706711204055,-0.037281882293583424,0.00019999999999997797
2000-03-24,-0.059171651264853575,0.09070430385528412,-0.044058492683948125,-0.04000088560842455,-0.23434997503089042,0.11185454493103791,-0.005517736891789984,0.0553870520942635,0.03748671193310528,0.03169916752652671,0.008058874588516618,0.00019999999999997797
2000-03-31,-0.0027763120371742025,0.039494117617996295,0.034549227064277016,-0.06863179328966383,-0.008797010716912192,-0.015829146781962518,0.027552999980528195,-0.009025026942688313,-0.04303261989572803,0.016862523471535364,0.06141184580195724,0.00019999999999997797
2000-04-07,0.045900448402415264,-0.07878545392801126,0.04630175945564188,0.017311389277504516,0.05193843889497941,-0.15279928070493543,-0.05875647074824926,-0.03356340631564379,-0.03161158737869601,0.0030962594067902582,-0.07652876586821311,0.00024000000000001798
2000-04-14,-0.04090954591636968,0.058211796905989294,-0.03131743760007886,-0.01921202940391539,-0.004548747223553995,0.06813899580896579,0.0010291345945104592,-0.018310928234791114,-0.01791434699783639,-0.0002615731679705066,-0.002497494513977072,0.00024000000000001798
2000-04-21,0.05649660539224191,-0.0757221178245446,-0.06263877629469881,0.0005183853506806613,-0.0794072139261533,-0.020551224969625297,0.04623754359335184,0.046373393680581146,0.07898477684356897,-0.0519771479662984,-0.1239334296297967,0.00024000000000001798
2000-04-28,-0.03949404720382717,0.13491450093772364,-0.06104597543728872,-0.03281222444126178,0.024267690037371323,0.17039675718213837,0.003317368212041233,-0.028623466721987463,0.011405831930795168,0.009410084141529537,0.04096699920134772,0.00024000000000001798
2000-05-05,-0.06791686887113554,0.032242206777200064,0.20124361124841278,-0.061684708602945226,0.16237858093187812,0.08441278210680501,-0.1598593248994764,-0.06834060232408105,-0.1502465219579838,0.009692831074985975,0.00990164728114662,0.00022999999999995246
2000-05-12,-0.04826300058279205,0.019122474816914453,0.01635645594531935,-0.024565740181162293,-0.02231997888955555,-0.010628236071228786,-0.012689907901953346,-0.005069585454554389,-0.026310560031652042,-0.0065886114626610565,-0.0398407144652142,0.00022999999999995246
2000-05-19,0.006438442634476783,0.023523286586512697,-0.01452872458227852,0.00642110022721324,-0.05857348094181106,-0.06837228725737639,0.024846394136570985,0.031249306113025795,0.014194350163651533,-0.02928304919880432,-0.0013220589222200374,0.00022999999999995246
2000-05-26,0.0031384803188315227,0.014477310694967944,-0.0036131788288309465,0.014335564559688166,-0.00759180657716765,0.032809106282232235,-0.0019394527937958497,0.025516849873688078,0.015822519345323742,-0.003660736094615036,-0.04976514148629485,0.00022999999999995246
2000-06-02,-0.05497991119243052,0.053349696863300794,0.03239793642876608,-0.03210424134366217,0.07303918576902452,0.06837152865057525,-0.04474321367653265,-0.026117794512857544,-0.01987015006275731,0.009697754296085617,-0.011715095331004788,0.00022999999999995246
2000-06-09,-0.04782390704006739,0.05929451894002909,0.037890583697797596,-0.009820164241453655,0.0033355529886760563,0.030481519173866278,-0.021852527868286786,-0.006189115046737713,-0.01850669220141609,0.00418314051474025,0.13499825045599056,0.000180000000000069
2000-06-16,-0.022678833968727136,0.02833688491068592,-0.048198005399059704,-0.001669100095201985,-0.04310735027234587,-0.01081931378001185,0.030690944561085797,-0.012317564253346479,-0.02251463538283426,-0.021186529620945624,0.012191016336226657,0.000180000000000069
2000-06-23,-0.0029397900157712917,-0.01264327013908453,-0.03017889158698485,0.014532717114998017,-0.04493066982584487,0.03411518048294391,0.03485908109429834,0.02206555433223185,-0.004201606155122235,0.005068446116202611,0.013230728026384142,0.000180000000000069
