Date,.CSIH20105,.CSIL01220,.CSIL01221,.CSIL01222,.CSIL01223,.CSIL01224,.CSIL01225,.CSIL01226,.CSIL01227,.CSIL01228,.CSIL01229
2012-07-25T00:00:00Z,,3229.0831,1811.589,1287.0449,1698.4448,3814.5844,1518.6192,1627.5633,2801.7574,3101.2113,1954.6909
2012-07-26T00:00:00Z,,3203.9118,1792.2869,1270.0086,1679.0427,3785.6483,1495.4769,1626.643,2766.4771,3137.1721,1938.0015
2012-07-27T00:00:00Z,,3211.2094,1793.479,1275.8226,1669.5127,3791.8803,1494.4006,1625.3463,2745.5305,3159.6191,1936.3728
2012-07-31T00:00:00Z,,3332.3392,1858.8372,1300.9959,1746.3816,3868.4586,1533.4797,1681.3032,2823.0164,3239.3838,1975.3955
2012-08-01T00:00:00Z,,3375.2931,1879.1266,1313.9308,1760.2371,3896.1974,1563.928,1702.8143,2836.892,3257.7468,1990.2602
2012-08-02T00:00:00Z,,3385.8862,1920.3106,1327.4218,1762.4223,3896.6519,1563.3687,1711.5676,2840.965,3220.6249,1997.1095
2012-08-03T00:00:00Z,,3353.9634,1902.9116,1315.1484,1749.2861,3898.0353,1545.9552,1700.5755,2832.0131,3183.3119,1999.3834
2012-08-07T00:00:00Z,,3406.0174,1936.6801,1330.3467,1794.0973,3947.5562,1562.0726,1727.763,2888.3636,3246.1698,1991.4752
2012-08-08T00:00:00Z,,3438.8721,1971.1939,1343.0491,1838.5419,3943.8443,1579.5094,1731.5969,2912.3958,3239.1739,1983.2848
2012-08-09T00:00:00Z,,3460.9132,1961.0274,1335.5339,1839.7265,3899.5788,1607.4508,1730.4148,2911.8644,3240.2521,1976.7752
2012-08-10T00:00:00Z,,3472.9808,1995.8618,1348.5501,1860.9775,3935.3038,1603.5712,1750.6908,2959.0202,3274.7959,1992.842
2012-08-14T00:00:00Z,,3422.841,1944.5268,1334.5853,1780.1071,3903.5253,1597.7382,1738.6257,2843.5673,3271.8645,2005.1427
2012-08-15T00:00:00Z,,3434.2901,1926.6008,1341.4302,1779.7128,3939.7514,1614.2203,1752.748,2863.368,3340.2036,2021.9879
2012-08-16T00:00:00Z,,3392.5566,1909.7556,1330.5339,1769.8549,3897.7778,1617.4449,1733.5175,2858.236,3292.4913,2010.3652
2012-08-17T00:00:00Z,,3385.1637,1919.8877,1326.8371,1787.9875,3868.9018,1623.0649,1726.1574,3015.2407,3174.454,2002.2143
2012-08-21T00:00:00Z,,3429.3707,1933.8473,1337.1124,1843.1255,3965.0673,1629.4405,1739.4194,3078.8227,3055.0922,2011.9151
2012-08-22T00:00:00Z,,3402.2668,1959.0032,1337.8517,1855.3424,4004.4654,1645.1918,1742.8084,3057.7447,3081.8136,2011.2448
2012-08-23T00:00:00Z,,3339.9909,1930.6603,1320.5082,1834.2495,3987.5475,1612.5677,1727.4626,3016.1543,3081.9106,1990.854
2012-08-24T00:00:00Z,,3375.5206,1965.4099,1330.7983,1862.5255,4051.0645,1661.9629,1748.5533,3047.0512,3148.4577,2002.5402
2012-08-28T00:00:00Z,,3311.1392,1900.6773,1302.6343,1830.1778,4002.4699,1629.9729,1713.4354,3010.9325,3138.995,1990.0211
2012-08-29T00:00:00Z,,3305.2918,1892.0472,1294.3449,1832.4293,4053.0457,1637.1108,1712.5838,2977.1242,3148.4986,1992.8015
2012-08-30T00:00:00Z,,3293.924,1844.0203,1281.5778,1840.0581,4048.6295,1651.3016,1709.6433,2980.6805,3149.7099,1993.7147
2012-08-31T00:00:00Z,,3286.9633,1810.8444,1255.6623,1819.5482,4038.4049,1636.2365,1685.2725,2942.2142,3116.9836,1989.815
2012-09-04T00:00:00Z,,3263.6587,1813.2092,1244.6864,1817.1752,4072.9828,1617.2743,1690.2819,2978.7179,3113.5023,2000.4895
2012-09-05T00:00:00Z,,3234.2353,1815.4901,1232.9188,1805.3637,4051.5791,1609.0541,1679.0666,2953.3618,3097.7589,1987.2587
2012-09-06T00:00:00Z,,3165.6539,1781.6887,1217.1527,1774.2624,3999.3241,1601.9993,1655.8979,2891.1393,3073.5124,1985.3627
2012-09-07T00:00:00Z,,3182.7883,1810.8646,1239.6775,1768.6655,4021.1178,1608.5208,1661.9939,2952.3877,3097.4418,1998.8284
2012-09-11T00:00:00Z,,3279.7839,1931.9037,1304.818,1857.1264,4118.1161,1612.0062,1717.2592,3022.0609,3121.3648,2038.957
2012-09-12T00:00:00Z,,3307.5749,1926.0949,1291.7781,1860.2781,4086.9732,1622.0904,1717.1464,3028.8157,3141.4537,2041.1038
2012-09-13T00:00:00Z,,3357.5529,1953.2978,1306.1434,1871.3686,4097.3866,1649.2087,1737.8781,3059.471,3171.1654,2043.8191
