Clsdt,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep
2000-01-07,0.11226075530457008,0.038425402140451946,0.10419022614301517,0.13585459554060705,0.07195076157078013,0.07395542080221533,0.12117298581976606,0.11623585279696834,0.07378419435143702,0.15877043903739008
2000-01-14,-0.01297149646475451,-0.003530933754218348,0.0016907037061932497,-0.047746948293824955,-0.006742528957101983,0.005982324357005827,-0.0245223671165154,-0.043700765280286984,0.011135852758252105,-0.04981612454680706
2000-01-21,0.0732544929194364,0.046920528323438154,0.046778063532999556,0.043546814338166304,0.07164152869236524,0.06704378658019705,0.07538207868792239,0.07732842995066323,0.07812009716170676,0.0642467183954538
2000-01-28,-0.03279348276599808,-0.008596653901524675,-0.012696962897719691,-0.021541690320845443,-0.015246354832981228,-0.01951766938600606,-0.02057690705518529,-0.03439574336701156,-0.0220057944995402,-0.029670168359880632
2000-02-18,0.004485497737012883,-0.02005000439377082,-0.003596620452342424,-0.025099403626834826,-0.01526931328926564,-0.03124545899538077,-0.0008758191072861119,-0.013793750196005252,0.019566774372509463,-0.014745826351426239
2000-02-25,0.08268301527209523,0.044934233048462745,0.04576488155517432,0.041439051535757686,0.05095611892435242,0.04341714655550024,0.060902805751898596,0.061751709974013975,0.0661665328713943,0.048235785006737385
2000-03-03,0.05188737206040699,0.03584964149145228,0.04281199607302485,0.012638407466270273,0.05945002507527052,0.0027304802013923186,0.04878682328148841,0.044776652015430136,0.045441170379191466,0.024926247848483806
2000-03-10,0.026988608567983217,0.023565726744898974,0.024301504356492476,-0.0033441997362401825,0.015846591623329815,0.00746031415113209,0.027883498677923346,0.018377342322064116,0.028578840739949853,0.010695176296195898
2000-03-17,0.01046483930447627,0.025224753529591616,0.023003271689267378,-0.010425949659595334,0.02956873051419421,-0.004102531400738203,0.004908821011113925,0.0035155842326360493,0.017270027445588015,-0.013228863104404577
2000-03-24,0.005884917641670092,-0.00912369707348086,-0.00721004055896122,-0.010216759784383522,-0.011721095031950996,-0.0033300617411295757,-0.0013161145757317517,-0.0011689967479124976,0.004215706391918459,-0.004188435215455467
2000-03-31,-0.01577535899260329,0.0015676495801342015,0.008900496630866622,0.022214879245620087,-0.012736681525663034,0.003951054343603688,-7.079101885267659e-05,0.0003424496231745214,-0.004827621306558542,0.0052901809389645565
2000-04-07,-0.05981335110177667,-0.0622471071741015,-0.05964846986848036,-0.05817145682770058,-0.0727850849771273,-0.06505192554413182,-0.07265526585358656,-0.066790477652022,-0.05769004405905833,-0.06519126218165532
