,DJUSBMT,DJUSNCT,DJUSCYT,DJUSHCT,DJUSINT,DJUSENT,DJUSTCT,DJUSTLT,DJUSUTT,DJUSFNT,gamma_reg,b_weight
2010-01,0.26144662653509754,0.38617531561593826,-0.06545822905718401,0.2624705508667377,0.02035787495901604,0.3455220744621759,0.2551326025616087,0.01148412262315749,0.11151857015743379,-0.5886495087239814,0.001,0.5
2010-02,0.2213263283610944,0.35655501723392985,-0.03134044478262152,0.4199491879354543,0.08035977568949815,0.3507015691117819,0.22742173533598115,-0.011995972657070114,0.010127157977914261,-0.6231043542059622,0.001,0.5
2010-03,0.27746003664202684,0.4493854554486994,0.01750768163846251,0.36213872235725914,0.12485092653865013,0.2028312940306775,0.31461479894309863,-0.06838688487286762,0.021466149804719635,-0.7018681805307261,0.001,0.5
2010-04,0.24920126811597892,0.4254536784481404,0.03134252881042973,0.27239785584723075,0.08903098395140874,0.1856849709854257,0.264467055912249,0.0006745647177904615,-0.014093302639231572,-0.5041596041494221,0.001,0.5
2010-05,0.24039512153645293,0.43531415513621297,0.21848752722839326,0.06528192040520696,0.17763787867181807,0.28071869929005405,0.2884898888274457,-0.09277473146210256,-0.04420236684164455,-0.5693480927918366,0.001,0.5
2010-06,0.6981048689147468,0.7196023366674021,0.2339488903144762,-0.02246605917373687,0.25687746383705107,0.2783018746091504,0.289389691902735,-0.1415490030257862,-0.13740209720018254,-1.1748079668458562,0.001,0.5
2010-07,1.5187089622624526,1.588146115109426,-0.28399724418694433,0.05290235454673616,0.6074947566484743,0.03619986917203599,0.6623146156971766,-0.16292320995151977,-0.5625648849211726,-2.4562813343766647,0.001,0.5
2010-08,1.2501204954425695,1.3500553168416252,-0.2788177547537976,-0.15328722521660698,0.5329453648494406,-0.05301857657501707,0.39510187241254,0.015571276451234274,-0.236917210563101,-1.8217535588888871,0.001,0.5
2010-09,1.756525257996827,1.5022998503660259,-0.1255156531881722,-0.16819297733388522,0.2854945230515044,-0.47629353209676967,0.05977236658798115,0.35983214777861355,-0.13194795090128347,-2.061974032260842,0.001,0.5
2010-10,0.943803877154489,0.82099821203257,0.1814693017603078,0.1372685444449725,0.2138574283142466,-0.2620694515762218,0.10587845198927277,0.32310589705741816,-0.22561391390211039,-1.2386983472749444,0.001,0.5
2010-11,0.5128581115322918,0.619340547462957,0.21030650895018388,0.12076634738969333,0.12217895588251387,-0.019542057880457986,0.11504770224838068,0.1676263789528862,-0.04025643211522184,-0.8083260624232269,0.001,0.5
2010-12,0.5301785235201234,0.6868197459854155,0.2913224252425586,0.0928695607130034,0.11580412369029004,0.06646901519941362,0.026790491703590533,0.11487539314393345,-0.04987617951665445,-0.8752530996816738,0.001,0.5
2011-01,0.44584790171513844,0.6065219993815528,0.2083442283795237,0.059692688016631724,0.10497534990994992,0.0977370976812306,0.05877150289525329,0.2004728118286091,-0.07726241362752766,-0.705101166180362,0.001,0.5
2011-02,0.3900694789909264,0.5925211639630785,0.19307110978306713,0.05071400422076814,0.25309372195426577,0.08643906476087763,0.12208330462539287,0.10895350818247128,-0.044130680111925044,-0.7528146763689226,0.001,0.5
2011-03,0.32225291893530256,0.5643314384065842,0.24891316925738355,0.07256575183216071,0.1276078504599476,0.2596492058382844,0.1286364384181029,0.008079823792967317,-0.07605093764166583,-0.6559856592990673,0.001,0.5
2011-04,0.2984691520974885,0.5343518463598272,0.23189128500393041,0.11697454117405862,0.10782393290491307,0.20685356660466236,0.06528400606337971,0.02840470624165253,0.005283748494826282,-0.5953367849447387,0.001,0.5
2011-05,0.21617550208507225,0.47278123957921836,0.24593800915590297,0.20533311206859212,0.09145075267808542,0.14829991782382612,0.0797086487503364,0.059910594317887284,0.016779324766373185,-0.5363771012252943,0.001,0.5
2011-06,0.1874075287858446,0.46054081480704434,0.21406625818231517,0.2269965533795949,0.05752624872909892,0.1276634029135223,0.12918517744522676,0.09243389232734596,-0.0035523372791239974,-0.4922675392908688,0.001,0.5
2011-07,0.21264094527380029,0.4903212347167476,0.23846590744769608,0.23327448680898566,0.08485070432282284,0.11078407817473339,0.13602153364632374,0.05148550423405066,-0.011053873454252967,-0.5467905211709073,0.001,0.5
2011-08,0.32028247756368716,0.589576883967744,0.38954296689500034,0.1534038176561892,0.14064776693746173,0.08048475868662204,0.2720813715457667,-0.07534548827852726,-0.0832943042076461,-0.7873802507662976,0.001,0.5
2011-09,0.34675087957050776,0.642242050500002,0.43545931969937707,0.14090165187079864,0.146622635518268,0.06712176117714014,0.1758090607918929,-0.06298346777405638,-0.027846210381740982,-0.8640776809721892,0.001,0.5
2011-10,0.2592281698034482,0.6864706808829144,0.4056111492579165,0.13379538109994865,0.13599480254503088,0.04539085286276254,0.2485824887211504,-0.09438679245651167,0.10578344122075556,-0.9264701739374156,0.001,0.5
2011-11,0.2581311284324725,0.6701528768153223,0.36453030522406726,0.15405379847317058,0.1928520650259271,0.10689319668943659,0.2634800304137077,-0.15002604714628281,0.033325175536924226,-0.8933925294647453,0.001,0.5
2011-12,0.2510662778859501,0.6607943889706795,0.39214170142759597,0.1965405867938192,0.22107742685315712,0.06487002332905895,0.2058865306913812,-0.11370384508636756,0.027436435377116104,-0.9061095262423906,0.001,0.5
2012-01,0.18287959821998012,0.602524664919454,0.3528778338598017,0.22024420549940404,0.20723232019455867,0.08994217793286068,0.19734067436821034,-0.11360921588618837,0.07197465633715888,-0.81140691544524,0.001,0.5
2012-02,0.21469582208751326,0.6182965439594549,0.35453535283900284,0.23935621631612242,0.28503498675866884,0.09795854337076713,0.2928469697310863,-0.22361674270481136,0.02690866574838231,-0.9060163581061864,0.001,0.5
2012-03,0.0696163482868486,0.5887728238068324,0.3361225598105512,0.23927779611888383,0.19809798381375826,0.18393621945694805,0.3492284467198805,-0.14806085191903867,-0.08466288201369178,-0.7323284440809725,0.001,0.5
2012-04,0.0454195095190293,0.5863935548363555,0.35227835247868927,0.279022463561644,0.17825937135242848,0.11009370960207185,0.40844985812070467,-0.17237992899590715,-0.1043905702548437,-0.6831463202201721,0.001,0.5
2012-05,0.08162152961335087,0.591490398220966,0.4396490429368299,0.23457843899846448,0.15458793829262785,0.0808235269621071,0.35816611706648677,-0.10142662320470451,-0.11051422271379634,-0.7289761461723322,0.001,0.5
2012-06,0.07053044626684452,0.6653834505568101,0.516009250317891,0.2381628040195724,0.15045501001112488,-0.01268516231561935,0.3508420856735323,-0.1496841468360235,-0.02597926384258395,-0.8030344738515484,0.001,0.5
2012-07,0.048530406713491785,0.48761207647327154,0.4236230489349148,0.2749814917052477,0.08173228856723537,0.012491274305599029,0.23199602838903766,-0.05951444163290494,0.062306743583246726,-0.5637589170391397,0.001,0.5
2012-08,0.020868131172669536,0.4305990845909747,0.38794915763384824,0.2539374748988654,0.014165038497400237,0.039671608196663266,0.16418252801335403,-0.0013083136854120658,0.10527598034951532,-0.4153406896678786,0.001,0.5
2012-09,0.03128518636293053,0.44449264994906673,0.42357852367251586,0.2614685594721227,0.022811496807196397,0.04671909994821092,0.18798531745598118,-0.011330058675460365,0.04959203608113307,-0.456602811073697,0.001,0.5
2012-10,0.010950436309175228,0.4077136335564705,0.4765870982286834,0.2829310564655198,0.01567652001432733,0.040836079600533,0.16956035244692147,-0.001913744025001378,0.04294259202553215,-0.44528402462216127,0.001,0.5
2012-11,0.0010327430139351265,0.4267901527829135,0.5375557115217574,0.29491552098340096,0.05112452428268235,0.05405730629112508,0.0472092497118363,-0.0019469925180108441,0.02860964061220374,-0.4393478566818437,0.001,0.5
2012-12,-0.011297421451888168,0.41620767819135834,0.5561578265189627,0.2643935058325559,0.053976358264022244,0.05750851997496784,0.08632127156902114,0.042457192131231836,-0.03341326138842944,-0.4323116696418023,0.001,0.5
2013-01,-0.0061211441727680935,0.4034535951426898,0.6053478681184464,0.2806603853931335,0.06797434307429213,0.00028107901637335064,0.05498432031064645,-0.004416429193128971,-0.008783553966771905,-0.3933804637229125,0.001,0.5
2013-02,-0.05757790451671581,0.34487755859687114,0.4129510915612773,0.2581735194037848,0.05919404537673898,0.07982993582253711,0.1208847554934616,0.04301277185635222,0.037638209090524975,-0.29898398268483245,0.001,0.5
2013-03,-0.09503462974877548,0.3063748987217414,0.3728252592005551,0.23453725551217586,0.061580478150705505,0.04251733002963089,0.1277552345420072,0.09681514555544407,0.07110018777899194,-0.21847115974247644,0.001,0.5
2013-04,-0.08469372089395337,0.2768729422416799,0.37849639108391736,0.27483714157879163,0.025073776203320502,0.05278430559273063,0.11148169017384824,0.0727036233517224,0.08457889621635993,-0.19213504554841732,0.001,0.5
2013-05,-0.08270676947190027,0.32344225809457566,0.3774486173459777,0.28998232314369277,0.03777829995678242,0.011631245234508036,0.08519809769499687,0.0787366443364586,0.08139886413296502,-0.2029095804680568,0.001,0.5
2013-06,-0.12118724528792367,0.34322019806193155,0.42015039746208405,0.3279372412867167,0.05496405017444901,0.026824915537238668,0.08262866559892712,0.03887622488649098,0.01845976679640777,-0.19187421451632208,0.001,0.5
2013-07,-0.17692350892272896,0.3304568493032372,0.39186743014421765,0.26139796158960393,0.07791553760983116,-0.014877586480874047,0.09796189524037141,0.12390399131527657,0.0010112068050409165,-0.09271377660397591,0.001,0.5
2013-08,-0.15755807045447645,0.3002220710388295,0.385761605717863,0.2483240953911472,0.06590882919117087,0.019926341354443145,0.09567172037139506,0.11638878537553773,0.028875434822503935,-0.10352081280841395,0.001,0.5
2013-09,-0.14335346535947963,0.31199128193245446,0.3885826626719989,0.25883028418256354,0.07390208473588714,0.017779435348147535,0.11023965919005119,0.10908167109801437,0.006489065186602652,-0.13354267898624034,0.001,0.5
2013-10,-0.05368053919366331,0.2121418342210134,0.3485600880421721,0.22603236975142382,0.09215314022935923,0.021771401187149507,0.12029349418269579,0.13331011248584296,0.06739150468442913,-0.16797340559042256,0.001,0.5
2013-11,-0.005078412437400266,0.19764494050563586,0.2807426341440273,0.18211581806076993,0.08046216663489968,0.047377346099844536,0.11148782585261151,0.12663339233410106,0.09549975871614086,-0.11688546991063041,0.001,0.5
2013-12,0.013318346587302507,0.1962601004575753,0.29612099314795326,0.21667421927736347,0.06092884834618812,0.007169161627419089,0.14074263752225996,0.07082262858468233,0.08153651382544913,-0.08357344937619308,0.001,0.5
2014-01,0.013264149173429413,0.19958483062729787,0.28104804463324895,0.19435678601815043,0.06697236999934528,0.019900605339363622,0.1469280312421316,0.06976246740195419,0.0923418382497525,-0.08415912268467383,0.001,0.5
2014-02,-0.001155856528628256,0.18189725259577616,0.26720908877226907,0.18532303110920478,0.06909611556787587,-0.017415078069027964,0.12576791636610504,0.09326322986216694,0.09508542563161587,0.0009288746926426408,0.001,0.5
