,HSCIIT,HSCIH,HSCIEN,HSCICD,HSCIPC,HSCIFN,HSCIMT,HSCICS,HSCIUT,HSCITC,HSCIIN,gamma_reg,b_weight
2010-01,0.16635420750975405,0.6422938058368072,0.13088166247520638,-0.0341404638817505,-0.11051732619261721,-0.10431305479028365,0.05271475582132901,0.4235299741165363,0.03692155191179144,0.1013535404347968,-0.30507865324156996,0.001,0.5
2010-02,0.17701481113319711,0.6874065699590326,0.1216374846927803,0.0013441191406746086,-0.13839605626699564,-0.13032357364270752,0.06229091214483631,0.38614278735050517,0.03147666922068933,0.14967890429913083,-0.3482726280311431,0.001,0.5
2010-03,0.16911848013010145,0.6746082560232809,0.11142459181954938,-0.01519752589319167,-0.09785712214996896,-0.11604006814312688,0.025759175745376964,0.38177405988815766,0.0369974004538356,0.1550372035661264,-0.3256244514401408,0.001,0.5
2010-04,0.12942367242562902,0.640521947316394,0.10196023155892192,-0.003956868817710034,-0.07941268644996508,-0.09665501783053525,0.02489140791643793,0.381588740461064,0.05798529778862774,0.1248905661443964,-0.2812372905132606,0.001,0.5
2010-05,0.13786387098146918,0.6737179568066997,0.11494105379472443,-0.01852554727949822,-0.12465973872163598,-0.10312671215337875,0.03480770059964159,0.39002109520615547,0.04430055578868722,0.12162092523063439,-0.2709611602534991,0.001,0.5
2010-06,0.13231753424794399,0.7079506945141743,0.121662842875359,-0.03881406657995952,-0.1217532093721037,-0.10759228113617443,0.04565584058416768,0.3835682257443727,0.04967370230579984,0.11983365734403907,-0.2925029405276188,0.001,0.5
2010-07,0.09317739304797129,0.6683626663942778,0.0955253532406225,-0.02723607343247393,-0.09958423044090421,-0.08206755083609395,0.022166451588436404,0.383030249388717,0.06410588428629496,0.13449861960608683,-0.2519787628429345,0.001,0.5
2010-08,0.11232772831443849,0.6738566685737822,0.04491060887324406,-0.03018891922911443,-0.10522759020180038,-0.07757888633851964,0.043076389904119425,0.38209890200295865,0.060539917771719735,0.10948843321163815,-0.21330325288246643,0.001,0.5
2010-09,0.07845425096026201,0.6840572720865671,0.046059720892328126,-0.03122139641921695,-0.10779874069317257,-0.08787389199048949,0.06127823374647294,0.38603126275943545,0.06828775508850554,0.09603100828182912,-0.19330547471252135,0.001,0.5
2010-10,0.07464838109936843,0.6774133267370137,0.04903318548736719,-0.03265461867503398,-0.10207013750828821,-0.08844697102962838,0.05737164121427486,0.4199364841565229,0.06234332679946594,0.05633462172075135,-0.17390924000181374,0.001,0.5
2010-11,0.056136880428514176,0.6379175106371412,0.06797159157617724,-0.019180138906200947,-0.09551935308038757,-0.07968773607525804,0.05172091169034187,0.4129182692313118,0.06477349269429442,0.06320988823214217,-0.16026131642807628,0.001,0.5
2010-12,0.04259008214417614,0.6620206513099717,0.0964587290253667,-0.015733903555880252,-0.10528593706063276,-0.08054836938307817,0.04551460156504338,0.4045989077953625,0.060344926119419676,0.044946657392091194,-0.15490634535184,0.001,0.5
