,HSCIIT,HSCIH,HSCIEN,HSCICD,HSCIPC,HSCIFN,HSCIMT,HSCICS,HSCIUT,HSCITC,HSCIIN,gamma_reg,b_weight
2010-01,0.08132787618098758,0.4202924400139101,0.1658275794304474,0.0006643225022039748,-0.20847389419586237,0.01016015510033745,0.09974620599183259,0.4903394458070388,0.14928908205205138,0.06114711881632863,-0.2703203316992755,0.001,0.5
2010-02,0.09310931259200785,0.4485625340735191,0.14710734605236836,0.057592588554411975,-0.23890534668084523,-0.007993869467088313,0.11339236662994835,0.4463075240546013,0.1525231773317378,0.10440692623708675,-0.3161025593777478,0.001,0.5
2010-03,0.08165342566748393,0.4395432578719959,0.13345534181610388,0.034178616921564486,-0.17953494002687154,0.0011668801782646829,0.06623316490042386,0.4395727806379625,0.1534098116446566,0.11676067247716838,-0.28643901208875255,0.001,0.5
2010-04,0.045150998214364885,0.41353504364537436,0.11718887523757013,0.04457874629067008,-0.14081825295137573,0.020194503270788082,0.05654103959903031,0.43643360463045483,0.16341111568512262,0.08615246413924577,-0.24236813776124538,0.001,0.5
2010-05,0.0485017929453736,0.4439629201323968,0.1443759695845035,0.030187436546788553,-0.226407810954449,0.021027752683778437,0.08055877558359403,0.47402791248467846,0.14329019052166064,0.07184776229496512,-0.23137270182328995,0.001,0.5
2010-06,0.031190752267306013,0.47397911600248577,0.15768434118073651,0.009790471996520764,-0.23035651153362363,0.020847412262846664,0.08747834039169823,0.4627284700319877,0.15571879542680153,0.06801408401489628,-0.23707527204165596,0.001,0.5
2010-07,-0.022954803962619785,0.4456682357710932,0.14432183483382133,0.028653136072225638,-0.17254986877697187,0.028398856817952386,0.03176664448029702,0.47011376355225176,0.16028901039637194,0.07457780043390012,-0.18828460961832183,0.001,0.5
2010-08,0.013751848736611977,0.4489807069706149,0.05117322686645855,0.019138148641125917,-0.22439569580905683,0.08045860938441704,0.07590878283107469,0.4783876963202198,0.15092185373577477,0.04121586874248091,-0.13554104641972176,0.001,0.5
2010-09,-0.019299310213713075,0.4601310991299746,0.05692042696653726,0.018921996377983186,-0.22191649131658792,0.06272227302183725,0.09437628370916942,0.4893685136876385,0.15290627805136764,0.02909912503375029,-0.12323019444795709,0.001,0.5
2010-10,-0.02265794538535544,0.4588822652766449,0.05730510670635456,0.01926165946992479,-0.22343957940515125,0.05824306178871353,0.09278631100069834,0.518192258736609,0.14467783348189775,-0.00014130841497555363,-0.10310966325536063,0.001,0.5
