,.HSCICD,.HSCICS,.HSCIE,.HSCIF,.HSCIH,.HSCIIG,.HSCIIT,.HSCIM,.HSCIPC,.HSCIT,.HSCIU,gamma_op
2010-01-01,0.12541357802219638,0.12048440823518934,0.0503191387389004,0.1368823073451066,0.08854003515011662,0.08832834240954336,0.0638219851967258,0.08191277455099356,0.0661470514535505,0.0624822433526731,0.11566813554500445,2
2010-01-08,0.12458497990268307,0.12099631020893202,0.049912802885211,0.13556486451475178,0.0876506062603754,0.08849188169177895,0.0653091654473464,0.08138061648576299,0.06632698250546623,0.06425053089466347,0.11553125920302865,2
2010-01-15,0.12602992615668968,0.11824384484224254,0.051776412202786566,0.13308453528246889,0.08021686350356821,0.09238103452445062,0.06570842470186555,0.08767319376833373,0.06564675324503536,0.06394399333417057,0.11529501843838842,2
2010-01-22,0.12809842334810215,0.12072843002984662,0.04945483528325133,0.1276072542149099,0.08066512795192522,0.09588141542425892,0.0687684613225371,0.0877213453196669,0.062215167455203974,0.06689498120501242,0.11196455844528555,2
2010-01-29,0.1301780814440897,0.1225970426018275,0.05075983575652426,0.13624188425972936,0.08815167572582058,0.09310000253366855,0.0660720700089757,0.08721144817766147,0.06442729616779733,0.06413121928279361,0.09712944404111197,2
2010-02-05,0.13322729571997466,0.11737208566589424,0.05014562296123227,0.13742114957341894,0.09222610202595047,0.09071431108769298,0.06535817187213681,0.08412703390143597,0.06314496691084681,0.06566722073912819,0.10059603954228861,2
2010-02-12,0.1327598854569849,0.11951393887912086,0.05076857470263012,0.13590977751018068,0.09077784108791609,0.0907465594493552,0.06432458156211401,0.08398483539627843,0.06367425981258115,0.06641601837052706,0.10112372777231149,2
2010-02-19,0.13482655940688526,0.1174515799572679,0.05148252787092875,0.1351089092778168,0.08981105560198172,0.09017957969994346,0.06573152304996188,0.08222432659639907,0.0653816805498938,0.06675226798161499,0.10104999000730647,2
2010-02-26,0.1251381726729329,0.12178902251804863,0.04996942197644688,0.13206328478897422,0.08695123308788813,0.0888922906215257,0.06506252555333449,0.08001267391737443,0.0646788108622294,0.06514946270833401,0.12029310129291129,2
2010-03-05,0.12404333907554552,0.12095684739745487,0.05068600584136353,0.1325139023967359,0.0873697663774465,0.08564445770101235,0.06525212556325774,0.083249426175741,0.06639471289560506,0.06563368460579917,0.11825573197003839,2
2010-03-12,0.12570976544357196,0.12285686981223598,0.05000223336940196,0.12975060685016693,0.08752441227937957,0.08926811565043528,0.0651586037687957,0.08315847334502326,0.06648781172325198,0.06174327278415637,0.11833983497358092,2
2010-03-19,0.12582125525814625,0.12514881207321363,0.050201145325127434,0.1287157562051256,0.08887593128621028,0.08799766053876,0.06552131397405993,0.08283317395759016,0.06668623243092037,0.061956434439047005,0.1162422845117993,2
2010-03-26,0.12903815150432277,0.12512343666610415,0.05081279803178731,0.13492328223563846,0.08874412550072255,0.09311573748600768,0.06620207845459052,0.08575413268733824,0.0642810812089583,0.06221299458462148,0.09979218163990856,2
2010-04-02,0.12800113732473242,0.12445828042982159,0.050408263886610745,0.1339684110396505,0.09163785725427227,0.09427794056480579,0.06665831509009429,0.08445492770369789,0.06421488763225712,0.06172871067584949,0.10019126839820786,2
2010-04-09,0.12753324381358408,0.1214569304564703,0.05159381288593476,0.13551320962981786,0.09201047714924572,0.09509720512165783,0.0658181676150374,0.08499593540171987,0.06475691339420356,0.061145822929907445,0.10007828160242113,2
2010-04-16,0.12669377909161117,0.12315819269898991,0.05236152010221168,0.1362813231058875,0.09067878384347862,0.09420634292170268,0.06543090683264424,0.08656173905704895,0.06348084040262433,0.06228980317912313,0.09885676876467782,2
2010-04-23,0.1307798163924623,0.12656342789709302,0.051882087081780486,0.13706340357648372,0.08935501995862577,0.09539723147759624,0.06596191681539826,0.08895163845448956,0.06301071281729513,0.06127029902442181,0.08976444650435365,2
2010-04-30,0.131329740498761,0.1276376828190803,0.050623520351804285,0.13427161684387467,0.09104368076268744,0.09721915097996629,0.0671153462145123,0.08793961032826628,0.06001449991763196,0.061612052733291865,0.09119309855012356,2
2010-05-07,0.13162773913688477,0.1257713682797833,0.051712201707708905,0.1349491770283441,0.09361072283842746,0.09809222244537262,0.06645552717933147,0.08736748158443182,0.06035471195261315,0.061342214599223205,0.08871663324787914,2
2010-05-14,0.1291900784029837,0.12564189057771843,0.05123870579199148,0.13647922760697984,0.09342564287986853,0.09633631312098626,0.06581566871801386,0.08555988478638812,0.06038322375975924,0.06323440128233176,0.09269496307297886,2
2010-05-21,0.12681168000988183,0.12311290255398295,0.05264143701032522,0.1339443065961026,0.08733312029138093,0.09033274465015365,0.06561072293240817,0.08368210622579315,0.06552120899966751,0.06337042186579087,0.10763934886451311,2
2010-05-28,0.12462673863366827,0.12068221608566831,0.052751334603390695,0.13830497149485405,0.08611691097194642,0.08699946632780481,0.06251219931270194,0.08012727183198312,0.06719894643727704,0.06695514099131142,0.11372480330939395,2
2010-06-04,0.12715867626589183,0.12299661335420853,0.05306074015937389,0.13597804678938083,0.08594483872229058,0.0889424943093619,0.06246795557785185,0.08226349274510779,0.06752083028487665,0.064490113108079,0.10917619868357717,2
2010-06-11,0.12766822084034732,0.12482406934677026,0.05231066165016988,0.136540899239085,0.08611259600908765,0.08935596895607383,0.06316703052561641,0.07978624305596974,0.06739489076062499,0.06485224999507255,0.10798716962118236,2
2010-06-18,0.12316832429826559,0.12024219461758309,0.05189447529769259,0.13062254259562017,0.0864559554774606,0.087129607009084,0.06640189613231275,0.07823360635080634,0.06614437933462917,0.06414488467602929,0.12556213421051649,2
