,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTA1,.TRXFLDHDTE2,.TRXFLDHDTH1,.TRXFLDHDTM1,.TRXFLDHDTN2,.TRXFLDHDTT2,.TRXFLDHDTY1,gamma_op
2016-04-08,0.09909547792010989,0.020600685682460367,0.02296376576866068,0.52731461375997,0.020965215299789786,0.019742006126978934,0.015978702110753744,0.008272469210991694,0.07732128709838007,0.01712575206459996,0.016936029550642537,0.017238260289670022,0.049179092409789765,0.03225814304276276,0.05500849966443987,,,,,,,,2
2016-04-15,0.09756406419420843,0.019852435593147345,0.022900193094916105,0.5339370662675307,0.021155987534253056,0.0195076292394901,0.015979875735711177,0.008149053703942047,0.07535077221722809,0.01763344036724893,0.015367652484756716,0.017202599738811396,0.04929336282506187,0.03199073942450662,0.05411512757918741,,,,,,,,2
2016-04-22,0.09871056318287945,0.020559256254539783,0.023237343631505637,0.5279679753680956,0.021258902257960153,0.019777817084021695,0.015947024492692398,0.008263252936315246,0.07707956388985034,0.01777775157329908,0.015529615042564091,0.01726575527070615,0.048787510344798675,0.03221680223583075,0.05562086643494093,,,,,,,,2
2016-04-29,0.09925655243290063,0.021701716155223098,0.02366527304014203,0.5238928560964783,0.021059811104796523,0.020174115124255557,0.016040182819726273,0.008406591872880505,0.07588097537626154,0.018048097956948547,0.015276671539773036,0.017209969388423924,0.04995213918900629,0.03167497970433559,0.05776006819884833,,,,,,,,2
2016-05-06,0.1873613952849421,0.017394982002396274,0.020843578908136172,0.32256519995787686,0.018205634862946442,0.019560070420635935,0.012987137154456888,0.0052958985884455495,0.06995780214632215,0.012548020934192342,0.009183285218903943,0.012095774720063651,0.08606455834675722,0.0699222554845639,0.13601440596936065,,,,,,,,2
2016-05-13,0.18771428716663913,0.016985037906893544,0.020603309528117966,0.3256483257522957,0.018308982592506223,0.019659911659545594,0.013233490387929666,0.005247403278431212,0.06889944251968068,0.012518845459149263,0.008994303226835285,0.012504417380049532,0.0867028208410077,0.06957750083997202,0.13340192146094657,,,,,,,,2
2016-05-20,0.19089733516341967,0.016833850659223812,0.02034096315436259,0.3220168393401258,0.01865140703133157,0.01953479445268595,0.013233359475579924,0.005152403215296587,0.06868837851344424,0.012715195413790731,0.009155137479398636,0.012506701375034773,0.08526104682642514,0.07038102722535171,0.13463156067452878,,,,,,,,2
2016-05-27,0.1929083932317136,0.01729117087009312,0.02058068465182763,0.31413958862499286,0.018515822569598606,0.020042031071998048,0.013470810724360037,0.005301423326788168,0.06978401595364306,0.012654578642288018,0.00930958226180969,0.012687661941660088,0.08490044893806928,0.07035133423877613,0.13806245295238187,,,,,,,,2
2016-06-03,0.09278537222519526,0.018734762023959184,0.03339644109860027,0.27691690702794186,0.021983207825055764,0.029455630209812254,0.017289696788443887,0.004446655618060853,0.13043756811190427,0.013596650768850138,0.010662134695604723,0.015760449198239684,0.17318713452255208,0.040988161645835394,0.1203592282399445,,,,,,,,2
2016-06-10,0.09389288757996377,0.018697311099202724,0.03371534268654495,0.27468005914777144,0.02235127595936612,0.029703973218071857,0.017317498887973314,0.004466090837206148,0.1290437174441799,0.013614393980271599,0.010915928208918868,0.015789482444556302,0.17267999609041954,0.04086847266289953,0.12226356975265397,,,,,,,,2
2016-06-17,0.09496652856664264,0.018144558979815276,0.03386432721030951,0.274845042099543,0.021833896282722566,0.029159419174031278,0.017151023849813898,0.004337648243727204,0.13394153152117955,0.013473866873465554,0.010753449307793707,0.016010199602786775,0.17173295889208776,0.039531080162856544,0.12025446923322464,,,,,,,,2
2016-06-24,0.09588307934513336,0.01808764754432652,0.033890324544432165,0.2724806515121308,0.022280354806491924,0.02895084136122662,0.01717913435888021,0.004276225979489984,0.1370789333357564,0.013544756469868696,0.010977770012069376,0.01580690797139285,0.1699660173151361,0.03914889311837476,0.12044846232529023,,,,,,,,2
2016-07-01,0.04290851650180916,0.016147011328599276,0.0276429006095893,0.16367507470316262,0.015565884944425505,0.042070813649943466,0.01583715999069097,0.004136765905995959,0.2200471167494532,0.01267956086917172,0.010181430231569248,0.014255850204240514,0.18952056355594243,0.03589190610587876,0.18943944464952767,,,,,,,,2
2016-07-08,0.042666793309324,0.015750665809819712,0.027791970317549878,0.16384541252894502,0.015579544598046186,0.0421080302918891,0.015662171846706593,0.004024595251020709,0.22210885539298236,0.012729886527752992,0.010083675372193516,0.014271249998455363,0.18724985315279993,0.035077452104995584,0.1910498434975192,,,,,,,,2
2016-07-15,0.044065323226093904,0.015662712449539814,0.02829406118371593,0.16503320606867852,0.015441048328832214,0.04238026834918763,0.01590536399857652,0.004000540586533369,0.22338102137239754,0.0125994224761119,0.01007200321175667,0.014208676976815939,0.18467929132019908,0.03481633043156151,0.18946073001999944,,,,,,,,2
2016-07-22,0.041388291616169616,0.015809151826362094,0.028526553875608686,0.16753172707577882,0.015446166740399652,0.041364203842246615,0.016223006038087996,0.00398077924028074,0.21983565212442038,0.012312715166437345,0.009810830904415842,0.014028115544221087,0.18790818218617064,0.03516390696149102,0.19067071685790957,,,,,,,,2
2016-07-29,0.08259591282855168,0.01290328893463974,0.03275049931850927,0.11282912085728604,0.03180805528693509,0.035591934050376216,0.014358263403572519,0.004729499685206633,0.2584461280182541,0.014943035117005003,0.01696350703216569,0.016061929660946425,0.10940050505079893,0.036810364707889245,0.21980795604786357,,,,,,,,2
2016-08-05,0.08341274005579252,0.013030697707883124,0.03312366356072503,0.11166873789408079,0.029357141437856032,0.03474244575081832,0.014746115444882215,0.004679066703646616,0.25226086825687655,0.01488843510495529,0.01684204463400762,0.016087192106071634,0.10857180770876157,0.03778497041520487,0.22880407321843793,,,,,,,,2
2016-08-12,0.07968300633503549,0.013364616543062998,0.03286097844833309,0.1124640070194777,0.029983198751331083,0.03419289809763697,0.014571497767162062,0.004679463689203181,0.256855038912723,0.01469469274300744,0.017159121588129527,0.015916237779166884,0.10934404050367971,0.03747649650679814,0.22675470531525282,,,,,,,,2
2016-08-19,0.07789047341807769,0.013564077246259146,0.032693031509082246,0.11130883391374521,0.029796600449765873,0.03409936299696611,0.014179771761432666,0.004815968634757178,0.25551898505244297,0.014816042177404818,0.016896873408888246,0.015906118884395568,0.11094270568575705,0.03871764266972106,0.2288535121913041,,,,,,,,2
2016-08-26,0.10774688377023858,0.013925104024806977,0.030712129977255212,0.23394165611130385,0.0422196038708797,0.028268540798618617,0.011162013791624834,0.0038100584589223496,0.17686993089414554,0.008932421416957478,0.018228030380158473,0.007077694356739848,0.16730859625076555,0.028458800028073862,0.12133853586950931,,,,,,,,2
2016-09-02,0.10613769796002676,0.014127420016920765,0.030901933384214562,0.23341230187867046,0.04333385351326587,0.02828258864367546,0.011191018072821437,0.003789577804457154,0.17525356844424989,0.009221061406860218,0.018336672329287453,0.007127214679360331,0.1714362515463111,0.028343105296442656,0.11910573502343585,,,,,,,,2
2016-09-09,0.10318195176800149,0.014520024844765786,0.030565573946457272,0.23271418351243822,0.04300235939049552,0.028785283660010146,0.011151287766481048,0.003765714637903342,0.17723683259930806,0.009059632606405072,0.01846575194417334,0.0069812555762849525,0.17219004972932894,0.02883550228837214,0.11954459572957475,,,,,,,,2
2016-09-16,0.10529640650711586,0.014457315938576314,0.03112826516695268,0.2292456194447145,0.04140433121097388,0.028636837297342507,0.011272020749165425,0.003932387744932031,0.1792462525014366,0.008941503684311358,0.018710517012156213,0.006881258934419085,0.17210098098782906,0.02956373037044258,0.11918257244963179,,,,,,,,2
2016-09-23,0.06082504820673663,0.025885798439724723,0.04622798101475757,0.09997906398275413,0.09996952735541109,0.04449558640255599,0.018296884174562766,0.007640559561778851,0.35677591104970896,0.012675999955163254,0.027324802829488556,0.01870849434475138,0.10089415713096192,0.02178767886736302,0.05851250668428116,,,,,,,,2
2016-09-30,0.060030708513660026,0.02529787234646449,0.04644578207546933,0.09942471997053412,0.0970313383080566,0.04301148722936369,0.01799032600810741,0.007596688172701763,0.3690703823971958,0.012447456036229475,0.026661640494393964,0.018647547196824713,0.0989101869307566,0.020757369517656225,0.056676494802585825,,,,,,,,2
2016-10-07,0.060535155620850156,0.025245922556333907,0.04610744727412527,0.10004324696969968,0.09844419944942628,0.04257869755532593,0.018185043333514304,0.007395955225308111,0.367970393983939,0.012489208788141313,0.026496132902538567,0.018604179182295733,0.09878246808660797,0.021109483640284737,0.05601246543160883,,,,,,,,2
2016-10-14,0.06324704937638383,0.02565614065364554,0.045730037911835233,0.10294005127902042,0.09846010660770986,0.042454431375319984,0.018109002878482685,0.007421835966695806,0.36119184263736953,0.01282276306062589,0.026859508035529566,0.01823798105884981,0.09862746584162739,0.021371020775645122,0.056870762541259307,,,,,,,,2
2016-10-21,0.1470823273308715,0.004704600957000635,0.0100030296839188,0.19728152664018367,0.18345412703028072,0.010588905166742865,0.003832758749643228,0.001014857975864654,0.09719306632458527,0.0032971055502497987,0.026834069913113143,0.004596495411799177,0.2664382224140558,0.007559284217852194,0.03611962263383876,,,,,,,,2
2016-10-28,0.14971115810724522,0.004693295460621824,0.009831610141866145,0.1976815320309697,0.18549530363247638,0.010716470468928138,0.003807188110826171,0.0009966118687579158,0.0939283891818783,0.003274749156544369,0.027053345814251586,0.004567540154203224,0.26533052980511646,0.007387026872109935,0.0355252491942045,,,,,,,,2
2016-11-04,0.1506062907380663,0.004679030911484125,0.00995711031976722,0.19886348260879413,0.18660439196794,0.010671747866343942,0.0037672718494957146,0.0010025706751372622,0.09109391283137122,0.0032943290921005207,0.027215099506610815,0.004576702472706169,0.26449920783885444,0.007431194380274163,0.03573765694105396,,,,,,,,2
