,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU,gamma_op
2009-04-03,2.3339855995858785e-07,1.6157703552302025e-07,3.2020029386505275e-07,2.2019640186164053e-07,4.8296499398688156e-06,0.9999814711203773,1.8409244108435161e-06,3.3670419544966725e-07,4.2387033087079574e-07,1.1886052485175082e-06,3.4287954527996774e-07,1.5157230727152497e-07,5.988815330944094e-07,2.479125840692508e-07,9.73931475968521e-07,2.978366607767434e-07,6.191536790291398e-07,6.791714373309364e-07,2.2284962121272143e-07,5.23624312095722e-07,8.881456670002268e-07,5.978424863858453e-07,1.8343740900561155e-06,9.955778064835944e-07,2
2009-04-10,2.608438381363315e-07,1.7023090646271037e-07,3.3626062655121364e-07,2.3388387615038078e-07,4.9744474324091655e-06,0.9999807749265825,1.8677098313273244e-06,3.3656117028479085e-07,4.333059314170012e-07,1.2393861907856773e-06,3.525913930817831e-07,1.5756218910222924e-07,6.307758652185358e-07,2.6469235991464286e-07,1.0173797668438528e-06,3.1892150778898203e-07,6.526291591380727e-07,6.615336504240353e-07,2.6137643542528705e-07,5.432873471985643e-07,9.476566058498923e-07,6.373731107943e-07,1.9165395312915324e-06,1.0101246918864369e-06,2
2009-04-17,2.9394652436635525e-07,1.883011444492117e-07,3.4341593637955013e-07,2.557135753417501e-07,4.9210164179081715e-06,0.9999807140502718,1.8285779545276217e-06,3.4942058328303395e-07,4.3013318632616387e-07,1.2273006256728395e-06,3.648510365336853e-07,1.6675265534895225e-07,6.419784189619902e-07,2.7024518198289107e-07,1.025159824494049e-06,3.2073861684134767e-07,6.817891912812637e-07,6.602269009165078e-07,2.7394843309672414e-07,5.471633795105173e-07,9.540106162081514e-07,6.431402018365826e-07,1.89281302337105e-06,1.0053062993473166e-06,2
2009-04-24,2.94777633128437e-07,1.9871430101392532e-07,3.5301927068292483e-07,2.612543081997637e-07,4.867324890336957e-06,0.9999806493638987,1.8180484168773212e-06,3.6138298963297667e-07,4.4514596946312837e-07,1.257960061744549e-06,3.7422348628061457e-07,1.6933964091066865e-07,6.38814071938519e-07,2.8232369800532654e-07,1.0385260776338372e-06,3.317499141223688e-07,6.881692233334984e-07,6.620668685457129e-07,2.877297464238494e-07,5.444172168072348e-07,9.65686690782685e-07,6.580259996492008e-07,1.8607948700647352e-06,9.911407557588588e-07,2
2009-05-01,9.630994965252777e-05,2.1100889391813477e-05,4.584202442280789e-05,2.9524381162927566e-05,0.0006958105408810342,0.9945509105945237,0.0015629649233145863,4.497281279046243e-05,0.00016742910700564455,0.00048029719390479605,5.319588174452876e-05,1.6881127076693193e-05,0.00021214235333172696,5.15746806271011e-05,0.0002352889297335594,3.699373328549171e-05,0.0001871476112009626,7.452820380370127e-05,7.44787579173168e-05,6.399662602248665e-05,0.0004022123643319265,0.00014180878496189084,0.0005789041005683296,0.00017568442834402578,2
2009-05-08,9.966961968591698e-05,1.933655515064017e-05,4.621181299232936e-05,2.8758496688050316e-05,0.0007018776740928285,0.9945127889865861,0.0016111459424342155,4.542208574514222e-05,0.0001663954967626339,0.00046028039056302173,5.379206093337951e-05,1.660337756049892e-05,0.00020772658820576462,5.0973520842198934e-05,0.00023789980168668643,3.953664234040007e-05,0.0001817617337393229,7.438780605120882e-05,6.947414089834974e-05,6.400836807249772e-05,0.0004110399760481428,0.0001378078595272952,0.0005820637237726398,0.00018103733962053837,2
2009-05-15,0.00010178849914665918,2.4043489473545578e-05,4.4821349324117934e-05,3.3525120742593626e-05,0.0007329460419796464,0.9946097168437137,0.001541146338080065,4.7135242989098564e-05,0.00016443203726628,0.0004570340731280751,5.5498622457629456e-05,1.8587377092185928e-05,0.0001979343899241406,4.963180562071497e-05,0.00023913699028579977,4.079142312943709e-05,0.00017470743686739436,7.437882934986341e-05,7.305421265404244e-05,5.937657321372577e-05,0.0003881669745575165,0.00014096914705203178,0.0005525175723331304,0.00017865960961846043,2
2009-05-22,8.819770921572182e-05,2.0488812757643994e-05,4.232298175822851e-05,2.9199991802970768e-05,0.0006737537490781693,0.9949199312467084,0.0014661015859886606,4.4950106109215864e-05,0.00015983397370636067,0.0004319612812247261,5.0631201362213243e-05,1.6554786640200574e-05,0.00019412506107963654,4.3982836009122884e-05,0.00022378291508149542,3.683860053343352e-05,0.0001624013619674326,7.333150802130172e-05,6.321479741194669e-05,5.706765921405941e-05,0.00037213151875125234,0.0001271315650268684,0.0005347410229414157,0.00016732372760957725,2
2009-05-29,5.542889095610996e-07,2.0226423103326506e-07,4.048908819188143e-07,3.2309231059731014e-07,1.752558521133334e-05,0.9999549308643391,2.479093645316668e-06,5.145435108687754e-07,2.9227252479391048e-06,3.167726362590822e-06,4.800294166822671e-07,1.747362365556936e-07,1.595806101155136e-06,3.8440599138285635e-07,3.1584427544382417e-06,3.497986815378277e-07,1.005390522529985e-06,7.862556590284008e-07,4.838268104120349e-07,6.633825707946681e-07,3.7211104341181088e-06,7.060174657558141e-07,2.0026815745494836e-06,1.4630411308798124e-06,2
2009-06-05,5.796343937689207e-07,2.1031943682479162e-07,4.029412667930793e-07,3.3776960543936677e-07,1.8192758010261968e-05,0.9999537541615926,2.471299582594758e-06,5.252137948834154e-07,2.867242949627726e-06,3.2477280139308834e-06,4.883770532815259e-07,1.7645505466553556e-07,1.6495964174118739e-06,4.012381552407176e-07,3.210457652271273e-06,3.489159155960413e-07,1.016201091152871e-06,7.914441248126996e-07,5.125304228878937e-07,6.951234939938469e-07,3.84436862778689e-06,7.351935745047562e-07,2.0474613486648026e-06,1.4935684211170804e-06,2
