,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU,gamma_op
2016-08-12,0.5102463249821019,0.0031094237742271694,0.001042820992965965,0.44679050347120886,0.0073250657666903175,0.0004868661557495132,0.0004998725224232515,0.0007405411386048716,0.00045171822026203207,0.0007036926804098816,0.0020671847006018557,0.0012280126568907212,0.0013776014389805262,0.0019292649446812317,0.002450959700335085,0.001102999592218193,0.001135268072576622,0.0006408567193559598,0.0006653557551814076,0.011643529247649437,0.002112940137884108,0.0013667649567039135,0.0004966104557848401,0.00038582191651243995,2
2016-08-19,0.5115556335239962,0.0030622802462844066,0.0010353856219293327,0.4454789425982761,0.007419808150447538,0.0004881119715359388,0.000504384752351558,0.000738487426218227,0.00045484714238992773,0.0007026708697449735,0.002073932795443453,0.0012188235124298374,0.0013753179266808952,0.0019391016891761748,0.002424280988444935,0.0011083884460621014,0.0011407921583947715,0.0006329756340268127,0.000662039949616268,0.011629075845208935,0.002119764899507421,0.0013532525321382522,0.0004961177198926985,0.0003855835998032998,2
2016-08-26,0.5110183224104474,0.0030782398946261453,0.0010315066235347247,0.4459676648233051,0.007509214452466781,0.00048213593400033467,0.0004958511409332195,0.0007251583671199846,0.0004486058360678028,0.0006877172346906466,0.0020649643681670818,0.001209129552914168,0.001354427026665897,0.0019388986166460618,0.002428129889454561,0.0010892360259636606,0.001117365560349986,0.0006235436018150626,0.0006417032410261101,0.011755992010366714,0.0021185710799169906,0.0013647637888635007,0.0004720480607498011,0.0003768104599081242,2
2016-09-02,0.5104038878466911,0.003113366626419563,0.0010302564802575705,0.44672115157262987,0.0074088929761262825,0.0004772297814222089,0.0004836547961673064,0.0007124933328230574,0.00044988438131430907,0.0006930389818795851,0.0020567690164346604,0.0012168051379464347,0.0013610542332785718,0.0019273297934731582,0.0024173526942837943,0.0010734645520944937,0.0011072169592054155,0.0006132170583481318,0.0006395315910804853,0.011801297218755766,0.002103110953171174,0.0013509428726552392,0.0004689847395851994,0.0003690664039566069,2
2016-09-09,0.45682163091911426,0.002438275111152157,0.000433621549948297,0.4910233556099797,0.01815440719677028,0.0002065929997395569,0.00021552518572163262,0.0003052650252474621,0.00018728964155185967,0.00028782839734420334,0.0009999351012886359,0.0005953671727755809,0.0005638403172451702,0.000729387960175796,0.0014839332872020501,0.00047264205602296194,0.00048016852577568823,0.00027691085047430866,0.00028125452944372724,0.021988252166179743,0.0010878478972887974,0.0005954669255048171,0.0002091711447897355,0.0001620304292635802,2
2016-09-16,0.45393570432305763,0.0024565213489186376,0.00043212134127072847,0.4937341812247865,0.018723398337049727,0.00020253680393748168,0.00021410871184731985,0.00030584200297344806,0.00018563491756877357,0.0002875743848989914,0.0009877632352660764,0.0005989069422030752,0.0005675365878931082,0.0007187129568355444,0.0014663776384295152,0.0004719168379169508,0.00047696688487774096,0.00028052794615940796,0.00027704158809794985,0.021625432847570215,0.001076439492248606,0.00060338352340727,0.00020907351366992078,0.00016229660911540767,2
2016-09-23,0.4554293357271761,0.0024016661001901793,0.00043183328146443315,0.4916500299513323,0.01819164425557513,0.00020437126604654955,0.00021495061765811651,0.00030939058704222846,0.00018826766276088978,0.0002899304947386939,0.0009854208090952635,0.0005975735476863787,0.0005724666337340405,0.0007134338558773616,0.0014574644344576798,0.0004738906970954194,0.0004822360139827573,0.0002851462886201137,0.00027557740434191406,0.02271956591579955,0.0011498525517555417,0.0005990735583923473,0.0002105623296427699,0.0001663160155343246,2
2016-09-30,0.45784717392960284,0.0024146705820625417,0.0004329195083973041,0.48950349277963046,0.018098913155680366,0.00020600383085806333,0.00021343960986260549,0.00031099232360144025,0.00018870255844324738,0.0002928426561101616,0.0009958810079303832,0.0006023566760188982,0.0005749650454403553,0.0007174261797011602,0.0014710151117466885,0.0004779306278863821,0.0004863442617818114,0.00028726314102057597,0.00027374947902342455,0.02246715065543134,0.0011432500228704468,0.0006094230133364141,0.0002131750368165897,0.00017091880674648393,2
2016-10-07,0.47640162163403854,0.002956879071500315,0.0006173473400789188,0.4617466678370561,0.0072836802771816325,0.0002922521737794136,0.00030523316525867564,0.00042847100935032773,0.0002593690971666077,0.00040643388281724345,0.0011848506779519492,0.0007796971636565071,0.0007842942377398716,0.0010087825993540923,0.001323871821805584,0.0006123930050217652,0.0006569941802249802,0.00040392195314099496,0.00037936641626408886,0.0389813731284384,0.0019520861034251795,0.0007114552020471201,0.0002952101786683238,0.00022774784403325996,2
2016-10-14,0.47556011961878536,0.003030324818420052,0.0006017114285558452,0.4626260101521587,0.007267881140210432,0.00028651352365300275,0.0002968239319070206,0.00042422946324249827,0.0002576016639276976,0.00039984196444818593,0.001162984862526608,0.0007874047268268958,0.0007789599580905121,0.0009958568225278742,0.001294870517189786,0.0006063459545623263,0.0006576371765717284,0.0004034015154071633,0.000358626312670299,0.03903135720930036,0.001955933652621646,0.0007107173908148718,0.00028646028133951233,0.00021838591424161175,2
