,.HSCICD,.HSCICS,.HSCIE,.HSCIF,.HSCIH,.HSCIIG,.HSCIIT,.HSCIM,.HSCIPC,.HSCIT,.HSCIU,gamma_op
2008-01-04,0.029643263107699817,0.015590201987464983,0.5176600874820517,0.06714170051963406,0.014310911540709119,0.05811810468766175,0.02332726129900107,0.14531472411383556,0.03771357107017744,0.07697536008724049,0.014204814104524253,2
2008-01-11,0.02929130980195975,0.01631221718635198,0.5253053864078782,0.06385896017895497,0.013911271704049627,0.05735145467817475,0.023080092515093416,0.14437535206850724,0.03739504823354964,0.07503610390373601,0.014082803321744454,2
2008-01-18,0.028537022941519375,0.01599857850944837,0.5319291978851044,0.06448947042176068,0.013920730986446061,0.0577956371539741,0.021118732237792617,0.1384078077640706,0.037527150149219056,0.07636430167092537,0.01391137027973927,2
2008-01-25,0.029698864735191836,0.01611515902471584,0.521234038967392,0.06944083489015683,0.01467172911773067,0.05601952560082432,0.020878189405935752,0.1369384187786346,0.03901944216595937,0.08038042791626121,0.01560336939719756,2
2008-02-01,0.0308214799688167,0.0157816784553597,0.6356851565480395,0.043567754125360555,0.026021448232620564,0.04141792448738397,0.040208138783660544,0.0641947928252495,0.04103758284372914,0.03785696627500628,0.023407077454773294,2
2008-02-08,0.03141561215920204,0.015664203719268875,0.6390224111551107,0.04249864679816005,0.025651577750122292,0.04070891985083391,0.04069351954345806,0.06357749726748396,0.038999131608399566,0.03777484447333944,0.023993635674621067,2
2008-02-15,0.030880616645128176,0.016022558934888798,0.6363917003388895,0.04147042137109,0.027109380527701794,0.04380184368288863,0.03993414062373503,0.0641357180289432,0.03871136950394635,0.03738838941612484,0.024153860926663797,2
2008-02-22,0.030564634739178892,0.015563232957711032,0.6387573064911076,0.040485233958435805,0.02825262128091633,0.042786113523908285,0.038319893321712394,0.06606651203855037,0.03886205504127698,0.037166170409498545,0.023176226237703677,2
2008-02-29,0.03159361521158069,0.014875895182630307,0.6383164571429983,0.034136899446100454,0.01879179736212413,0.04437762671395541,0.031657890194708146,0.09731429817632221,0.02850466266394116,0.039500785425524126,0.02093007248011524,2
2008-03-07,0.031699695497061586,0.013992172478111468,0.6407194574675567,0.03491982350425022,0.018974631912827482,0.042826928008363435,0.03212689088515757,0.09689909509849616,0.028322148451961487,0.03886463279166678,0.020654523904547088,2
2008-03-14,0.03282797975945753,0.014617262177231216,0.6331999412431973,0.036150949779767724,0.019647250684411404,0.04404127999932243,0.03244295050747399,0.09724734637755132,0.028560677467952503,0.04004731233952565,0.021217049664108856,2
2008-03-21,0.03161874212750143,0.01456530839800555,0.6411392605618167,0.03720923951505347,0.01790916657326024,0.04242033267032549,0.03291456629467908,0.09164057416170335,0.027511883042710013,0.04044161477441201,0.022629311880532743,2
2008-03-28,0.045161058870535814,0.013832029575209376,0.5599725973359788,0.05805171877998934,0.05918055229323248,0.039937406678268866,0.04061369451722261,0.07115747294943438,0.06102294717639724,0.03259765986996628,0.018472861953764762,2
2008-04-04,0.044050259125290654,0.014380815066886658,0.5607043487587665,0.05719097557408713,0.0634231980827025,0.03690285804070807,0.040283367277539874,0.07141855512269886,0.0622625618146248,0.03244043405476483,0.016942627081930242,2
2008-04-11,0.04400713134834617,0.014144157080905145,0.5644906159533696,0.05860049983485623,0.055038380264455934,0.03773420663519041,0.04098162426626979,0.07181558330389365,0.06392913995330142,0.03262482001974338,0.01663384133966804,2
2008-04-18,0.04241889242840122,0.014039348983896378,0.5727552695696811,0.05896204601697924,0.053661529845895936,0.03665376133728689,0.038539189443231314,0.0716691146345232,0.061538159049792485,0.0334860639351276,0.01627662475518458,2
2008-04-25,0.08062482640274585,0.009463823948056858,0.44420961110082513,0.05114107489271288,0.03046165391601091,0.09098845073169774,0.07250190726892597,0.06493040825696546,0.08388555329901816,0.0445940547390486,0.027198635443992772,2
2008-05-02,0.07952427570200526,0.009317018000351266,0.4365722019651949,0.05064785180614757,0.031291837995193056,0.10434698996830387,0.06897593954059718,0.06602217652578242,0.08501240914805484,0.04246073452228673,0.025828564826082784,2
2008-05-09,0.0797735433155273,0.009537420645510167,0.43186476246330446,0.051711237166020434,0.031562355812333104,0.10400077281811383,0.07345340793831921,0.0639459755101407,0.08567983031859308,0.04217555677127127,0.026295137240866465,2
2008-05-16,0.07998158303165086,0.009582668304114967,0.4388830868205083,0.05043828867817797,0.03098253827884576,0.1009301868114665,0.07362966129379035,0.06527999654416998,0.08320082303565016,0.04143467372079679,0.025656493480828393,2
2008-05-23,0.06480919129639003,0.010028751338078595,0.44725352791589557,0.05976135746492312,0.04409746583938325,0.10630602043079963,0.06484509989106586,0.046706350637925845,0.056053380111388135,0.06615813549096632,0.03398071958318367,2
2008-05-30,0.0646030541600646,0.01004480889030849,0.4487491694265324,0.0586364093416529,0.04477031376415606,0.1102558944928761,0.06385605097783029,0.04696883702764438,0.05363264030163464,0.06441650051164417,0.0340663211056559,2
2008-06-06,0.06598599201780839,0.009958482514983883,0.4486520640851021,0.05963536375720566,0.0453517443610286,0.10804255072160529,0.06262451909087612,0.047178595894346684,0.05526474902370513,0.06065473054925778,0.03665120798408028,2
2008-06-13,0.06413451914491869,0.010077688765988756,0.4445663599706259,0.06025834992240986,0.04687295724428432,0.11037580402779082,0.065071894553454,0.04615024963427229,0.05592965778508039,0.0596677895348496,0.03689472941632547,2
2008-06-20,0.04010802141264724,0.007999930337215286,0.3139389309531453,0.08074978183865096,0.15989601590639693,0.19102714058616715,0.029474949784340607,0.07115213156999253,0.056418046905778174,0.02300354812869243,0.02623150257697316,2
