,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTA1,.TRXFLDHDTE2,.TRXFLDHDTH1,.TRXFLDHDTM1,.TRXFLDHDTN2,.TRXFLDHDTT2,.TRXFLDHDTY1,gamma_op
2016-04-08,1.5174541890532657e-07,4.906794663563993e-07,7.463465928838242e-07,0.0001362335467719935,0.9998580202247561,2.6337104803071415e-07,6.119738568250476e-07,3.868682497799132e-07,3.603586718889658e-07,3.118209521202769e-07,1.2091928592126474e-07,8.725750677917947e-07,6.665611768168721e-07,5.340104860853466e-07,2.289981985270623e-07,,,,,,,,2
2016-04-15,1.4805309866210786e-07,4.685930789621276e-07,7.375686623477537e-07,0.00013670052821469588,0.999857655231567,2.57897485697469e-07,6.064997593893266e-07,3.776599878831037e-07,3.4800819910422056e-07,3.181695107719035e-07,1.0873199784136517e-07,8.629175779822324e-07,6.62085105709008e-07,5.24808143989926e-07,2.2324761006925903e-07,,,,,,,,2
2016-04-22,1.4906807770167165e-07,4.829285456977777e-07,7.448060496452416e-07,0.00013451821806200953,0.9998598101910037,2.6020424329157293e-07,6.023241822267902e-07,3.8109938231131063e-07,3.5427003538584815e-07,3.1922121265313824e-07,1.0934625924733457e-07,8.618947104790986e-07,6.52119866143839e-07,5.259592796772873e-07,2.2834908976237908e-07,,,,,,,,2
2016-04-29,1.5130957857035173e-07,5.145833977401353e-07,7.65692597827995e-07,0.00013474175986113752,0.9998594653975329,2.679271517929484e-07,6.115699899918908e-07,3.913752659934141e-07,3.520580592362528e-07,3.271391819902447e-07,1.0858208957228467e-07,8.672313048082462e-07,6.739987325046339e-07,5.220020997700488e-07,2.3937315627172316e-07,,,,,,,,2
2016-05-06,1.3787297708441838e-07,4.783001854034421e-07,5.907349983682182e-07,7.86212090260382e-07,0.9999943064977254,2.629274753866988e-07,4.2721432638555203e-07,3.7777463826135256e-07,3.441381595657196e-07,3.049590155758305e-07,3.766277911199564e-07,5.655907100774092e-07,4.126974589395969e-07,3.9871912988525735e-07,2.29733318428744e-07,,,,,,,,2
2016-05-13,1.373529531285154e-07,4.6439198675418574e-07,5.806294090821237e-07,7.892465414486191e-07,0.9999943408194905,2.6277784738929915e-07,4.3286096030099815e-07,3.722024365327593e-07,3.370187117527275e-07,3.0253258065923006e-07,3.667950333107539e-07,5.813981835058689e-07,4.1341126738111907e-07,3.945137102402788e-07,2.2404888815665704e-07,,,,,,,,2
2016-05-20,1.3711759985381183e-07,4.5180843095534595e-07,5.62712055122132e-07,7.661169742368692e-07,0.9999944607074046,2.5631185782748344e-07,4.2490983781805706e-07,3.5875443290556895e-07,3.2981790945043323e-07,3.01636280466521e-07,3.664995584399808e-07,5.708285068159476e-07,3.9907305555081023e-07,3.917432666185597e-07,2.2196282944686814e-07,,,,,,,,2
2016-05-27,1.3957672731093743e-07,4.6748083800079004e-07,5.735127469032907e-07,7.528487316532341e-07,0.9999943714583911,2.6489278804425047e-07,4.3570140554841485e-07,3.718334608462082e-07,3.375324094623906e-07,3.023965120024023e-07,3.7541129047219616e-07,5.833282673185584e-07,4.002951083813772e-07,3.94445338792574e-07,2.2928598416398857e-07,,,,,,,,2
2016-06-03,1.1315241474902658e-07,4.405796111310524e-07,5.270234109523185e-07,6.490590333300906e-07,0.999995447572768,2.2009312916334837e-07,2.5039859257481534e-07,3.2411649941246505e-07,3.3293434916319424e-07,2.6998398251883445e-07,3.0954955539504647e-07,2.234353848951265e-07,3.635525911468076e-07,3.259271108894439e-07,2.0262156678185552e-07,,,,,,,,2
2016-06-10,1.126174738177328e-07,4.3245820569634044e-07,5.232943800713496e-07,6.33214180584946e-07,0.9999955130004541,2.1829384178910951e-07,2.4667120100246866e-07,3.2017245752527897e-07,3.239526596927467e-07,2.6588457581384733e-07,3.116990395919862e-07,2.2016081747364294e-07,3.565187879071505e-07,3.196238862523187e-07,2.0243803831734845e-07,,,,,,,,2
2016-06-17,1.1660433443781568e-07,4.29617981547595e-07,5.380615891317677e-07,6.486082267725409e-07,0.9999954395753831,2.1936980756939942e-07,2.5008887706835004e-07,3.18333096457254e-07,3.442159500950375e-07,2.693755212001763e-07,3.143356445545364e-07,2.2852826715740377e-07,3.6296528478955813e-07,3.164904043778289e-07,2.038296318011217e-07,,,,,,,,2
2016-06-24,1.1537063596315782e-07,4.1968872535079076e-07,5.276846340783062e-07,6.301434069175599e-07,0.9999955352556785,2.134363359627297e-07,2.4547924786953593e-07,3.0753694283421536e-07,3.452197457983135e-07,2.6536659913724946e-07,3.1446270725352606e-07,2.2110536821496625e-07,3.52032465230199e-07,3.0715001110590785e-07,2.0006749578819755e-07,,,,,,,,2
2016-07-01,1.5551597704991933e-07,4.1133307990999377e-07,4.051628673479925e-07,1.0427375491569289e-07,0.999995982082135,2.2903362172255017e-07,2.9602378740482775e-07,3.741083612986533e-07,4.1652692880665617e-07,2.8336467124100286e-07,3.2427656650214096e-07,7.614049474381154e-08,3.765765693875751e-07,3.198533535617859e-07,2.4572783119247626e-07,,,,,,,,2
2016-07-08,1.5450430654056533e-07,4.008846949649767e-07,4.069906505271516e-07,1.0429075772354637e-07,0.9999960151554251,2.2903524969552222e-07,2.9249629082130813e-07,3.636451095156874e-07,4.200609859424993e-07,2.842399344821032e-07,3.208815182385945e-07,7.615591786192012e-08,3.717384750000302e-07,3.123212236363636e-07,2.475994602189867e-07,,,,,,,,2
2016-07-15,1.6099986223646984e-07,4.022216961501423e-07,4.1805973687397984e-07,1.0598900925403691e-07,0.9999959752940751,2.3258358610367074e-07,2.99702213168317e-07,3.6471378699209434e-07,4.2625619598362894e-07,2.8385017074107423e-07,3.233848445312306e-07,7.650207994977913e-08,3.6992372508879344e-07,3.127767133928463e-07,2.477423043689395e-07,,,,,,,,2
2016-07-22,1.5116878233787575e-07,4.058477650234903e-07,4.2135527468329356e-07,1.0755797858061003e-07,0.9999959904059538,2.2693218770460608e-07,3.055861996320197e-07,3.6279196851088805e-07,4.193519131745994e-07,2.772990771011565e-07,3.1489492962434367e-07,7.550487734690927e-08,3.7626666814249265e-07,3.1579453410666673e-07,2.49241890074132e-07,,,,,,,,2
