,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937
2012-12-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2012-12-14,0.10007184452481989,0.10086557345079812,0.10090302189856055,0.09986636756521987,0.09561427107578847,0.09826957182571967,0.10316241715360279,0.10072488582935439,0.10131684015720871,0.09920520651892753
2012-12-21,0.10006687441895519,0.1013081371191202,0.10116997610350048,0.09979808250231867,0.09540260500050826,0.09692658771967955,0.1060568110325243,0.09962019063869207,0.10147096529639431,0.09817977016830692
2012-12-28,0.10227799523549264,0.10195256816725082,0.10114098584151626,0.10150632164594184,0.09633611240188097,0.09471432872144124,0.10477518446932367,0.09956013262611943,0.10127939207496135,0.09645697881607172
2013-01-04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-01-11,0.09989007756595228,0.09986908962233931,0.09993906267677803,0.0999046516344996,0.09936123409190067,0.09952931381212682,0.10129645282990236,0.0995550643420806,0.10049805380450304,0.10015699961991731
2013-01-18,0.09881576583361193,0.09815694411332872,0.09923081653489585,0.09917824019147219,0.10183768190248237,0.1015146971648369,0.09912257057474871,0.10016600651738317,0.1036700487703926,0.09830722839684758
2013-01-25,0.09785011083533428,0.0978032622268823,0.09919566749035076,0.0993162575305474,0.09996163087300956,0.1042911617369546,0.09874792836705235,0.10181472980575135,0.1021849282268162,0.09883432290730133
2013-02-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-02-08,0.10089847545752278,0.10039067294343598,0.10005102997262341,0.09961914799065838,0.09669157640050118,0.09778508823516542,0.1064351428306056,0.09866000996040421,0.09920712355841374,0.10026173265066932
2013-02-22,0.10120166590473109,0.1008563162723163,0.10138690363307022,0.10065013448037897,0.09747189575840576,0.10021239237073816,0.10179169952093464,0.10060991659444907,0.0977288002214563,0.09809027524351946
2013-03-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-03-08,0.09875757634128239,0.09916568805250991,0.10023978118817368,0.09993087418795593,0.09598972075064188,0.10040792113078775,0.1028936982275074,0.10128304269104128,0.10001789033730413,0.1013138070927956
2013-03-15,0.09730528558564497,0.09722064480800861,0.09740176822677248,0.09813167009940173,0.09817295099792553,0.09989772516803136,0.09983833986184974,0.10313276948108206,0.10460649704652451,0.10429234872475904
2013-03-22,0.09819419621899234,0.09620876709050762,0.09730623936659051,0.09707538212038806,0.09644311976039509,0.10204776405370362,0.0986348700718953,0.10347232162025745,0.10561885173740021,0.10499848795986982
2013-03-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-04-05,0.09915544444012185,0.09963618102210618,0.09908992744238829,0.10005890757651086,0.10048085863675611,0.10256577887034615,0.09620373267896264,0.10083626499006287,0.10120240221794698,0.10077050212479804
2013-04-12,0.09962168087769123,0.10043163090834968,0.09972624550049108,0.10106619049706186,0.09928302848787145,0.10042907474927291,0.0980064138933326,0.09899629146366011,0.10090120574017462,0.10153823788209436
2013-04-19,0.09837414060585631,0.10045193560479547,0.10006006960731281,0.10188520581249842,0.10138187303244488,0.09836764667025137,0.09711411995744168,0.1004246583003998,0.10169002882851301,0.10025032158048626
2013-04-26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-05-03,0.09850683558832865,0.0982836455131264,0.09896017252726501,0.10046098806921189,0.09862476619503141,0.10109931980263635,0.09883438986878375,0.09995766416232604,0.10591251091787439,0.09935970735541605
2013-05-10,0.09571967361059326,0.09648416808277213,0.09819922258041136,0.10074346565429938,0.09729594671218997,0.10295433748043968,0.09961812001944746,0.10119037161169532,0.10761350454311232,0.10018118970503923
2013-05-17,0.0940552374696485,0.09580461282858807,0.09867305732106117,0.1013729369117473,0.09824797148012356,0.102021299434092,0.09711048915672578,0.101678038601215,0.11081117357079147,0.10022518322600733
2013-05-24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-05-31,0.09833470960951426,0.09950883485101442,0.10081617131787567,0.10106753369053628,0.10011439815497195,0.0983386816658091,0.09884111082727057,0.10583128372328253,0.09960206846911152,0.09754520769061358
2013-06-07,0.09825612480386212,0.09981603833914376,0.10154132047633378,0.1012157141801912,0.10034180379802285,0.10145146349624615,0.09985396297354791,0.10328504602526922,0.09578814068374135,0.09845038522364184
2013-06-14,0.09941829177947042,0.09964303773315208,0.10125968766600947,0.10166502563871799,0.10180157909260033,0.1007021956904327,0.09995346127225009,0.10304667517674185,0.09340244184134874,0.09910760410927638
2013-06-21,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013-06-28,0.09911759366292508,0.09942446388237285,0.0997073800546622,0.09997848907586228,0.10369186509445733,0.10129619832646677,0.09894467230927158,0.09950277450559156,0.09940820756543556,0.09892835552295486
2013-07-05,0.09446966941475343,0.09478304688808403,0.0975230765017381,0.1007731556839859,0.10448731882927918,0.10343215056557752,0.09969669502819972,0.1001570240427657,0.1050571079995277,0.09962075504608874
2013-07-12,0.0918171095375563,0.0952240237458995,0.0963720116800566,0.10133370037320212,0.10608568977987352,0.10589712787829095,0.09675778358049003,0.10251017777550829,0.10498703878655764,0.09901533686256504
2013-07-19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
