,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTA1,.TRXFLDHDTE2,.TRXFLDHDTH1,.TRXFLDHDTM1,.TRXFLDHDTN2,.TRXFLDHDTT2,.TRXFLDHDTY1
2018-04-06,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,
2018-04-13,0.0670658843852094,0.06595492257455825,0.06665812968691712,0.07051860102586158,0.06503580433984155,0.06633269390582788,0.06718195141336904,0.06675746043448053,0.06649910280765317,0.066101445100599,0.06412072653090314,0.06643161441417061,0.06720703642430587,0.0656843840768545,0.06845024287944834,,,,,,,
2018-04-20,0.06558160451422551,0.06760588559861887,0.06764607445194697,0.06849318821615576,0.06680646115891375,0.0649470598060702,0.06670235694799163,0.06494410363741596,0.06850810593145552,0.06704743024389719,0.06528188823417454,0.06483646135264526,0.06717735749181229,0.06669735575271311,0.0677246666619635,,,,,,,
2018-04-27,0.06585986401917446,0.06958644808157868,0.06696181508331679,0.0679256577280204,0.06501949529199012,0.06593242908832503,0.0680584512271314,0.06430625562177796,0.06788593438360063,0.06797796722799808,0.06169270227610785,0.06628543411738008,0.06618014044725025,0.06785744214052292,0.06846996326582543,,,,,,,
2018-05-04,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,
2018-05-11,0.06708840333592637,0.06496407815412625,0.06595232278285228,0.06712472283332513,0.06676031765628719,0.06686939121258953,0.06636619111008461,0.06608784287689777,0.06623622296645114,0.06600666341246716,0.06760690632502267,0.06691199499459251,0.06684804928099004,0.06756299422858784,0.06761389882979943,,,,,,,
2018-05-18,0.06650155637396707,0.064950643668243,0.06581413949749634,0.06787863642510655,0.06869635808817838,0.06582694330498447,0.0657516153180973,0.0651262281770394,0.06921484677357444,0.06522175627424387,0.06692231032630744,0.06639238088511945,0.06652923465804902,0.06679969164057313,0.0683736585890203,,,,,,,
2018-05-25,0.06735468575382254,0.06442608968779376,0.06604125411130919,0.07204595651836404,0.06924264767584512,0.0645766615714707,0.06645819698476536,0.06526016756941877,0.06793329852865852,0.06734991037135782,0.06629565491804078,0.06576040965120673,0.06506912266584675,0.06543151960004463,0.0667544243920554,,,,,,,
2018-06-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,
2018-06-08,0.06451625172730069,0.06571946930070942,0.06654977456498473,0.06721521155116715,0.06669014330000696,0.06651854674419344,0.06746889754308824,0.06658841750282518,0.06528184035752715,0.06670634698488545,0.06515746334929819,0.06752201330686193,0.06928543412047268,0.066493698970722,0.06828649067595664,,,,,,,
