,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU
2016-08-12,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
2016-08-19,0.041815644037323636,0.04107625316679033,0.04141123363305414,0.04158618204073819,0.04224807755013948,0.04181534433064967,0.04208511211734468,0.04159294957431123,0.04199752197377219,0.04164805456429528,0.041844771527999376,0.041396515306678934,0.04163948216562084,0.04192127813719868,0.04125461980043857,0.04191239147815966,0.041911567787651996,0.04119569689077378,0.04150076315302752,0.04165684443079268,0.041843336522148174,0.04129626908607739,0.04166723516912424,0.04168285555588953
2016-08-26,0.0421770596586312,0.041690995090104675,0.041656422463481335,0.04203578391611054,0.04317205210266869,0.04170418405799623,0.04177454859536318,0.041238549981590295,0.04182317741843247,0.0411572726653572,0.042068109288679024,0.04146576733602885,0.04140489970042647,0.042323633125293185,0.041721071917793916,0.04158783943648518,0.0414492398714471,0.04097562612607917,0.04061626916120199,0.042520107835880915,0.042225573797858726,0.04205168177169049,0.04003041312774726,0.041129721553652084
2016-09-02,0.04235823177335729,0.042398850746928396,0.04183495667069324,0.04233858277180995,0.04282974877621191,0.041507032590097075,0.040971321136259356,0.04074134377267105,0.042173247202016526,0.04170406258749837,0.04213179605659089,0.041958690507209226,0.041836522363020476,0.04230268133648698,0.04176452847448728,0.04121127868556886,0.04129885764562096,0.04051884145483546,0.04070163154281141,0.04291892581969993,0.042148170289517436,0.04185495537387331,0.03998955636581418,0.04050618605692046
2016-09-09,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
2016-09-16,0.041486827157659716,0.04206301274776228,0.041606137155949366,0.04198107767992538,0.0430591193242292,0.04093086183802774,0.0414761894032955,0.0418294947057034,0.04138171158143224,0.041713736983174314,0.041242366957342944,0.041998811498385615,0.04202427952269276,0.04113953916197766,0.04125665284486549,0.04168652068334447,0.041472200232179936,0.042295941533416516,0.0411251960452397,0.041061672841721346,0.041312738545631604,0.04230564697269689,0.04173109525388954,0.04181916932945639
2016-09-23,0.041359661623437634,0.040863217365553976,0.041315012491528226,0.0415390495689317,0.041571195853200155,0.04103995435519247,0.041375504743371275,0.042046774202932256,0.04170274169517478,0.041789087931489936,0.04088392194848021,0.041639846047250566,0.04212080740832411,0.040578665465501054,0.04074611665833468,0.041595701769434945,0.04166473145028427,0.042719915526586,0.04064870510653832,0.04286590093190573,0.04385070824169773,0.04173737608130666,0.04176202404386451,0.04258337948967871
2016-09-30,0.041375420739381184,0.04088309167480613,0.041215905381705234,0.04115496060302622,0.04115655063824448,0.0411650114110083,0.040883261579533516,0.04205727838536091,0.041594180787141354,0.04200192963031134,0.04111536797271367,0.04176739488634807,0.042097263069224206,0.04060571625015085,0.04092336173514271,0.041744671252858814,0.041813705098066534,0.04282609505344989,0.040181146208871976,0.042181870475501045,0.04338519834934581,0.04225029555300089,0.04207296495239281,0.043547358312414006
2016-10-07,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
2016-10-14,0.042059424767718165,0.04318040899094705,0.041066700530134566,0.04221408774493587,0.04204245563185265,0.041306510476941935,0.04097305300927053,0.0417167548349682,0.04184673375190824,0.04145048328140568,0.041356290070410875,0.042550355744202115,0.041847280648160075,0.04159397752368611,0.04121084659277143,0.04171779975686973,0.04217508492730179,0.042079560950724335,0.03983037553578253,0.042187875137049226,0.04221689432273633,0.04209015406948081,0.040885020391196784,0.040401871309544986
