,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2013-04-12,3.5478472434013425e-06,9.497843313762746e-07,7.696494594871917e-07,9.452585992890351e-07,3.5731538220688886e-07,0.9632072535242716,0.0367830717535409,8.090738587062629e-07,5.426137847233946e-07,1.7531795283049258e-06,2
2013-04-19,3.5753030756721017e-06,9.694684023217945e-07,7.880706693462363e-07,9.724711624780957e-07,3.7235558372919663e-07,0.9627941174211468,0.03719604278708957,8.375880451826471e-07,5.580764556717664e-07,1.7664583689773694e-06,2
2013-04-26,6.223457151860879e-08,5.865779546644269e-08,5.195440682735095e-08,5.0924356170751315e-08,1.766706566358261e-06,0.5280449907354618,0.4719528572956978,8.347716871622766e-08,6.459435747603839e-08,1.3419617714688772e-08,2
2013-05-03,6.128669121304487e-08,5.76335135828329e-08,5.139855832024692e-08,5.114357651612537e-08,1.741881124047704e-06,0.5336877862252919,0.46631008529237866,8.341649019945478e-08,6.839273162253908e-08,1.3329644010284889e-08,2
2013-05-10,5.875996516685856e-08,5.582521575869257e-08,5.032445231939017e-08,5.06047228452027e-08,1.6955390177018395e-06,0.5362461560809361,0.4637517677173471,8.332120043697242e-08,6.856618313190707e-08,1.3260959414839988e-08,2
2013-05-17,5.8708874645171774e-08,5.636392452222067e-08,5.1417391840803124e-08,5.1776971382189215e-08,1.7409130594113575e-06,0.5403197539517531,0.4596781164574146,8.513025579864936e-08,7.179053746051817e-08,1.3489817391794855e-08,2
2013-05-24,4.922160154386516e-07,3.232343845943782e-07,3.4529208247839973e-07,5.839921287862347e-07,1.3586308575275902e-06,0.6807429017072416,0.3192497147385064,1.1593042922385083e-06,2.521224502456893e-06,5.99659988363276e-07,2
2013-05-31,4.913945365886584e-07,3.2654793221898617e-07,3.5341466280760124e-07,5.992201446566813e-07,1.3809112211022612e-06,0.6796342343632907,0.32035822523703444,1.2456018698172586e-06,2.5494565830656214e-06,5.938527245520815e-07,2
2013-06-07,4.791217186023514e-07,3.1963061324813027e-07,3.473440891220536e-07,5.855789050237507e-07,1.350559940605008e-06,0.6841824402408236,0.31581031393219045,1.1862203684559627e-06,2.3925099264262754e-06,5.848614243726293e-07,2
2013-06-14,4.870967799372118e-07,3.205957300692925e-07,3.480297944484224e-07,5.909786471547995e-07,1.3767313759375936e-06,0.6823627061282029,0.3176300457245406,1.189117166984705e-06,2.3440289481435737e-06,5.915688136262516e-07,2
2013-06-21,1.884339611478924e-06,1.3247579479659492e-06,1.5104178057247274e-06,2.417290499628585e-06,4.787888652959128e-06,0.8218830983387176,0.17809415317343408,6.065752000410378e-06,2.309545198814813e-06,2.44849613138649e-06,2
2013-06-28,1.8514676070150256e-06,1.3056776861971524e-06,1.4928995666684892e-06,2.395750596338869e-06,4.92147086682276e-06,0.825295327813975,0.17468204472452353,5.983096827361137e-06,2.2759090334566653e-06,2.4011893176135742e-06,2
2013-07-05,1.7322024149688689e-06,1.2218397941862035e-06,1.4333477083259969e-06,2.3703952610722653e-06,4.868046226147282e-06,0.8272040852142653,0.17277364268929574,5.911710094489381e-06,2.3610162374119586e-06,2.3735387024289424e-06,2
2013-07-12,1.6593044925922189e-06,1.2098355931721468e-06,1.3960189573909912e-06,2.349232723632156e-06,4.871291750515877e-06,0.8347136690591884,0.16526423128303797,5.9634135992284425e-06,2.3254416516331904e-06,2.325119005445013e-06,2
2013-07-19,7.074869207188112e-07,4.598150456161187e-07,4.558922807639188e-07,6.346161129949806e-07,1.1577130679893218e-07,0.9999870703381906,8.338790359120694e-06,6.905024894925831e-07,8.021107739073098e-07,7.24676520081385e-07,2
2013-07-26,6.831132199341917e-07,4.4365576294688545e-07,4.507398770049776e-07,6.349176662690349e-07,1.1256064709800214e-07,0.9999873793742218,8.025499332715924e-06,7.18610602958264e-07,8.471240538236288e-07,7.044046153449657e-07,2
2013-08-02,6.574979092053294e-07,4.364454583618907e-07,4.4082092749568487e-07,6.238362579025719e-07,1.1045959174141742e-07,0.9999877946664805,7.700465014516306e-06,7.148129419465629e-07,8.29197556966828e-07,6.917978612620516e-07,2
2013-08-09,6.749938519713038e-07,4.446828920434207e-07,4.478104266191589e-07,6.329256728563218e-07,1.1139093980139894e-07,0.9999875383190432,7.881283422337516e-06,7.272626255535149e-07,8.40313054342071e-07,7.010180712318569e-07,2
