,.HSCICD,.HSCICS,.HSCIE,.HSCIF,.HSCIH,.HSCIIG,.HSCIIT,.HSCIM,.HSCIPC,.HSCIT,.HSCIU,gamma_op
2010-01-01,0.09833323169507888,0.04158538401726308,0.07411094100625798,0.11111926703205752,0.04656083612186547,0.05532121331796974,0.2052718941359444,0.029425946571344598,0.1688114190176087,0.04118390787767436,0.12827595920693532,2
2010-01-08,0.09733715094707515,0.041613973269062215,0.07325179595358405,0.10965953121552184,0.04592965621697278,0.05522709964332438,0.20931025407089765,0.02913110581687631,0.16867035547770637,0.04219926144275923,0.12766981594621987,2
2010-01-15,0.09838907035024896,0.0406355209219624,0.07592739552735243,0.10756898345109109,0.04200143985865868,0.057609201910822555,0.21042515591424196,0.03135906130239615,0.16680996968102565,0.04196508583257139,0.12730911524962865,2
2010-01-22,0.10036413660033375,0.04163882203736932,0.07278416477209602,0.10351336553694847,0.042388292448801976,0.06000743551973152,0.22101792766419248,0.03148930702871324,0.158659696554742,0.044059898288347395,0.1240769535487237,2
2010-01-29,0.09556194010390938,0.006014661559572337,0.07412946083568692,0.14601595041609983,0.01978191064922248,0.029146688442625638,0.20101075876516333,0.006266357650767634,0.2033447341198566,0.00976691090041584,0.20896062655668,2
2010-02-05,0.0974332552228091,0.005736710464747707,0.07295760560785454,0.14672703573824697,0.020618564475459792,0.02829321116741448,0.19809257346569198,0.0060220473472223915,0.19854944295992377,0.009963301507965202,0.21560625204266412,2
2010-02-12,0.09723652318185423,0.005850126027195557,0.0739743342461592,0.14533018312641255,0.020325113266754725,0.028345567426778746,0.1952512489039829,0.006020852900043421,0.20051293355609978,0.010091971749557274,0.2170611456151617,2
2010-02-19,0.09771278179073542,0.005688776847746573,0.0742265593931891,0.14295603032917623,0.019897398508741716,0.027872541228139223,0.19742580556727804,0.005832716116981298,0.20372669404758775,0.010036506925280346,0.21462418924514412,2
2010-02-26,0.0812557455075723,0.04387436231116531,0.06788419668726632,0.11832194971573073,0.05029327837556592,0.05815889660865626,0.20941752447800463,0.034148562392744525,0.19744813197428684,0.039148638441967865,0.1000487135070393,2
2010-03-05,0.08019917727320805,0.04338756984514163,0.06856218049549649,0.11821616331161737,0.05031848649206439,0.05579348883362838,0.20912644831730423,0.035377495475913075,0.20181651122045183,0.03927035289914164,0.0979321258360328,2
2010-03-12,0.08139827200793101,0.04413509010066881,0.06773851305279015,0.11592430982737043,0.050483017166422804,0.05824120172553362,0.20913935904438397,0.03539175083870804,0.2024020659652151,0.03699792511035668,0.09814849516061945,2
2010-03-19,0.0814534438021952,0.044949055539662774,0.06799377436477612,0.11497571036080877,0.051251848314970636,0.05740032537225912,0.21025961706180457,0.035245941052553936,0.2029636905574493,0.03711790082254348,0.096388692750976,2
2010-03-26,0.08212747649081147,0.045414422023113306,0.07037043615141608,0.1029713826911077,0.05305062918448173,0.06061584890785025,0.20527722233021922,0.032835798887496465,0.2132887632783684,0.03257052217118629,0.10147749788394922,2
2010-04-02,0.08137421625396771,0.0451212963047384,0.06973029739446011,0.10212561808104613,0.05471778331461555,0.061302168328202435,0.20645533718619072,0.03230131235303425,0.21282526103653399,0.032279995508026835,0.10176671423918396,2
2010-04-09,0.08098210402437588,0.04398177300273786,0.07128695450664556,0.10318262755632604,0.054876134548943536,0.06176268422167969,0.20361521617673828,0.03247027676828944,0.2143711055602384,0.03193785271125118,0.10153327092277409,2
2010-04-16,0.0808622709396878,0.0448269026490957,0.07271929775378966,0.10430047490634319,0.05435968224594018,0.06149836177956339,0.203456877502158,0.03323829965754079,0.21122619139103638,0.03270249373992704,0.10080914743491795,2
2010-04-23,0.08273030439968776,0.0465898908444988,0.06557162106329589,0.11386126103162719,0.05941171635484646,0.05836167057826765,0.185294071003388,0.03136512942109795,0.21733206719816286,0.03184953581668588,0.1076327322884416,2
2010-04-30,0.08362084036857922,0.04729224360057192,0.06439888787670062,0.11227065038929242,0.06092990384945848,0.05986476891174558,0.18976566343031132,0.03121082232978357,0.20834983100831495,0.03223638459513464,0.11006000364010733,2
2010-05-07,0.08383676476294445,0.04661529527723766,0.065804364715728,0.11287243847478733,0.06266743675713757,0.06042125028966413,0.18795875208991691,0.03101745342869361,0.20959638583953516,0.03210522723772258,0.10710463112663268,2
2010-05-14,0.08217635307351571,0.04650629366813175,0.06511640814942474,0.11400262100070369,0.06246159077950171,0.059261926841235664,0.18590512255319538,0.030335916890826844,0.2094206565051061,0.03305219612758214,0.11176091441077633,2
2010-05-21,0.08418125654333049,0.024873900534461226,0.04863288198503295,0.13849781653483573,0.06091874476899514,0.043503064973474746,0.19454384965158467,0.00944326153971773,0.19462223456421568,0.006070488765999488,0.19471250013835212,2
2010-05-28,0.08215886284710516,0.024214228758618887,0.04839748164774834,0.14201803569771904,0.05965508293336619,0.04160813790526429,0.18407487009107507,0.008979596319542036,0.1982257446339987,0.006369539453240564,0.20429841971232177,2
2010-06-04,0.08437723194652348,0.02484028671054621,0.04900029584038722,0.14054344501498917,0.05992594588426579,0.04281609767454849,0.18514973853143998,0.00927939556085507,0.20048018485164618,0.00617523270405538,0.1974121452807431,2
2010-06-11,0.0846970861833597,0.025203924801632974,0.048297205086813524,0.14109477868046974,0.06002997555444232,0.04300586963827181,0.1871813862321479,0.00899801984605453,0.2000631218896335,0.00620857061720944,0.1952200614699645,2
2010-06-18,0.07821859654580024,0.03974795563172744,0.018811187762986212,0.1179026097390555,0.098497526516412,0.03235399854265801,0.1946372552207005,0.011305085115156259,0.17346750906128433,0.0030673532589324537,0.23199092260528703,2
