,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU,gamma_op
2017-01-20,0.3864179527160419,0.0003286967957039985,3.9727104605313365e-05,0.5922757591926658,3.4103310711224926e-05,1.5373572640025957e-05,1.8622706045438148e-05,2.4529617201939498e-05,1.3748541206745936e-05,2.286033140616084e-05,6.977316540805231e-05,5.811161132141008e-05,5.6470065746915534e-05,0.00025731814461518775,7.444793695861879e-05,7.29487071102095e-05,7.526496067025524e-05,2.5503880386504956e-05,2.0976244588343096e-05,0.01998052849527427,5.208246814082062e-05,3.6853244995664456e-05,1.5630228139480144e-05,1.2716958415836957e-05,2
2017-01-27,0.3329334570379218,4.741857009099894e-06,4.5131010079031336e-08,0.6670478328094309,2.824435753462972e-08,4.866350468806425e-08,5.6397263760181226e-08,4.263353767469715e-08,5.04996240970404e-08,4.056008851730212e-08,1.8781354504903999e-07,2.189659386546377e-07,1.7511139310008383e-07,8.392186232395628e-07,1.1635801478837102e-07,2.1658718238503373e-07,4.059971880035444e-07,4.121436891687097e-08,5.729884293571401e-08,1.113976567234244e-05,1.2893583626913426e-07,2.533138822222114e-08,5.167221790089258e-08,5.1896040054309545e-08,2
2017-02-03,0.3318620213693568,4.824436569616202e-06,4.475692478923067e-08,0.6681190882030211,2.7735693535930212e-08,4.820723739782304e-08,5.4407652076841434e-08,4.228219124031576e-08,4.954548898184027e-08,4.042917154095292e-08,1.8797636342300734e-07,2.1837401393038458e-07,1.7683455730237286e-07,8.318162874257227e-07,1.1877810169724732e-07,2.1933757056197635e-07,4.048713433266608e-07,4.048033360765713e-08,5.6048347122542845e-08,1.1247411337376948e-05,1.299673433138583e-07,2.555761736649579e-08,5.0141137084248934e-08,5.103233943955751e-08,2
2017-02-10,0.330011058599569,4.830124814510831e-06,4.478462872398753e-08,0.6699701942402534,2.7326521005835243e-08,4.873581271927918e-08,5.4386860486330244e-08,4.2876235087799834e-08,4.992827147659171e-08,4.010872130185114e-08,1.8605776612609836e-07,2.1664794475542983e-07,1.7417943763988994e-07,8.073189976264446e-07,1.1703591175062298e-07,2.1880940281323052e-07,4.0066794927109774e-07,4.1550475916356493e-08,5.6353643738216284e-08,1.1130653411661243e-05,1.3450527490725706e-07,2.471222693133612e-08,4.902212034317016e-08,5.137374899766157e-08,2
2017-02-17,0.3282401120261033,4.806444531716126e-06,4.523347293504736e-08,0.6717412274650756,2.714678584834601e-08,4.9014688756604536e-08,5.5599716675608484e-08,4.2909357117798336e-08,5.034672014611031e-08,4.095062674869036e-08,1.8856413740529755e-07,2.1896126655620618e-07,1.7649899868734142e-07,8.349301655585047e-07,1.1718782755649592e-07,2.1748079187027235e-07,4.08254387046041e-07,4.172517960207259e-08,5.6873934879839456e-08,1.1019638334395063e-05,1.3702324184794287e-07,2.4990869632673224e-08,4.9069159284507086e-08,5.166462676286123e-08,2
2017-02-24,0.35005047420083674,8.872154217196097e-06,1.1066967342191009e-07,0.6495745850455019,9.052517583142088e-08,7.999513824951005e-08,9.649489982695134e-08,8.910683123739836e-08,7.919608438910717e-08,8.65874692584282e-08,2.0650021370038095e-07,2.608851961448335e-07,2.6086710406413464e-07,8.49688559659923e-07,1.4481223169825148e-07,2.147373324095317e-07,7.529412780502774e-07,8.766893193721917e-08,9.400782444183004e-08,0.0003622332786483726,8.098353624481385e-08,8.891623367212914e-08,8.435861995908388e-08,7.637846160408053e-08,2
2017-03-03,0.34889892324933164,8.844709149505879e-06,1.1092522793540557e-07,0.6507255877363257,8.926380124247833e-08,8.137838748989186e-08,9.853086570288518e-08,9.098518828294651e-08,7.951058065332974e-08,8.613501891473446e-08,2.06811018206384e-07,2.6221413692370286e-07,2.6348808704623866e-07,8.632433145309427e-07,1.4472363235387934e-07,2.1621465535137288e-07,7.549657718544812e-07,8.872855567249401e-08,9.606205192203118e-08,0.0003627754704251844,8.158225265836787e-08,8.841985212079284e-08,8.62848408855049e-08,7.936752828220965e-08,2
2017-03-10,0.35052044233299956,8.8824872896955e-06,1.089970929680513e-07,0.649110543262657,8.875048695253285e-08,8.057032333492026e-08,9.361161027438973e-08,9.025647749175704e-08,7.784985074785046e-08,8.44536483542739e-08,2.0442297273547525e-07,2.6042142268412656e-07,2.5880747269241154e-07,8.462026160994666e-07,1.428423543105499e-07,2.1127713079996607e-07,7.430422698631248e-07,8.84265895164873e-08,9.348197647445638e-08,0.0003563283492789299,8.111692766099155e-08,8.743761691150236e-08,8.371442075042588e-08,7.788451409964528e-08,2
2017-03-17,0.3472380117630438,8.87690771160144e-06,1.0954993760253926e-07,0.6523833112779145,8.707534990197422e-08,8.119297869138723e-08,9.369584735591036e-08,9.109702762576366e-08,7.921301903549386e-08,8.460454394228465e-08,2.0526967415877807e-07,2.61046551841282e-07,2.6305765535861595e-07,8.594454359945086e-07,1.4197401547903514e-07,2.134413928533177e-07,7.491853939194442e-07,8.943475744552754e-08,9.063237140163046e-08,0.00036597053431289685,8.141396951525965e-08,8.616645362996663e-08,8.428060683454851e-08,7.774003448707226e-08,2
2017-03-24,0.2977747280089112,1.4400567233576285e-06,9.000736870056761e-08,0.7022058337533503,3.177096314408775e-08,6.565319329800351e-08,8.156229849149699e-08,7.55338146003584e-08,6.437533844402e-08,6.740533579848966e-08,1.2032346668393094e-07,1.6160997298930503e-07,1.9400503456128846e-07,1.512639423804654e-06,1.5531561936176786e-07,2.5363497977163477e-07,1.154719598517163e-06,7.373691800429966e-08,8.514436431671476e-08,1.357953013898165e-05,2.6812530342836406e-08,6.381100594884729e-08,7.306856967854793e-08,6.752107969962519e-08,2
2017-03-31,0.29503243311081584,1.4195799091250017e-06,9.145906344066502e-08,0.7049475581664993,3.240136017149844e-08,6.787031165706008e-08,8.373823435541598e-08,7.74393176770498e-08,6.651759652200885e-08,7.064093831979549e-08,1.2253448992598243e-07,1.6409112202377487e-07,1.9859038477066107e-07,1.5502912834026416e-06,1.583189801129521e-07,2.629571885992953e-07,1.1790442843000066e-06,7.567419746861602e-08,8.886439776682397e-08,1.406066485731168e-05,2.780100257793646e-08,6.492876532988277e-08,7.438387418750225e-08,7.093112557956705e-08,2
2017-04-07,0.2963119635192682,1.4243545327192317e-06,9.194510755733959e-08,0.7036679989265592,3.288639626997001e-08,6.710004677167268e-08,8.39988101169507e-08,7.707645002800916e-08,6.539671738599258e-08,7.126101909023484e-08,1.2252683982471354e-07,1.6416992373991084e-07,1.9842919079894616e-07,1.5449248089077464e-06,1.5941646924366116e-07,2.640651586180781e-07,1.1957317555264783e-06,7.506590456293051e-08,8.890269589195877e-08,1.4074086765799536e-05,2.7995800593740923e-08,6.547767712409175e-08,7.317869076234824e-08,6.95634111981039e-08,2
2017-04-14,0.2883304839754622,1.43207883204193e-06,9.223425085816363e-08,0.7116493070939595,3.370810092174175e-08,6.864834237500149e-08,8.591794658572273e-08,7.862443133213196e-08,6.625967260387173e-08,7.251326389287596e-08,1.2494520360975727e-07,1.665039790334136e-07,2.0141150522801715e-07,1.5451518295701632e-06,1.6276438149082147e-07,2.6895489332223e-07,1.2098481788488305e-06,7.650029296330117e-08,9.136051264414699e-08,1.419062400301703e-05,2.833408906712062e-08,6.673977209164492e-08,7.4678282102553e-08,7.112881479441599e-08,2
2017-04-21,0.33988954313716163,2.7745038816107576e-06,2.0036061281481306e-07,0.6600979397216763,1.9030697778121924e-07,1.1365484567940096e-07,1.3930942788425746e-07,1.4851889481629073e-07,1.0454864179536005e-07,1.4482977431373138e-07,2.3152703856115066e-07,3.0019048354111815e-07,2.9458550561286634e-07,1.0452746242991376e-06,2.1625956027801045e-07,2.5309626971146715e-07,7.37890901562568e-07,1.4854541178177755e-07,1.4243023296409214e-07,4.705323849068469e-06,1.7742534386238067e-07,2.182721301604234e-07,1.265096295367983e-07,1.037771243391793e-07,2
