,0
2012-12-07,0.040931871538058814
2012-12-14,0.03706022545474844
2012-12-21,0.008543126397553653
2012-12-28,0.04137649793441735
2013-01-04,0.012013520354637576
2013-01-11,-0.0038474173458826516
2013-01-18,0.04997176220683681
2013-01-25,-0.022715368415217697
2013-02-01,0.04158911455077708
2013-02-08,0.02420366355328355
2013-02-22,-0.034198318961754584
2013-03-01,0.02125427513142584
2013-03-08,-0.007545794616865163
2013-03-15,-0.0213205765253697
2013-03-22,0.028960383777037857
2013-03-29,-0.033430196365060595
2013-04-05,-0.01426492574726688
2013-04-12,-0.005360999242116024
2013-04-19,0.0226960621540699
2013-04-26,-0.027651462950356004
2013-05-03,0.020155362005355074
2013-05-10,0.03119237178033619
2013-05-17,0.03196431486262513
2013-05-24,0.0098148749361555
2013-05-31,0.0008889683726352384
2013-06-07,-0.04906451235335918
2013-06-14,-0.015969163947957728
2013-06-21,-0.03516622116906886
2013-06-28,-0.049431452717787525
2013-07-05,0.02893409605714221
2013-07-12,0.016515840294130658
2013-07-19,-0.01812092298075843
2013-07-26,0.02503989215235467
2013-08-02,0.008342936732261877
2013-08-09,0.02192879778879307
2013-08-16,-0.008480948926595002
2013-08-23,0.010257906779863159
2013-08-30,-0.0017105427556057744
2013-09-06,0.02423563520414437
2013-09-13,0.0234931470103042
2013-09-20,-0.01364442799547956
2013-09-27,0.0012301567367574572
2013-10-04,0.009376566228459362
2013-10-11,0.03043965007323073
2013-10-18,-0.013245329857328784
2013-10-25,-0.033956694480185665
2013-11-01,-0.014878975018532371
2013-11-08,-0.02264063205991349
2013-11-15,0.024746658218008685
2013-11-22,0.022183517638627692
2013-11-29,0.022463747970870553
2013-12-06,-0.003029314886115281
2013-12-13,-0.010481490751451166
2013-12-20,-0.050847332658438146
2013-12-27,0.012268354720182496
2014-01-03,0.007187420479288208
2014-01-10,-0.04969137927705693
2014-01-17,-0.003354211134086492
2014-01-24,0.04027371222659305
2014-01-31,-0.013554929479095784
2014-02-07,0.01149322123682541
2014-02-14,0.03655439493259891
2014-02-21,-0.0033212749215672855
2014-02-28,-0.03517227363283265
2014-03-07,-0.000607221475178604
2014-03-14,-0.026687910893119404
2014-03-21,0.011056596221561781
2014-03-28,-0.019370509015959225
2014-04-04,0.017552911340039033
2014-04-11,0.03149910895521199
2014-04-18,-0.009428635707834187
2014-04-25,-0.042991983835450345
2014-05-02,-0.006132806338077883
2014-05-09,-0.009858259365001482
2014-05-16,0.0038042839470889805
2014-05-23,0.009970967171086448
2014-05-30,0.010180851451449079
2014-06-06,-0.007710045086681194
2014-06-13,0.0176179038307256
2014-06-20,-0.019897043584846365
2014-06-27,0.0200604232572673
2014-07-04,0.017869019298398087
2014-07-11,-0.005735697795463648
2014-07-18,0.006552854037915646
2014-07-25,0.026208163952889416
2014-08-01,0.029040092164927887
2014-08-08,0.01136396971923482
2014-08-15,0.01659459401141702
2014-08-22,0.0123910369429235
2014-08-29,-0.014218811243036863
2014-09-05,0.04863407239873124
2014-09-12,0.005855470732197338
2014-09-19,-0.003276440595465676
2014-09-26,0.009655308487177522
2014-10-03,0.01189524295574462
2014-10-10,0.006177586743709149
2014-10-17,-0.020156646587629688
2014-10-24,-0.02076371438055009
2014-10-31,0.0434383529464506
2014-11-07,-0.006696361359193683
2014-11-14,0.010524595862503462
2014-11-21,0.006459317591247303
2014-11-28,0.04960159058378881
2014-12-05,0.06042473268569651
2014-12-12,0.028352246818355353
2014-12-19,0.02877025565175842
2014-12-26,-0.0010038545177890536
2015-01-02,-0.003091840977909341
2015-01-09,0.02183590286878704
2015-01-16,0.0206215276370243
2015-01-23,-0.0011558549544515772
2015-01-30,-0.017303685978161534
2015-02-06,-0.031253818838138415
2015-02-13,0.04620836116000185
2015-02-20,0.02049899162252247
2015-02-27,0.017199226028883068
2015-03-06,-0.006760520941697313
2015-03-13,0.031539463454491094
2015-03-20,0.07121726138189985
2015-03-27,0.03275168086386671
2015-04-03,0.055578719055255674
2015-04-10,0.03170897928977629
2015-04-17,0.03853719269984955
2015-04-24,0.05022892217307564
2015-05-01,0.0060940688031134
2015-05-08,-0.03644093728530018
2015-05-15,0.039051071395886386
2015-05-22,0.09201257434206268
2015-05-29,0.006598159698505988
2015-06-05,0.09503491193966912
2015-06-12,0.02868435333675977
2015-06-19,-0.1316171759040971
2015-06-26,-0.07346833605592629
2015-07-03,-0.14308738053105008
2015-07-10,0.015805826657267222
2015-07-17,0.06384470624477565
2015-07-24,0.03944668203920815
2015-07-31,-0.08711790164494691
2015-08-07,0.02961807378613234
2015-08-14,0.05805183013455883
2015-08-21,-0.11760550795329877
2015-08-28,-0.0894026414960439
2015-09-04,-0.0413434530791355
2015-09-11,0.021279759809991253
2015-09-18,-0.05005540799522143
2015-09-25,-0.001350271604723063
2015-10-02,-0.006906457761653193
2015-10-09,0.05195319805569207
2015-10-16,0.07044838435439232
2015-10-23,0.010328187495640346
2015-10-30,-0.010373246407774518
2015-11-06,0.0572828650688917
2015-11-13,-0.003982523955033751
2015-11-20,0.01788614013900878
2015-11-27,-0.05652437330447928
2015-12-04,0.023178900453480495
2015-12-11,-0.023542367513268117
2015-12-18,0.047464471923179506
2015-12-25,0.01322279199460498
2016-01-01,-0.023326533064267477
2016-01-08,-0.10352166894713351
2016-01-15,-0.09177680084852047
2016-01-22,0.004730378184301159
2016-01-29,-0.06625151209774051
2016-02-05,0.014374908446132347
2016-02-19,0.0397982648107407
2016-02-26,-0.03897009482450586
2016-03-04,0.023997032546538812
2016-03-11,-0.02203706249597354
