,.dMIEF00000G,.dMIEA00000G,US10YT=RR,.DXY
2000-01-14,0.046505,0.034204,0.06688,0.009127
2000-01-14,0.046505,0.034206,0.06688,0.009127
2000-01-21,-0.014235,-0.02423,0.06772,0.000393
2000-01-21,-0.014235,-0.024228,0.06772,0.000393
2000-01-28,-0.007585,0.015226,0.06658,0.02673
2000-01-28,-0.007586,0.015225,0.06658,0.02673
2000-02-04,0.02977,0.028693,0.06558,-0.001819
2000-02-04,0.02977,0.028692,0.06558,-0.001819
2000-02-11,0.024747,0.006384,0.06595,-0.000959
2000-02-11,0.024747,0.006383,0.06595,-0.000959
2000-02-18,-0.018251,-0.010258,0.06483,0.004223
2000-02-25,-0.024139,0.012775,0.06337,0.006021
2000-02-25,-0.024138,0.012773,0.06337,0.006021
2000-03-03,0.021297,0.02343,0.06379,0.00703
2000-03-10,0.002594,-0.004293,0.06387,-0.002736
2000-03-17,-0.035178,-0.012574,0.06204,-0.004825
2000-03-17,-0.035178,-0.01257,0.06204,-0.004825
2000-03-24,0.027219,0.01774,0.06191,-0.004087
2000-03-31,-0.025394,-0.006262,0.06002,0.006395
2000-03-31,-0.025393,-0.006262,0.06002,0.006395
2000-04-07,0.00444,-0.001721,0.05845,0.005027
2000-04-07,0.00444,-0.00172,0.05845,0.005027
2000-04-14,-0.066157,-0.035428,0.058602,-0.002076
2000-04-14,-0.066157,-0.035429,0.058602,-0.002076
2000-04-21,-0.025621,0.002685,0.06,0.016076
2000-04-28,0.009274,0.023128,0.062182,0.025035
2000-04-28,0.009274,0.023129,0.062182,0.025035
2000-05-05,-0.003355,0.011035,0.065113,0.010623
2000-05-05,-0.003355,0.011036,0.065113,0.010623
2000-05-12,-0.027262,-0.01345,0.065245,-0.012667
2000-05-12,-0.027262,-0.013449,0.065245,-0.012667
2000-05-19,-0.008978,-0.02899,0.064982,0.014286
2000-05-19,-0.008979,-0.02899,0.064982,0.014286
2000-05-26,-0.036651,-0.009189,0.063273,-0.021082
2000-05-26,-0.03665,-0.00919,0.063273,-0.021082
2000-06-02,0.084875,0.055995,0.061692,-0.009164
2000-06-09,0.014422,-0.007618,0.061262,-0.010451
2000-06-09,0.014422,-0.007619,0.061262,-0.010451
2000-06-16,-0.022427,-0.012066,0.059796,-0.009627
2000-06-23,-0.00587,-0.000174,0.061852,0.019347
2000-06-23,-0.00587,-0.000175,0.061852,0.019347
2000-06-30,0.009575,-0.000466,0.06027,-0.010832
2000-06-30,0.009576,-0.000466,0.06027,-0.010832
2000-07-07,0.013859,0.019368,0.060148,0.007581
2000-07-07,0.013859,0.019367,0.060148,0.007581
2000-07-14,0.007785,0.004071,0.061005,0.007431
2000-07-14,0.007785,0.004073,0.061005,0.007431
2000-07-21,-0.026048,-0.018671,0.059977,-0.000277
2000-07-21,-0.026048,-0.018668,0.059977,-0.000277
2000-07-28,-0.045959,-0.027284,0.060356,0.012175
2000-07-28,-0.045959,-0.027287,0.060356,0.012175
2000-08-04,0.007632,0.002366,0.059055,0.010115
2000-08-04,0.007632,0.002368,0.059055,0.010115
2000-08-11,0.004714,0.017799,0.057906,0.003248
2000-08-18,0.009324,0.008547,0.057769,-0.001798
2000-08-18,0.009324,0.008545,0.057769,-0.001798
2000-08-25,-0.005662,0.008971,0.05733,0.003063
2000-08-25,-0.005662,0.008969,0.05733,0.003063
2000-09-01,-0.006855,0.012493,0.05685,0.000629
2000-09-08,-0.003284,-0.016372,0.057368,0.026207
2000-09-08,-0.003284,-0.016373,0.057368,0.026207
2000-09-15,-0.027218,-0.016217,0.058373,0.013993
2000-09-15,-0.027218,-0.016218,0.058373,0.013993
2000-09-22,-0.064096,-0.030532,0.058479,-0.020528
2000-09-22,-0.064096,-0.030533,0.058479,-0.020528
2000-09-29,0.018737,0.005676,0.058078,-0.00273
2000-09-29,0.018738,0.005678,0.058078,-0.00273
2000-10-06,-0.003834,0.01015,0.058205,0.014128
2000-10-06,-0.003834,0.010149,0.058205,0.014128
2000-10-13,-0.062434,-0.034804,0.05732,0.008794
2000-10-13,-0.062434,-0.034806,0.05732,0.008794
2000-10-20,0.01482,0.008161,0.056377,0.01122
2000-10-27,0.000745,0.01178,0.057276,0.001963
2000-11-03,0.030457,0.017191,0.05827,-0.020615
2000-11-10,-0.009713,-0.017279,0.057974,0.007132
2000-11-10,-0.009713,-0.017281,0.057974,0.007132
2000-11-17,-0.02703,-0.005266,0.057064,0.013127
2000-11-17,-0.02703,-0.005264,0.057064,0.013127
2000-11-24,-0.035755,-0.012011,0.056368,0.009974
2000-11-24,-0.035755,-0.012013,0.056368,0.009974
2000-12-01,-0.02848,-0.00732,0.055175,-0.031651
2000-12-08,0.052743,0.000778,0.052986,-0.005927
2000-12-08,0.052744,0.000781,0.052986,-0.005927
2000-12-15,-0.020067,-0.016577,0.051801,-0.010083
2000-12-15,-0.020067,-0.016578,0.051801,-0.010083
2000-12-22,-0.030376,-0.0238,0.050142,-0.018423
2000-12-22,-0.030376,-0.023799,0.050142,-0.018423
2000-12-29,0.010269,0.022682,0.051116,-0.01137
2001-01-05,0.045499,-0.001633,0.049286,-0.010405
2001-01-05,0.045499,-0.001631,0.049286,-0.010405
2001-01-12,0.018701,-0.00885,0.052546,0.00867
2001-01-12,0.018701,-0.008852,0.052546,0.00867
2001-01-19,0.049104,0.015483,0.051702,0.011887
